,PLF08E~1,
Wavenumbers [1/cm],Intensity,
86.125,16.745278,
83.215,11.252637,
80.304,9.6548942,
77.393,16.028424,
74.483,15.18973,
71.572,11.238831,
68.662,5.915605,
65.751,10.154311,
62.840,12.463404,
59.930,14.249145,
57.019,17.069473,
54.109,16.902839,
51.198,15.595172,
48.288,13.466025,
45.377,9.2457569,
42.466,12.034413,
39.556,17.69417,
36.645,12.778838,
33.735,13.057745,
30.824,11.849356,
27.914,3.4352534,
25.003,8.1037373,
22.092,17.312282,
19.182,30.072072,
16.271,47.559325,
13.361,172.92969,
10.450,431.89219,
7.539,991.94111,
4.629,1378.1074,
1.718,1448.4826,
-1.192,943.05284,
-4.103,523.62102,
-7.013,205.11742,
-9.924,0.5,
