,PLDAAC~1,
Wavenumbers [1/cm],Intensity,
449.947,1736.2151,
447.037,1724.9013,
444.126,1729.5591,
441.216,1751.8531,
438.305,1749.5673,
435.395,1763.0184,
432.484,1790.2541,
429.573,1811.3274,
426.663,1781.6819,
423.752,1858.7558,
420.842,1969.0599,
417.931,2064.8522,
415.020,2084.5695,
412.110,1932.3429,
409.199,1877.717,
406.289,1887.3673,
403.378,1912.4754,
400.468,1979.0029,
397.557,1947.2926,
394.646,1898.3274,
391.736,1899.3184,
388.825,1838.9799,
385.915,1846.2631,
383.004,1877.1018,
380.094,1898.5974,
377.183,1885.8053,
374.272,1865.4238,
371.362,1864.2004,
368.451,1896.7089,
365.541,1920.7261,
362.630,1908.1316,
359.719,1901.721,
356.809,1924.8843,
353.898,1935.3675,
350.988,1939.335,
348.077,1923.1159,
345.167,1883.7854,
342.256,1933.839,
339.345,1906.2668,
336.435,1884.24,
333.524,1924.0486,
330.614,1949.3839,
327.703,1931.0663,
324.793,1909.6013,
321.882,1919.3528,
318.971,1961.729,
316.061,1986.9929,
313.150,1998.019,
310.240,1997.2769,
307.329,2014.4013,
304.418,2016.2345,
301.508,2010.0531,
298.597,2009.3127,
295.687,2028.2127,
292.776,2037.25,
289.866,2042.0764,
286.955,2064.9769,
284.044,2090.3875,
281.134,2106.2123,
278.223,2113.4056,
275.313,2128.1427,
272.402,2123.6983,
269.492,2136.6275,
266.581,2184.3428,
263.670,2297.5606,
260.760,2294.2056,
257.849,2263.8163,
254.939,2271.1551,
252.028,2240.8485,
249.117,2231.5341,
246.207,2224.9689,
243.296,2189.0991,
240.386,2176.7611,
237.475,2147.2778,
234.565,2108.8605,
231.654,2119.0858,
228.743,2131.6066,
225.833,2120.9562,
222.922,2080.6429,
220.012,2110.5137,
217.101,2100.6214,
214.191,2078.9386,
211.280,2074.5739,
208.369,2063.485,
205.459,2037.8882,
202.548,2007.8767,
199.638,2011.505,
196.727,2055.4662,
193.816,2085.4439,
190.906,2080.9453,
187.995,2072.257,
185.085,2052.7,
182.174,2045.4154,
179.264,2086.613,
176.353,2113.6773,
173.442,2124.7998,
170.532,2121.4099,
167.621,2114.2002,
164.711,2053.3864,
161.800,1978.6227,
158.890,1915.2867,
155.979,1793.1101,
153.068,1634.9267,
150.158,1446.2165,
147.247,1234.4206,
144.337,997.095,
141.426,775.8865,
138.516,592.36235,
135.605,439.45827,
132.694,302.23471,
129.784,188.2642,
126.873,126.76304,
123.963,89.779984,
121.052,63.317902,
118.141,43.328646,
115.231,38.986578,
112.320,31.319097,
109.410,23.386355,
106.499,24.09851,
103.589,20.888473,
100.678,17.163513,
97.767,14.319763,
94.857,14.25,
91.946,10.622002,
89.036,5.25,
86.125,5.25,
83.215,3.6572389,
80.304,4.1654615,
77.393,9.830821,
74.483,8.2845951,
71.572,8.3370563,
68.662,10.457802,
65.751,12.577156,
62.840,13.731702,
59.930,12.564424,
57.019,6.2186863,
54.109,5.8471608,
51.198,8.3612649,
48.288,13.244338,
45.377,12.540959,
42.466,14.311097,
39.556,15.983696,
36.645,8.2596033,
33.735,13.00023,
30.824,17.04113,
27.914,10.029378,
25.003,8.004725,
22.092,13.062282,
19.182,26.279729,
16.271,57.756785,
13.361,256.53443,
10.450,653.59316,
7.539,1474.812,
4.629,2184.9546,
1.718,2475.7753,
-1.192,1906.9053,
-4.103,1122.669,
-7.013,462.59523,
-9.924,3.25,
