,PLDADE~1,
Wavenumbers [1/cm],Intensity,
80.304,6.2481922,
77.393,14.746231,
74.483,4.8928407,
71.572,0.09970423,
68.662,1.65207,
65.751,4.4778743,
62.840,3.4481921,
59.930,1.1877138,
57.019,0.48263182,
54.109,-4.4022868,
51.198,-6.1169536,
48.288,-2.5797005,
45.377,3.0473241,
42.466,2.4894646,
39.556,-0.5889328,
36.645,5.7307791,
33.735,2.7017638,
30.824,-1.404113,
27.914,-0.70293778,
25.003,-3.1155499,
22.092,-3.9791909,
19.182,-2.8767115,
16.271,-10.571103,
13.361,-94.544932,
10.450,-298.65187,
7.539,-839.14797,
4.629,-1276.5119,
1.718,-1490.2661,
-1.192,-1280.4256,
-4.103,-783.28882,
-7.013,-333.99828,
-9.924,-0.625,
