,PLBCE1~1,
Wavenumbers [1/cm],Intensity,
316.061,2277.3644,
313.150,2287.0905,
310.240,2264.0849,
307.329,2320.421,
304.418,2338.2345,
301.508,2327.13,
298.597,2307.8791,
295.687,2308.959,
292.776,2332.3335,
289.866,2378.5077,
286.955,2450.9028,
284.044,2487.1825,
281.134,2512.6181,
278.223,2534.1301,
275.313,2560.6569,
272.402,2540.6903,
269.492,2511.1602,
266.581,2486.3041,
263.670,2473.0708,
260.760,2516.7869,
257.849,2577.9573,
254.939,2628.5952,
252.028,2650.9653,
249.117,2653.7681,
246.207,2657.2888,
243.296,2696.0867,
240.386,2732.2466,
237.475,2723.1253,
234.565,2682.4003,
231.654,2689.7042,
228.743,2703.3327,
225.833,2698.8346,
222.922,2668.25,
220.012,2668.25,
217.101,2660.8893,
214.191,2675.7617,
211.280,2750.6904,
208.369,2750.8675,
205.459,2725.892,
202.548,2691.874,
199.638,2689.697,
196.727,2755.5148,
193.816,2802.7449,
190.906,2801.18,
187.995,2856.2059,
185.085,2870.9943,
182.174,2868.4047,
179.264,2876.3551,
176.353,2931.0754,
173.442,2959.7998,
170.532,2956.746,
167.621,2952.4201,
164.711,2881.8751,
161.800,2764.4445,
158.890,2603.9452,
155.979,2492.1738,
153.068,2325.9932,
150.158,2109.1091,
147.247,1861.4156,
144.337,1545.8324,
141.426,1215.839,
138.516,893.95486,
135.605,629.72719,
132.694,426.04395,
129.784,275.87761,
126.873,176.47456,
123.963,121.53672,
121.052,84.48501,
118.141,57.356734,
115.231,48.723156,
112.320,42.284549,
109.410,37.431868,
106.499,33.158937,
103.589,26.647455,
100.678,21.435135,
97.767,19.302322,
94.857,19.942989,
91.946,16.622002,
89.036,11.137102,
86.125,10.427897,
83.215,11.311841,
80.304,12.25,
77.393,12.25,
74.483,15.525675,
71.572,14.713535,
68.662,10.457802,
65.751,12.577156,
62.840,12.286596,
59.930,10.688141,
57.019,8.5728954,
54.109,11.832965,
51.198,13.043563,
48.288,10.244338,
45.377,9.5409595,
42.466,10.486658,
39.556,12.134881,
36.645,11.432691,
33.735,12.807745,
30.824,11.820243,
27.914,4.1073156,
