,PLA4EC~1,
Raman shift [1/cm],Intensity,
16.271,46.365936,
13.361,177.89427,
10.450,424.25315,
7.539,877.45983,
4.629,1101.0966,
1.718,1054.2129,
-1.192,578.06323,
-4.103,262.02882,
-7.013,68.367875,
-9.924,2.25,
