,PLD6D5~1,
Raman shift [1/cm],Intensity,
490.695,4775.6172,
487.785,4813.337,
484.874,4857.5022,
481.964,4864.6708,
479.053,4849.6037,
476.143,4867.2669,
473.232,4830.966,
470.321,4827.0797,
467.411,4826.4718,
464.500,4790.5993,
461.590,4759.9697,
458.679,4782.1915,
455.769,4810.2106,
452.858,4824.1694,
449.947,4899.0347,
447.037,4883.4302,
444.126,4849.6962,
441.216,4826.375,
438.305,4826.375,
435.395,4860.4681,
432.484,4867.5394,
429.573,4850.4225,
426.663,4842.0609,
423.752,4837.8879,
420.842,4771.0689,
417.931,4719.2313,
415.020,4810.2342,
412.110,4950.1867,
409.199,5026.2918,
406.289,5039.6002,
403.378,4997.416,
400.468,5009.5119,
397.557,5034.9693,
394.646,5061.5699,
391.736,5077.7714,
388.825,5058.9156,
385.915,5024.6365,
383.004,5016.2221,
380.094,5061.1006,
377.183,5114.5264,
374.272,5225.4471,
371.362,5297.2509,
368.451,5278.9767,
365.541,5338.269,
362.630,5374.0397,
359.719,5417.9,
356.809,5481.6079,
353.898,5452.4048,
350.988,5466.617,
348.077,5468.2409,
345.167,5429.5537,
342.256,5492.3074,
339.345,5514.095,
336.435,5510.9904,
333.524,5496.1366,
330.614,5552.0233,
327.703,5588.371,
324.793,5619.2646,
321.882,5656.4705,
318.971,5695.873,
316.061,5711.8166,
313.150,5725.2297,
310.240,5760.1092,
307.329,5822.8338,
304.418,5845.5512,
301.508,5848.2981,
298.597,5866.8085,
295.687,5928.6494,
292.776,6028.6254,
289.866,6179.1301,
286.955,6419.9546,
284.044,6518.2574,
281.134,6647.947,
278.223,6823.8055,
275.313,6949.8078,
272.402,7087.3275,
269.492,7211.4175,
266.581,7320.5637,
263.670,7519.0623,
260.760,7625.479,
257.849,7719.6474,
254.939,7860.5529,
252.028,7910.8726,
249.117,7947.6481,
246.207,7976.9514,
243.296,8006.2329,
240.386,8000.2331,
237.475,8008.4374,
234.565,8013.3853,
231.654,7911.8619,
228.743,7877.7169,
225.833,7833.007,
222.922,7753.3942,
220.012,7775.2509,
217.101,7716.6191,
214.191,7639.1955,
211.280,7608.642,
208.369,7609.7391,
205.459,7606.1847,
202.548,7600.0045,
199.638,7609.438,
196.727,7647.1004,
193.816,7642.9717,
190.906,7576.3112,
187.995,7688.535,
185.085,7758.1106,
182.174,7777.292,
179.264,7721.639,
176.353,7787.783,
173.442,7789.5813,
170.532,7717.0906,
167.621,7680.3209,
164.711,7576.2984,
161.800,7404.1286,
158.890,7148.6253,
155.979,6661.185,
153.068,6104.1525,
150.158,5476.3645,
147.247,4723.9505,
144.337,3867.1328,
141.426,3021.3301,
138.516,2241.3525,
135.605,1590.9792,
132.694,1080.5622,
129.784,702.05542,
126.873,474.64413,
123.963,321.38981,
121.052,220.82804,
118.141,171.56881,
115.231,137.97819,
112.320,104.88775,
109.410,78.375,
106.499,78.375,
103.589,71.091692,
100.678,66.461487,
97.767,69.305237,
94.857,52.743263,
91.946,44.971889,
89.036,42.794429,
86.125,32.865555,
83.215,34.622363,
80.304,38.135567,
77.393,37.427397,
74.483,35.409595,
71.572,32.925592,
68.662,29.959395,
65.751,25.720689,
62.840,23.893298,
59.930,23.000428,
57.019,21.590264,
54.109,17.792035,
51.198,16.883046,
48.288,20.369338,
45.377,19.665959,
42.466,16.901684,
39.556,14.065711,
36.645,18.278853,
33.735,13.663267,
30.824,9.7003218,
27.914,13.907373,
25.003,16.242912,
22.092,17.697905,
19.182,19.267432,
16.271,46.547547,
13.361,161.05366,
10.450,341.59534,
7.539,563.65963,
4.629,534.6324,
1.718,325.08476,
-1.192,-93.20196,
-4.103,-173.97013,
-7.013,-133.86075,
-9.924,-1.625,
