,PLCF4F~1,
Raman shift [1/cm],Intensity,
155.979,3535.7075,
153.068,3269.4248,
150.158,2955.5095,
147.247,2544.1229,
144.337,2101.7449,
141.426,1653.6381,
138.516,1210.5993,
135.605,866.39558,
132.694,590.03151,
129.784,381.08588,
126.873,260.94407,
123.963,175.04043,
121.052,113.76896,
118.141,76.646057,
115.231,70.815437,
112.320,58.332738,
109.410,43.681868,
106.499,39.408937,
103.589,34.017964,
100.678,28.598648,
97.767,23.622085,
94.857,31.815869,
91.946,32.275113,
89.036,26.483919,
86.125,20.101071,
83.215,20.092761,
80.304,20.542269,
77.393,17.70959,
74.483,16.18973,
71.572,16.587056,
68.662,18.292198,
65.751,16.172844,
62.840,13.573192,
59.930,10.188997,
57.019,5.2534227,
54.109,12.263091,
51.198,16.595172,
48.288,14.488675,
45.377,13.081919,
42.466,11.263342,
39.556,9.1546443,
36.645,7.0480736,
33.735,10.653988,
30.824,14.720887,
27.914,15.422062,
25.003,25.4622,
22.092,32.791618,
19.182,36.026306,
16.271,52.114579,
13.361,164.28595,
10.450,416.70926,
7.539,1039.6066,
4.629,1521.6215,
1.718,1730.6277,
-1.192,1434.3413,
-4.103,876.94259,
-7.013,377.32792,
-9.924,1.5,
