,PLED81~1,
Raman shift [1/cm],Intensity,
650.777,1586.922,
647.867,1595.6816,
644.956,1576.5739,
642.046,1577.7213,
639.135,1607.0574,
636.224,1642.5574,
633.314,1629.0604,
630.403,1624.4426,
627.493,1619.4002,
624.582,1616.333,
621.672,1632.9649,
618.761,1650.3437,
615.850,1649.0131,
612.940,1631.6713,
610.029,1612.0446,
607.119,1632.575,
604.208,1644.5652,
601.297,1639.6517,
598.387,1631.4849,
595.476,1629.9853,
592.566,1591.419,
589.655,1607.949,
586.745,1596.7567,
583.834,1566.9425,
580.923,1571.4781,
578.013,1547.1513,
575.102,1597.9838,
572.192,1636.6949,
569.281,1635.3896,
566.371,1667.4772,
563.460,1722.8296,
560.549,1706.6173,
557.639,1686.4987,
554.728,1739.8859,
551.818,1728.1812,
548.907,1734.1568,
545.996,1736.1259,
543.086,1735.6579,
540.175,1759.0173,
537.265,1762.7978,
534.354,1758.1064,
531.444,1745.1012,
528.533,1726.8942,
525.622,1744.741,
522.712,1788.6707,
519.801,1777.9645,
516.891,1729.1108,
513.980,1780.9887,
511.070,1784.2163,
508.159,1764.5223,
505.248,1752.8884,
502.338,1781.4835,
499.427,1810.8131,
496.517,1823.7159,
493.606,1843.4401,
490.695,1875.2669,
487.785,1879.8857,
484.874,1852.1911,
481.964,1823.3361,
479.053,1814.5533,
476.143,1856.0233,
473.232,1801.0727,
470.321,1789.8163,
467.411,1797.3196,
464.500,1784.4892,
461.590,1779.1291,
458.679,1798.5362,
455.769,1820.0359,
452.858,1831.9315,
449.947,1854.0855,
447.037,1825.8599,
444.126,1816.825,
441.216,1842.652,
438.305,1871.6054,
435.395,1850.7108,
432.484,1865.5474,
429.573,1893.6199,
426.663,1846.4912,
423.752,1881.6805,
420.842,1930.593,
417.931,1946.4317,
415.020,1868.3208,
412.110,1901.474,
409.199,1922.9379,
406.289,1929.9031,
403.378,1924.5533,
400.468,1903.3854,
397.557,1890.4552,
394.646,1874.6592,
391.736,1845.621,
388.825,1783.0198,
385.915,1717.792,
383.004,1688.6178,
380.094,1721.1971,
377.183,1771.613,
374.272,1833.9325,
371.362,1895.5222,
368.451,1946.5824,
365.541,1962.3437,
362.630,1954.6077,
359.719,1960.0153,
356.809,1995.1298,
353.898,1970.4195,
350.988,1970.6773,
348.077,1968.4936,
345.167,1950.0251,
342.256,1977.6667,
339.345,1996.7851,
336.435,1991.635,
333.524,1953.8229,
330.614,1991.8258,
327.703,1997.9775,
324.793,2003.1944,
321.882,2033.6593,
318.971,2047.7847,
316.061,2047.7419,
313.150,2045.6274,
310.240,2055.2749,
307.329,2104.2203,
304.418,2098.0916,
301.508,2055.2188,
298.597,2008.5726,
295.687,1961.9589,
292.776,1961.2084,
289.866,2027.7033,
286.955,2213.1234,
284.044,2329.4399,
281.134,2446.7957,
278.223,2562.6907,
275.313,2597.3229,
272.402,2679.5615,
269.492,2749.4676,
266.581,2788.6699,
263.670,2859.2472,
260.760,2893.207,
257.849,2923.0756,
254.939,2972.9797,
252.028,3011.2649,
249.117,3000.4995,
246.207,2959.8286,
243.296,2918.1025,
240.386,2914.278,
237.475,2872.3644,
234.565,2803.0145,
231.654,2792.7892,
228.743,2758.9798,
225.833,2713.6725,
222.922,2662.4019,
220.012,2636.174,
217.101,2591.8027,
214.191,2546.9754,
211.280,2521.5142,
208.369,2522.3163,
205.459,2505.6587,
202.548,2482.6362,
199.638,2505.8569,
196.727,2520.4207,
193.816,2511.0688,
190.906,2474.9105,
187.995,2540.0727,
