,PLF58E~1,
Raman shift [1/cm],Intensity,
385.915,5129.254,
383.004,5128.5188,
380.094,5204.2022,
377.183,5301.2716,
374.272,5353.2179,
371.362,5399.8565,
368.451,5464.7149,
365.541,5521.7557,
362.630,5536.1575,
359.719,5543.8331,
356.809,5567.7841,
353.898,5626.1904,
350.988,5663.9495,
348.077,5671.7953,
345.167,5649.1259,
342.256,5705.9031,
339.345,5725.4386,
336.435,5752.1229,
333.524,5814.297,
330.614,5815.7873,
327.703,5836.2728,
324.793,5861.6948,
321.882,5880.3852,
318.971,5936.1434,
316.061,6015.8009,
313.150,6075.0929,
310.240,6061.7348,
307.329,6108.416,
304.418,6150.9596,
301.508,6165.6623,
298.597,6114.5735,
295.687,6081.1287,
292.776,6167.2505,
289.866,6357.2267,
286.955,6594.3575,
284.044,6831.9148,
281.134,7069.853,
278.223,7302.243,
275.313,7500.4571,
272.402,7681.6668,
269.492,7840.5509,
266.581,7973.9749,
263.670,8082.0464,
260.760,8265.7859,
257.849,8433.2224,
254.939,8513.2156,
252.028,8637.3036,
249.117,8692.9297,
246.207,8694.1583,
243.296,8659.0205,
240.386,8702.2654,
237.475,8623.5195,
234.565,8456.3297,
231.654,8450.4867,
228.743,8363.5202,
225.833,8277.9926,
222.922,8223.6828,
220.012,8147.1845,
217.101,8011.839,
214.191,7912.3307,
211.280,7962.5256,
208.369,7917.8074,
205.459,7845.1422,
202.548,7778.5202,
199.638,7820.6079,
196.727,7869.0089,
193.816,7906.0766,
190.906,7922.066,
187.995,7859.7999,
185.085,7897.357,
182.174,7941.5069,
179.264,7861.2799,
176.353,7972.7164,
173.442,8003.2691,
170.532,7928.5052,
167.621,7844.872,
164.711,7692.9603,
161.800,7479.4188,
158.890,7195.8461,
155.979,6738.5567,
153.068,6159.2993,
150.158,5478.9495,
147.247,4736.5869,
144.337,3872.528,
141.426,3027.7257,
138.516,2269.9717,
135.605,1631.1813,
132.694,1110.1798,
129.784,706.19185,
126.873,454.46615,
123.963,317.32041,
121.052,229.30357,
118.141,171.47751,
115.231,132.16863,
112.320,110.74273,
109.410,100.52289,
106.499,86.27979,
103.589,72.605165,
100.678,62.62027,
97.767,58.354644,
94.857,47.162175,
91.946,42.653111,
89.036,43.927387,
86.125,48.182619,
83.215,41.817115,
80.304,33.573971,
77.393,28.616782,
74.483,28.905135,
71.572,30.699408,
68.662,32.834395,
65.751,28.595689,
62.840,25.804894,
59.930,24.999145,
57.019,27.819473,
54.109,19.889748,
51.198,15.154828,
48.288,17.278312,
45.377,20.795203,
42.466,25.959974,
39.556,29.868577,
36.645,21.442294,
33.735,20.288497,
30.824,20.366452,
27.914,17.561751,
25.003,21.608462,
22.092,24.572905,
19.182,25.478829,
16.271,32.47373,
13.361,144.40762,
10.450,343.16723,
7.539,627.38159,
4.629,736.87642,
1.718,643.88412,
-1.192,231.87169,
-4.103,41.916696,
-7.013,-32.764971,
-9.924,-0.75,
