,PL5C1E~1,
Raman shift [1/cm],Intensity,
793.396,4419.4158,
790.485,4379.9741,
787.574,4387.991,
784.664,4453.6,
781.753,4422.557,
778.843,4420.1231,
775.932,4445.6727,
773.022,4460.768,
770.111,4468.9438,
767.200,4505.2817,
764.290,4459.2901,
761.379,4442.7075,
758.469,4471.2459,
755.558,4431.4302,
752.648,4395.5877,
749.737,4351.9438,
746.826,4329.2365,
743.916,4289.48,
741.005,4174.6742,
738.095,3981.4475,
735.184,3752.5628,
732.274,3683.6474,
729.363,3816.543,
726.452,4082.3967,
723.542,4231.325,
720.631,4275.4333,
717.721,4340.9203,
714.810,4380.7386,
711.899,4371.4109,
708.989,4336.7131,
706.078,4327.6857,
703.168,4298.1751,
700.257,4263.9971,
697.347,4235.9353,
694.436,4220.1765,
691.525,4245.0944,
688.615,4213.3942,
685.704,4210.4945,
682.794,4234.3298,
679.883,4231.0046,
676.973,4242.2238,
674.062,4231.1003,
671.151,4228.76,
668.241,4235.2618,
665.330,4232.6848,
662.420,4194.3457,
659.509,4212.5322,
656.598,4238.7515,
653.688,4248.209,
650.777,4231.0941,
647.867,4248.6133,
644.956,4217.8276,
642.046,4198.1584,
639.135,4210.3516,
636.224,4247.8302,
633.314,4313.7271,
630.403,4297.9834,
627.493,4307.3782,
624.582,4353.556,
621.672,4331.3802,
618.761,4386.7355,
615.850,4401.1941,
612.940,4421.0413,
610.029,4467.262,
607.119,4483.8442,
604.208,4492.6001,
601.297,4481.5415,
598.387,4465.7802,
595.476,4456.5233,
592.566,4403.7897,
589.655,4428.1903,
586.745,4423.0657,
583.834,4381.5208,
580.923,4342.7132,
578.013,4378.0263,
575.102,4408.1492,
572.192,4405.2785,
569.281,4384.0292,
566.371,4448.2043,
563.460,4474.9586,
560.549,4477.1654,
557.639,4474.2599,
554.728,4488.6388,
551.818,4554.1853,
548.907,4543.5141,
545.996,4540.7188,
543.086,4565.5263,
540.175,4584.2138,
537.265,4621.714,
534.354,4658.5778,
531.444,4696.8262,
528.533,4739.9765,
525.622,4788.8612,
522.712,4826.1971,
519.801,4897.727,
516.891,4988.1606,
513.980,5001.3236,
511.070,5058.1434,
508.159,5131.1669,
505.248,5219.7997,
502.338,5324.714,
499.427,5400.3536,
496.517,5457.8333,
493.606,5488.519,
490.695,5500.8448,
487.785,5560.8885,
484.874,5550.4671,
481.964,5528.7028,
479.053,5509.8228,
476.143,5494.4636,
473.232,5465.4433,
470.321,5475.9094,
467.411,5493.6881,
464.500,5478.5885,
461.590,5442.5987,
458.679,5456.713,
455.769,5465.7878,
452.858,5448.3856,
449.947,5504.9165,
447.037,5524.9946,
444.126,5552.3121,
441.216,5591.0875,
438.305,5600.2306,
435.395,5594.9436,
432.484,5612.3376,
429.573,5648.6001,
426.663,5679.0057,
423.752,5667.5516,
420.842,5671.0904,
417.931,5687.8867,
415.020,5706.8457,
412.110,5779.1981,
409.199,5850.4877,
406.289,5888.1528,
403.378,5859.6076,
400.468,5891.3593,
397.557,5886.5897,
394.646,5883.2738,
391.736,5910.6167,
388.825,5851.7867,
385.915,5824.3883,
383.004,5848.9086,
380.094,5936.6076,
377.183,6017.1226,
374.272,6123.631,
371.362,6214.8086,
368.451,6265.5972,
365.541,6300.1218,
362.630,6341.7282,
359.719,6376.1952,
356.809,6395.4515,
353.898,6411.1763,
350.988,6356.3689,
348.077,6336.4121,
345.167,6410.7488,
342.256,6435.402,
339.345,6433.4656,
336.435,6434.9381,
333.524,6458.2551,
330.614,6418.7619,
327.703,6453.2199,
324.793,6513.4831,
321.882,6559.5018,
318.971,6560.2452,
316.061,6584.4274,
313.150,6644.1428,
310.240,6755.4602,
307.329,6793.8026,
304.418,6845.8001,
301.508,6884.6077,
298.597,6858.6931,
295.687,6900.5206,
292.776,6980.2503,
289.866,7118.0815,
286.955,7381.8065,
284.044,7671.8672,
281.134,7888.4844,
278.223,8048.2412,
275.313,8326.7725,
272.402,8487.739,
269.492,8628.3559,
266.581,8787.1616,
263.670,8992.2769,
260.760,9134.0366,
257.849,9227.7205,
254.939,9279.8262,
252.028,9347.0937,
249.117,9406.7621,
246.207,9470.4187,
243.296,9558.9952,
240.386,9483.6111,
237.475,9376.6459,
234.565,9256.6788,
231.654,9124.4794,
228.743,9042.9908,
225.833,8935.2032,
222.922,8775.695,
220.012,8694.0968,
217.101,8579.1712,
214.191,8480.2875,
211.280,8456.2812,
208.369,8395.2924,
205.459,8386.4625,
202.548,8415.3719,
199.638,8408.841,
196.727,8424.7865,
193.816,8438.4031,
190.906,8439.8905,
187.995,8422.5139,
185.085,8433.05,
182.174,8466.3871,
179.264,8521.3174,
176.353,8567.2283,
173.442,8596.7512,
170.532,8603.6195,
167.621,8553.1512,
164.711,8392.341,
161.800,8174.2197,
158.890,7924.4742,
155.979,7453.7431,
153.068,6880.8684,
150.158,6208.8398,
147.247,5399.7076,
144.337,4475.0515,
141.426,3522.7877,
138.516,2579.3588,
135.605,1882.5038,
132.694,1302.4055,
129.784,842.19463,
126.873,553.28217,
123.963,376.13341,
121.052,260.1541,
118.141,193.76122,
115.231,152.99749,
112.320,118.28366,
109.410,91.591026,
106.499,81.620853,
103.589,77.258982,
100.678,70.882431,
97.767,58.796492,
94.857,59.885978,
91.946,53.244004,
89.036,43.403183,
86.125,49.076825,
83.215,45.190796,
80.304,39.063404,
77.393,34.814384,
74.483,39.74108,
71.572,38.514127,
68.662,30.807325,
65.751,23.742814,
62.840,25.353616,
59.930,29.125428,
57.019,27.715264,
54.109,20.931231,
51.198,17.103219,
48.288,18.556624,
45.377,25.590405,
42.466,27.263342,
39.556,24.69417,
36.645,19.778838,
33.735,19.019248,
30.824,21.267096,
27.914,26.876498,
25.003,29.99055,
22.092,29.562573,
19.182,25.843243,
16.271,36.335595,
13.361,130.27055,
10.450,307.58539,
7.539,621.82731,
4.629,707.11427,
1.718,590.76244,
-1.192,200.3615,
-4.103,72.110636,
-7.013,14.203463,
-9.924,-2.5,
