,PLABEE~1,
Wavenumbers [1/cm],Intensity,
976.762,1297.3484,
973.852,1288.8338,
970.941,1278.6674,
968.030,1287.7052,
965.120,1303.0931,
962.209,1325.2592,
959.299,1319.0845,
956.388,1309.9603,
953.477,1317.5088,
950.567,1337.6599,
947.656,1345.549,
944.746,1326.8587,
941.835,1355.1533,
938.925,1349.497,
936.014,1332.3777,
933.103,1325.5309,
930.193,1335.9951,
927.282,1350.396,
924.372,1320.7998,
921.461,1293.4352,
918.551,1291.3903,
915.640,1274.7528,
912.729,1254.8558,
909.819,1278.5552,
906.908,1275.1855,
903.998,1255.1159,
901.087,1272.2777,
898.176,1289.772,
895.266,1293.0956,
892.355,1292.2983,
889.445,1309.9229,
886.534,1320.8533,
883.624,1332.4196,
880.713,1340.0621,
877.802,1319.7248,
874.892,1278.7577,
871.981,1289.5993,
869.071,1230.285,
866.160,1227.5896,
863.250,1259.307,
860.339,1309.7002,
857.428,1340.2258,
854.518,1282,
851.607,1282,
848.697,1259.9899,
845.786,1248.9621,
842.875,1278.4107,
839.965,1330.1503,
837.054,1308.307,
834.144,1335.6558,
831.233,1351.6659,
828.323,1370.848,
825.412,1367.292,
822.501,1332.383,
819.591,1345.6054,
816.680,1358.0193,
813.770,1334.0604,
810.859,1323.8661,
807.949,1329.0707,
805.038,1325.5929,
802.127,1338.763,
799.217,1326.583,
796.306,1311.7837,
793.396,1312.1757,
790.485,1320.5778,
787.574,1302.6922,
784.664,1268.2475,
781.753,1294.8782,
778.843,1317.3711,
775.932,1328.6296,
773.022,1343.9451,
770.111,1375.8307,
767.200,1344.5023,
764.290,1339.2009,
761.379,1331.184,
758.469,1328.695,
755.558,1386.833,
752.648,1347.732,
749.737,1370.6811,
746.826,1377.6756,
743.916,1371.7468,
741.005,1384.7336,
738.095,1391.2287,
735.184,1386.2795,
732.274,1345.0836,
729.363,1300.9218,
726.452,1291.1859,
723.542,1336.512,
720.631,1328.2965,
717.721,1332.447,
714.810,1344.8522,
711.899,1350.7327,
708.989,1328.1388,
706.078,1368.8664,
703.168,1360.7834,
700.257,1341.5737,
697.347,1333.6084,
694.436,1342.76,
691.525,1333.9181,
688.615,1325.7109,
685.704,1326.3169,
682.794,1332.7021,
679.883,1337.1626,
676.973,1385.2448,
674.062,1390.5334,
671.151,1388.8767,
668.241,1379.7553,
665.330,1347.2647,
662.420,1352.8558,
659.509,1359.7144,
656.598,1377.7135,
653.688,1397.23,
650.777,1397.757,
647.867,1390.59,
644.956,1364.234,
642.046,1337.8058,
639.135,1326.1922,
636.224,1342.1472,
633.314,1371.5229,
630.403,1382.5473,
627.493,1392.2974,
624.582,1405.4126,
621.672,1411.7485,
618.761,1390.7217,
615.850,1399.9786,
612.940,1415.0492,
610.029,1418.3424,
607.119,1414.3942,
604.208,1406.1899,
601.297,1390.0385,
598.387,1383.3059,
595.476,1401.3769,
592.566,1426.5631,
589.655,1398.6055,
586.745,1391.4152,
583.834,1410.0504,
580.923,1427.9289,
578.013,1416.1579,
575.102,1390.6301,
572.192,1385.0758,
569.281,1413.0142,
566.371,1457.6237,
563.460,1459.1781,
560.549,1430.7124,
557.639,1416.771,
554.728,1455.8175,
551.818,1437.0899,
548.907,1429.3435,
545.996,1435.5534,
543.086,1453.6974,
540.175,1475.4994,
537.265,1434.2675,
534.354,1426.0271,
531.444,1427.3122,
528.533,1410.8277,
525.622,1422.4669,
522.712,1434.1013,
519.801,1440.3819,
516.891,1441.1565,
513.980,1441.9308,
511.070,1445.5217,
508.159,1466.5802,
505.248,1492.2562,
502.338,1505.0452,
499.427,1506.5888,
496.517,1501.3434,
493.606,1504.7393,
490.695,1524.2794,
487.785,1555.071,
484.874,1532.8586,
481.964,1537.5181,
479.053,1556.9102,
476.143,1523.1199,
473.232,1512.3672,
470.321,1518.7315,
467.411,1515.8305,
464.500,1478.2412,
461.590,1527.2485,
458.679,1566.8638,
455.769,1571.6167,
452.858,1536.6363,
449.947,1542.7477,
447.037,1541.573,
444.126,1552.2,
441.216,1572.8677,
438.305,1572.1058,
435.395,1570.6887,
432.484,1573.334,
429.573,1567.1724,
426.663,1520.8038,
423.752,1452.8374,
420.842,1407.1892,
417.931,1374.5802,
415.020,1334.3872,
412.110,1428.1097,
409.199,1515.3227,
406.289,1562.3746,
403.378,1539.0717,
400.468,1560.2396,
397.557,1516.0992,
394.646,1518.0983,
391.736,1653.5171,
388.825,1638.4325,
385.915,1587.6991,
383.004,1579.8375,
380.094,1661.4242,
377.183,1650.137,
374.272,1626.9171,
371.362,1613.8263,
368.451,1625.1884,
365.541,1661.2141,
362.630,1645.3267,
359.719,1641.1661,
356.809,1679.6892,
353.898,1641.5005,
350.988,1654.8694,
348.077,1652.0577,
345.167,1599.2922,
342.256,1664.2872,
339.345,1681.4057,
336.435,1677.7793,
333.524,1672.0705,
330.614,1674.3059,
327.703,1675.5134,
324.793,1669.0396,
321.882,1649.0919,
318.971,1687.0075,
316.061,1705.3715,
313.150,1705.2262,
310.240,1686.6733,
307.329,1706.7245,
304.418,1723.6631,
301.508,1723.3661,
298.597,1683.3836,
295.687,1711.8303,
292.776,1744.5001,
289.866,1775.0719,
286.955,1803.8822,
284.044,1778.905,
281.134,1763.8514,
278.223,1769.6945,
275.313,1788.1159,
272.402,1784.4483,
269.492,1777.4157,
266.581,1771.6352,
263.670,1738.5521,
260.760,1762.9549,
257.849,1800.1591,
254.939,1817.7722,
252.028,1778.9124,
249.117,1770.3956,
