,PLA276~1,
Wavenumbers [1/cm],Intensity,
476.143,1372.099,
473.232,1366.4336,
470.321,1347.7198,
467.411,1322.6587,
464.500,1302.7003,
461.590,1340.2215,
458.679,1376.0636,
455.769,1398.6404,
452.858,1403.3067,
449.947,1408.6543,
447.037,1403.0756,
444.126,1410.2106,
441.216,1435.0415,
438.305,1465.5188,
435.395,1450.0809,
432.484,1439.75,
429.573,1435.49,
426.663,1417.2466,
423.752,1353.6797,
420.842,1317.1596,
417.931,1302.087,
415.020,1289.1949,
412.110,1350.9371,
409.199,1407.0018,
406.289,1448.1455,
403.378,1467.7602,
400.468,1470.7842,
397.557,1458.3821,
394.646,1464.3348,
391.736,1513.8325,
388.825,1485.1717,
385.915,1464.5095,
383.004,1476.0224,
380.094,1530.2912,
377.183,1501.6971,
374.272,1493.2072,
371.362,1507.4664,
368.451,1543.753,
365.541,1560.2648,
362.630,1545.6316,
359.719,1535.6694,
356.809,1550.0219,
353.898,1554.5146,
350.988,1550.8676,
348.077,1560.3992,
345.167,1591.9715,
342.256,1556.8592,
339.345,1556.3158,
336.435,1562.5293,
333.524,1557.6895,
330.614,1587.4957,
327.703,1593.6696,
324.793,1591.5234,
321.882,1593.6905,
318.971,1569.1569,
316.061,1598.3502,
313.150,1621.5834,
310.240,1569.6353,
307.329,1636.3551,
304.418,1647.7916,
301.508,1631.5069,
298.597,1641.8728,
295.687,1642.75,
292.776,1659.4168,
289.866,1694.1154,
286.955,1748.0424,
284.044,1740.57,
281.134,1727.3065,
278.223,1725.2468,
275.313,1762.8264,
272.402,1748.6757,
269.492,1731.4826,
266.581,1732.5336,
263.670,1785.4666,
260.760,1829.4811,
257.849,1853.697,
254.939,1847.8259,
252.028,1831.1016,
249.117,1825.6637,
246.207,1836.5994,
243.296,1874.6653,
240.386,1857.2013,
237.475,1824.6197,
234.565,1797.7671,
231.654,1842.3205,
228.743,1832.1875,
225.833,1810.1276,
222.922,1792.9878,
220.012,1798.0877,
217.101,1799.75,
214.191,1801.2799,
211.280,1806.3722,
208.369,1830.9713,
205.459,1816.7987,
202.548,1771.7333,
199.638,1736.9021,
196.727,1808.1154,
193.816,1851.6019,
190.906,1817.785,
187.995,1790.2721,
185.085,1819.5242,
182.174,1869.9977,
179.264,1896.74,
176.353,1898.4684,
173.442,1895.5747,
170.532,1889.9859,
167.621,1874.8454,
