,PL77CF~1,
Raman shift [1/cm],Intensity,
586.745,2893.1741,
583.834,2856.7871,
580.923,2862.5959,
578.013,2919.8815,
575.102,2892.8045,
572.192,2873.3977,
569.281,2904.1078,
566.371,2953.4131,
563.460,2924.3875,
560.549,2916.5846,
557.639,2926.7413,
554.728,2938.2701,
551.818,2970.2631,
548.907,3019.2995,
545.996,3038.0854,
543.086,3015.0165,
540.175,2967.5191,
537.265,2990.3241,
534.354,3029.8497,
531.444,3069.839,
528.533,3098.4088,
525.622,3114.7037,
522.712,3155.8687,
519.801,3178.7225,
516.891,3197.3782,
513.980,3301.9081,
511.070,3303.5022,
508.159,3317.92,
505.248,3361.2848,
502.338,3435.3059,
499.427,3505.5426,
496.517,3553.0985,
493.606,3561.7903,
490.695,3540.4922,
487.785,3578.212,
484.874,3604.2829,
481.964,3620.2333,
479.053,3625.4114,
476.143,3617.7318,
473.232,3557.5395,
470.321,3558.0922,
467.411,3578.6913,
464.500,3564.4743,
461.590,3533.8447,
458.679,3517.5459,
455.769,3531.4141,
452.858,3575.1705,
449.947,3574.4065,
447.037,3576.677,
444.126,3589.3409,
441.216,3614.0707,
438.305,3647.5957,
435.395,3648.3162,
432.484,3651.6678,
429.573,3645.0498,
426.663,3584.2386,
423.752,3608.5416,
420.842,3582.4317,
417.931,3558.2278,
415.020,3635.5803,
412.110,3713.6062,
409.199,3809.7096,
406.289,3870.6729,
403.378,3838.3653,
400.468,3872.385,
397.557,3904.8443,
394.646,3914.2068,
391.736,3882.5116,
388.825,3828.2069,
385.915,3855.8899,
383.004,3889.3958,
380.094,3879.7069,
377.183,3927.8654,
374.272,3989.5575,
371.362,4057.0338,
368.451,4123.1192,
365.541,4153.8912,
362.630,4178.6372,
359.719,4175.6758,
356.809,4137.3827,
353.898,4156.1027,
350.988,4150.4003,
348.077,4144.1541,
345.167,4150.8337,
342.256,4142.616,
339.345,4149.8158,
336.435,4148.8119,
333.524,4125.6828,
330.614,4171.1373,
327.703,4215.0275,
324.793,4229.3293,
321.882,4189.3708,
318.971,4239.1814,
316.061,4277.7358,
313.150,4306.9476,
310.240,4328.469,
307.329,4410.004,
304.418,4464.5917,
301.508,4487.9023,
298.597,4475.3152,
295.687,4556.8733,
292.776,4611.2501,
289.866,4682.538,
286.955,4921.1464,
284.044,5029.8849,
281.134,5130.6446,
278.223,5247.5428,
275.313,5379.4399,
272.402,5458.3695,
269.492,5555.452,
266.581,5694.2362,
263.670,5819.952,
260.760,5903.7869,
257.849,5964.9573,
254.939,6015.5952,
252.028,6056.0615,
249.117,6053.4337,
246.207,6032.8182,
243.296,6035.0143,
240.386,6036.556,
237.475,5994.2211,
234.565,5912.8263,
231.654,5833.9449,
228.743,5817.8254,
225.833,5757.5756,
222.922,5618.1289,
220.012,5594.0865,
217.101,5558.2792,
214.191,5514.6065,
211.280,5465.8665,
208.369,5450.8122,
205.459,5445.6493,
202.548,5447.6288,
199.638,5455.611,
196.727,5452.0641,
193.816,5444.6377,
190.906,5437.6721,
187.995,5478.2175,
185.085,5535.7527,
182.174,5583.6623,
179.264,5581.4941,
176.353,5601.7549,
173.442,5627.3898,
170.532,5647.2096,
167.621,5603.951,
164.711,5526.0285,
161.800,5393.7494,
158.890,5181.4298,
155.979,4877.5086,
153.068,4535.6033,
150.158,4128.9898,
147.247,3533.8073,
144.337,2879.2996,
141.426,2264.0544,
138.516,1739.29,
135.605,1220.6997,
132.694,822.77131,
129.784,534.12883,
126.873,353.91611,
123.963,247.25437,
121.052,177.53594,
118.141,135.41572,
115.231,99.010912,
112.320,76.200917,
109.410,63.886447,
106.499,56.764895,
103.589,47.966692,
100.678,42.25,
97.767,42.25,
94.857,31.162175,
91.946,27.459333,
89.036,29.588694,
86.125,31.71631,
83.215,29.595398,
80.304,26.292269,
77.393,23.45959,
74.483,26.525675,
71.572,27.162944,
68.662,24.834395,
65.751,20.595689,
62.840,17.804894,
59.930,14.002566,
57.019,5.5415818,
54.109,5.4443217,
51.198,7.4564371,
48.288,10.238675,
45.377,8.831919,
42.466,9.0744387,
39.556,10.25,
36.645,10.25,
33.735,7.6537577,
30.824,6.5753218,
27.914,10.782373,
25.003,11.25,
22.092,11.572905,
19.182,12.776306,
16.271,28.864579,
13.361,107.31931,
10.450,222.47562,
7.539,316.74819,
4.629,151.24241,
1.718,-104.15178,
-1.192,-356.5181,
-4.103,-323.72936,
-7.013,-197.5358,
-9.924,-4.75,
