,PL0AF2~1,
Wavenumbers [1/cm],Intensity,
33.735,14.634739,
30.824,15.128469,
27.914,6.0131912,
25.003,6.8679124,
22.092,10.906141,
19.182,17.457657,
16.271,31.44746,
13.361,94.739743,
10.450,167.50975,
7.539,129.80072,
4.629,84.889902,
1.718,-18.131997,
-1.192,-246.7954,
-4.103,-239.53983,
-7.013,-149.4191,
-9.924,3,
