,PL4FB6~1,
Raman shift [1/cm],Intensity,
703.168,3980.1896,
700.257,3955.1142,
697.347,3965.3645,
694.436,3951.5301,
691.525,3874.3648,
688.615,3885.926,
685.704,3897.4447,
682.794,3880.7953,
679.883,3850.319,
676.973,3887.9835,
674.062,3890.5203,
671.151,3913.9248,
668.241,3950.9605,
665.330,3959.0535,
662.420,3904.7397,
659.509,3884.736,
656.598,3899.0987,
653.688,3931.7563,
650.777,3954.1129,
647.867,3909.5185,
644.956,3936.774,
642.046,3967.917,
639.135,3971.2406,
636.224,3939.6449,
633.314,3943.6146,
630.403,3952.3107,
627.493,3980.2854,
624.582,4021.3924,
621.672,4042.7763,
618.761,4026.9063,
615.850,4049.1744,
612.940,4114.6584,
610.029,4193.0217,
607.119,4165.3846,
604.208,4125.7043,
601.297,4106.1383,
598.387,4115.0967,
595.476,4146.3223,
592.566,4121.9232,
589.655,4137.0617,
586.745,4136.7758,
583.834,4116.6962,
580.923,4095.5255,
578.013,4079.0461,
575.102,4070.6099,
572.192,4076.9144,
569.281,4101.358,
566.371,4144.4023,
563.460,4187.4258,
560.549,4206.5487,
557.639,4212.8478,
554.728,4221.8714,
551.818,4225.7729,
548.907,4246.1262,
545.996,4264.4568,
543.086,4271.2763,
540.175,4260.3753,
537.265,4274.8349,
534.354,4304.7062,
531.444,4350.3603,
528.533,4404.9695,
525.622,4381.6911,
522.712,4385.7263,
519.801,4417.211,
516.891,4476.7796,
513.980,4566.5979,
511.070,4584.4859,
508.159,4611.0706,
505.248,4645.3891,
502.338,4675.8902,
499.427,4719.1127,
496.517,4766.2613,
493.606,4789.2506,
490.695,4782.9787,
487.785,4799.9141,
484.874,4847.2144,
481.964,4851.2764,
479.053,4813.616,
476.143,4775.9858,
473.232,4749.1653,
470.321,4775.6317,
467.411,4813.625,
464.500,4812.0347,
461.590,4749.244,
458.679,4770.1456,
455.769,4773.2692,
452.858,4715.045,
449.947,4747.894,
447.037,4807.4132,
444.126,4822.7705,
441.216,4789.8313,
438.305,4785.2597,
435.395,4788.5588,
432.484,4790.2082,
429.573,4788.205,
426.663,4782.1239,
423.752,4752.3334,
420.842,4694.8698,
417.931,4663.6028,
415.020,4740.9553,
412.110,4857.025,
409.199,4892.268,
406.289,4908.2551,
403.378,4977.438,
400.468,4922.2504,
397.557,4910.7948,
394.646,4895.616,
391.736,4837.0314,
388.825,4787.2522,
385.915,4720.47,
383.004,4699.7528,
380.094,4769.0744,
377.183,4895.4904,
374.272,4962.649,
371.362,5030.8308,
368.451,5126.0233,
365.541,5066.731,
362.630,5100.3329,
359.719,5143.9927,
356.809,5149.5344,
353.898,5148.0368,
350.988,5162.2721,
348.077,5176.3675,
345.167,5184.8254,
342.256,5267.75,
339.345,5282.0592,
336.435,5289.4478,
333.524,5331.7524,
330.614,5367.5199,
327.703,5380.1652,
324.793,5391.4211,
321.882,5419.6863,
318.971,5444.9633,
316.061,5469.7394,
313.150,5494.4774,
310.240,5519.7093,
307.329,5603.5229,
304.418,5646.656,
301.508,5658.0342,
298.597,5655.813,
295.687,5652.916,
292.776,5730.7921,
289.866,5887.7094,
286.955,6106.3721,
284.044,6340.0248,
281.134,6576.8577,
278.223,6817.3483,
275.313,7075.2477,
272.402,7230.1213,
269.492,7368.2135,
266.581,7515.0903,
263.670,7591.549,
260.760,7745.2656,
257.849,7896.4203,
254.939,7984.4862,
252.028,8066.6956,
249.117,8124.121,
246.207,8137.2522,
243.296,8066.2446,
240.386,8029.8934,
237.475,7989.6528,
234.565,7930.6444,
231.654,7810.1311,
228.743,7715.5808,
225.833,7611.573,
222.922,7491.0327,
220.012,7499.7753,
217.101,7369.641,
214.191,7227.0352,
211.280,7211.7585,
208.369,7144.0165,
205.459,7055.73,
202.548,6983.7838,
199.638,7054.1718,
196.727,7063.4391,
193.816,7075.8802,
190.906,7112.2029,
187.995,7071.6575,
185.085,7072.7564,
182.174,7080.6144,
179.264,7047.3671,
176.353,7071.1785,
173.442,7100.0396,
170.532,7118.9206,
167.621,7078.546,
164.711,6984.5853,
161.800,6810.3361,
158.890,6519.5662,
155.979,6126.2946,
153.068,5643.2694,
150.158,5064.3782,
147.247,4339.9644,
144.337,3579.7204,
141.426,2825.9196,
138.516,2098.9919,
135.605,1501.6169,
132.694,1020.8647,
129.784,656.6503,
126.873,446.40212,
123.963,312.00471,
121.052,216.84568,
118.141,151.8806,
115.231,123.91276,
112.320,103.30501,
109.410,89.125092,
106.499,81.291385,
103.589,67.299402,
100.678,56.810135,
97.767,54.677322,
94.857,50.467066,
91.946,44.593891,
89.036,38.737898,
86.125,39.447103,
83.215,41.217761,
80.304,41.188404,
77.393,36.939384,
74.483,30.07365,
71.572,29.161465,
68.662,32.724523,
65.751,23.540658,
62.840,23.515212,
59.930,25.12671,
57.019,19.486055,
54.109,17.430678,
51.198,17.831437,
48.288,20.681624,
45.377,27.715405,
42.466,30.625,
39.556,29.704051,
36.645,24.08653,
33.735,24.182745,
30.824,24.741452,
27.914,21.936751,
25.003,16.6439,
22.092,14.270809,
19.182,16.540315,
16.271,44.51992,
13.361,151.71742,
10.450,347.32557,
7.539,717.43272,
4.629,911.21042,
1.718,862.78864,
-1.192,406.85611,
-4.103,193.66928,
-7.013,66.567009,
-9.924,4.625,
