,PLF53F~1,
Raman shift [1/cm],Intensity,
796.306,3628.7296,
793.396,3601.6564,
790.485,3593.9492,
787.574,3619.097,
784.664,3595.3138,
781.753,3612.4715,
778.843,3635.2521,
775.932,3647.3827,
773.022,3648.0288,
770.111,3661.11,
767.200,3636.1154,
764.290,3629.7336,
761.379,3632.5755,
758.469,3631.4425,
755.558,3617.5867,
752.648,3603.7384,
749.737,3590.5554,
746.826,3526.2561,
743.916,3442.2465,
741.005,3376.1655,
738.095,3174.0081,
735.184,2968.3748,
732.274,2949.6415,
729.363,3087.4373,
726.452,3298.2055,
723.542,3487.6036,
720.631,3542.3433,
717.721,3574.9039,
714.810,3593.1875,
711.899,3596.0495,
708.989,3579.1041,
706.078,3587.8143,
703.168,3569.9617,
700.257,3547.0983,
697.347,3528.87,
694.436,3513.8254,
691.525,3507.395,
688.615,3501.5976,
685.704,3491.2295,
682.794,3488.0212,
679.883,3511.1802,
676.973,3515.1871,
674.062,3505.7907,
671.151,3523.6698,
668.241,3548.7585,
665.330,3532.0378,
662.420,3532.8365,
659.509,3537.4445,
656.598,3543.0292,
653.688,3541.709,
650.777,3525.2961,
647.867,3563.5199,
644.956,3591.1937,
642.046,3581.8555,
639.135,3554.5153,
636.224,3564.0915,
633.314,3582.3521,
630.403,3624.2463,
627.493,3643.4707,
624.582,3631.9406,
621.672,3627.1886,
618.761,3613.3211,
615.850,3650.3241,
612.940,3701.7598,
610.029,3736.263,
607.119,3737.8423,
604.208,3686.879,
601.297,3681.454,
598.387,3714.7712,
595.476,3753.1319,
592.566,3690.9536,
589.655,3701.3804,
586.745,3724.7172,
583.834,3714.3087,
580.923,3622.9668,
578.013,3617.4737,
575.102,3615.4264,
572.192,3626.4331,
569.281,3651.921,
566.371,3679.3128,
563.460,3757.4851,
560.549,3776.818,
557.639,3758.3602,
554.728,3746.1041,
551.818,3795.264,
548.907,3802.3435,
545.996,3815.1628,
543.086,3829.4375,
540.175,3785.0547,
537.265,3790.6914,
534.354,3825.6065,
531.444,3860.3439,
528.533,3867.2894,
525.622,3843.235,
522.712,3825.2582,
519.801,3861.2981,
516.891,3934.252,
513.980,3940.4464,
511.070,3983.2608,
508.159,4004.343,
505.248,4040.7975,
502.338,4137.4186,
499.427,4083.3903,
496.517,4126.1313,
493.606,4169.6635,
490.695,4169.4279,
487.785,4172.5071,
484.874,4176.8773,
481.964,4206.4084,
479.053,4224.0402,
476.143,4136.4924,
473.232,4193.5881,
470.321,4188.8054,
467.411,4154.2011,
464.500,4142.0303,
461.590,4103.7433,
458.679,4108.4082,
455.769,4116.9042,
452.858,4112.5335,
449.947,4156.0776,
447.037,4157.1121,
444.126,4176.7697,
441.216,4216.7511,
438.305,4203.7983,
435.395,4197.4105,
432.484,4179.5802,
429.573,4157.4675,
426.663,4155.1871,
423.752,4184.989,
420.842,4162.3785,
417.931,4135.9447,
415.020,4192.0632,
412.110,4258.382,
409.199,4293.7359,
406.289,4306.246,
