,PLDF70~1,
Raman shift [1/cm],Intensity,
749.737,3321.8883,
746.826,3239.1378,
743.916,3125.0627,
741.005,2996.8133,
738.095,2748.379,
735.184,2399.2433,
732.274,2323.4129,
729.363,2524.2048,
726.452,2876.2365,
723.542,3138.48,
720.631,3220.1544,
717.721,3294.7225,
714.810,3340.5852,
711.899,3339.9047,
708.989,3297.1376,
706.078,3320.1128,
703.168,3311.9089,
700.257,3292.9733,
697.347,3266.485,
694.436,3222.4424,
691.525,3243.3413,
688.615,3250.3906,
685.704,3260.5089,
682.794,3277.726,
679.883,3296.3704,
676.973,3285.1512,
674.062,3307.7602,
671.151,3323.6283,
668.241,3328.4957,
665.330,3337.0641,
662.420,3341.0577,
659.509,3386.3202,
656.598,3427.0212,
653.688,3440.8939,
650.777,3419.6599,
647.867,3383.8251,
644.956,3341.8217,
642.046,3347.8239,
639.135,3388.5999,
636.224,3398.692,
633.314,3362.1708,
630.403,3368.2465,
627.493,3385.4043,
624.582,3394.4624,
621.672,3388.1265,
618.761,3394.7145,
615.850,3393.0181,
612.940,3392.6073,
610.029,3407.7392,
607.119,3466.9615,
604.208,3460.0948,
601.297,3469.8305,
598.387,3475.7028,
595.476,3451.0923,
592.566,3432.2027,
589.655,3433.4102,
586.745,3437.1769,
583.834,3428.335,
580.923,3390.7944,
578.013,3377.454,
575.102,3411.1582,
572.192,3463.5276,
569.281,3520.1072,
566.371,3588.1955,
563.460,3604.7516,
560.549,3588.8966,
557.639,3579.6918,
554.728,3616.2109,
551.818,3684.8787,
548.907,3725.4704,
545.996,3730.9889,
543.086,3705.6546,
540.175,3667.501,
537.265,3690.2248,
534.354,3680.3091,
531.444,3687.0688,
528.533,3753.9921,
525.622,3741.5769,
522.712,3740.0885,
519.801,3752.3314,
516.891,3771.814,
513.980,3776.4598,
511.070,3776.875,
508.159,3773.0545,
505.248,3793.4105,
502.338,3867.6205,
499.427,3893.091,
496.517,3868.1983,
493.606,3858.3441,
490.695,3891.3683,
487.785,3923.6996,
484.874,3919.8279,
481.964,3894.5264,
479.053,3867.7136,
476.143,3875.3932,
473.232,3852.1347,
470.321,3825.8448,
467.411,3808.888,
464.500,3812.2435,
461.590,3826.7925,
458.679,3872.6974,
455.769,3909.7106,
452.858,3914.5229,
449.947,3901.5361,
447.037,3909.1899,
444.126,3929.1841,
441.216,3949.4938,
438.305,3935.779,
435.395,3915.5172,
432.484,3931.7136,
429.573,3970.1825,
426.663,3980.0644,
423.752,3925.7789,
420.842,3911.0087,
417.931,3931.5711,
415.020,3965.6972,
412.110,4114.6609,
409.199,4193.3249,
406.289,4206.0841,
403.378,4166.7597,
400.468,4132.74,
397.557,4129.0731,
394.646,4107.8631,
391.736,4029.0259,
388.825,3940.0266,
385.915,3839.9001,
383.004,3804.5715,
380.094,3885.4395,
377.183,4014.113,
374.272,4138.3482,
371.362,4228.4744,
368.451,4269.9326,
365.541,4336.7303,
362.630,4334.6641,
359.719,4313.4355,
356.809,4301.2439,
353.898,4274.2871,
350.988,4274.4698,
348.077,4263.1601,
345.167,4220.7075,
342.256,4237.143,
339.345,4244.5322,
336.435,4275.7446,
333.524,4350.4522,
330.614,4337.0394,
327.703,4351.3576,
324.793,4386.9204,
321.882,4438.8191,
318.971,4415.7724,
316.061,4477.2156,
313.150,4562.3464,
310.240,4602.4207,
307.329,4661.046,
304.418,4678.4036,
301.508,4648.2442,
298.597,4559.3941,
295.687,4477.3786,
292.776,4526.8755,
289.866,4706.2829,
286.955,4992.9084,
284.044,5258.4123,
281.134,5495.8882,
278.223,5695.3355,
275.313,5814.7061,
272.402,5972.9018,
269.492,6111.6501,
266.581,6212.5984,
263.670,6334.6383,
260.760,6483.2322,
257.849,6586.3617,
254.939,6584.894,
252.028,6674.6318,
249.117,6702.0226,
246.207,6695.5797,
243.296,6702.168,
240.386,6612.1091,
237.475,6498.179,
234.565,6382.9821,
231.654,6320.1691,
228.743,6297.0937,
225.833,6239.5671,
222.922,6123.0064,
220.012,6082.9359,
217.101,6004.6098,
214.191,5899.9383,
211.280,5776.9971,
208.369,5716.7412,
205.459,5703.054,
202.548,5718.7469,
199.638,5712.216,
196.727,5737.3809,
193.816,5741.5228,
190.906,5705.1385,
187.995,5684.1418,
185.085,5694.8435,
182.174,5727.2157,
179.264,5772.7499,
176.353,5811.1955,
173.442,5808.4841,
170.532,5762.7263,
167.621,5692.7917,
164.711,5618.1648,
161.800,5492.4253,
158.890,5271.4689,
155.979,5031.4965,
153.068,4642.9467,
150.158,4135.2188,
147.247,3608.2418,
144.337,2977.8468,
141.426,2335.3222,
138.516,1720.9464,
135.605,1241.6774,
132.694,855.73435,
129.784,558.66328,
126.873,367.72361,
123.963,245.22169,
121.052,169.69356,
118.141,138.99578,
115.231,111.16276,
112.320,83.776835,
109.410,61.738645,
106.499,61.02649,
103.589,55.83271,
100.678,49.430405,
97.767,43.031966,
94.857,39.410055,
91.946,37.068778,
89.036,34.746021,
86.125,27.653968,
83.215,29.060522,
80.304,30.198971,
77.393,25.241782,
74.483,26.840405,
71.572,26.425592,
68.662,23.667198,
65.751,21.547844,
62.840,20.393298,
59.930,18.563997,
57.019,13.628423,
54.109,18.249448,
51.198,20.366954,
48.288,16.863675,
45.377,15.456919,
42.466,18.172755,
39.556,22.644763,
36.645,21.240382,
33.735,19.836503,
30.824,20.200322,
27.914,24.407373,
25.003,29.233462,
22.092,33.812427,
19.182,38.309774,
16.271,51.600087,
13.361,191.32009,
10.450,499.18969,
7.539,1215.6613,
4.629,1772.5963,
1.718,2018.3119,
-1.192,1687.1682,
-4.103,997.707,
-7.013,402.93398,
-9.924,-2.125,
