,PL6DEB~1,
Raman shift [1/cm],Intensity,
761.379,755.12502,
758.469,730.74287,
755.558,760.26744,
752.648,769.22808,
749.737,761.86095,
746.826,735.08761,
743.916,708.32465,
741.005,699.13964,
738.095,656.11017,
735.184,559.47236,
732.274,482.5059,
729.363,503.83164,
726.452,630.71745,
723.542,701.13467,
720.631,724.87801,
717.721,725.27154,
714.810,725.94883,
711.899,746.79212,
708.989,801.66302,
706.078,764.33876,
703.168,742.24836,
700.257,733.17486,
697.347,736.34737,
694.436,751.41081,
691.525,729.70807,
688.615,748.26971,
685.704,740.84701,
682.794,721.1914,
679.883,746.342,
676.973,709.47895,
674.062,698.80959,
671.151,694.80835,
668.241,703.19766,
665.330,738.50839,
662.420,728.12488,
659.509,729.17466,
656.598,724.076,
653.688,717.07038,
650.777,724.54005,
647.867,740.46661,
644.956,744,
642.046,729.90366,
639.135,715.24023,
636.224,735.00796,
633.314,736.59583,
630.403,751.78027,
627.493,753.55036,
624.582,737.17486,
621.672,724.50295,
618.761,747.55812,
615.850,757.20395,
612.940,759.68307,
610.029,760.60543,
607.119,758.23654,
604.208,792.08064,
601.297,783.06818,
598.387,754.26736,
595.476,742.37693,
592.566,767.56312,
589.655,757.09853,
586.745,754.20762,
583.834,758.36499,
580.923,749.09952,
578.013,765.57893,
575.102,739.02623,
572.192,728.14767,
569.281,747.7504,
566.371,735.22842,
563.460,713.54142,
560.549,721.56747,
557.639,749.74253,
554.728,780.18251,
551.818,798.9101,
548.907,783.49878,
545.996,768.66726,
543.086,774.22694,
540.175,817.05246,
537.265,775.09468,
534.354,788.60313,
531.444,806.46039,
528.533,776.09692,
525.622,805.58292,
522.712,817.46078,
519.801,841.62153,
516.891,868.42679,
513.980,835.90636,
511.070,862.58259,
508.159,881.68593,
505.248,892.00435,
502.338,900.66112,
499.427,889.08364,
496.517,934.64641,
493.606,965.27016,
490.695,951.78603,
487.785,950.24645,
484.874,951.29245,
481.964,945.77083,
479.053,941.96417,
476.143,962.69916,
473.232,960.40298,
470.321,941.96983,
467.411,917.92175,
464.500,900.65937,
461.590,926.69454,
458.679,912.53851,
455.769,906.97244,
452.858,936.6586,
449.947,971.79945,
447.037,957.76338,
444.126,955.4606,
441.216,975.52915,
438.305,978.57688,
435.395,992.11273,
432.484,981.49641,
429.573,958.59752,
426.663,965.43878,
423.752,968.09226,
420.842,970.82674,
417.931,975.58563,
415.020,984.68592,
412.110,999.63226,
409.199,994.73106,
406.289,999.49671,
403.378,1046.9539,
400.468,1033.346,
397.557,1035.6839,
394.646,1032.0342,
391.736,1005.8692,
388.825,1033.0215,
385.915,1011.7293,
383.004,978.86142,
380.094,963.4569,
377.183,1011.6154,
374.272,1052.139,
371.362,1064.1099,
368.451,1042.012,
365.541,1108.0592,
362.630,1095.4105,
359.719,1064.6726,
356.809,1054.2655,
353.898,1091.7054,
350.988,1102,
348.077,1096.1918,
345.167,1083.5137,
342.256,1113.3964,
339.345,1101.8056,
336.435,1079.2809,
333.524,1067.2349,
330.614,1074.6864,
327.703,1099.5898,
324.793,1113.7818,
321.882,1093.0054,
318.971,1095.2357,
316.061,1147.7613,
313.150,1185.6024,
310.240,1132.9122,
307.329,1152.4391,
304.418,1128.1714,
301.508,1094.3169,
298.597,1114.3082,
295.687,1147.1531,
292.776,1123.2498,
289.866,1080.6768,
286.955,1136.0812,
284.044,1189.54,
281.134,1241.5499,
278.223,1291.2513,
275.313,1333.9889,
272.402,1331.9628,
269.492,1341.4269,
266.581,1379.9459,
263.670,1393.1792,
260.760,1401.7014,
257.849,1404.2036,
254.939,1399.0664,
252.028,1425.7823,
249.117,1436,
246.207,1440.7353,
243.296,1459.0362,
240.386,1435.5333,
237.475,1421.6158,
234.565,1421.6902,
231.654,1426.0725,
228.743,1406.8621,
225.833,1380.7188,
222.922,1355.5096,
220.012,1366.4379,
217.101,1350.8621,
214.191,1330.1258,
211.280,1327.2159,
208.369,1282.5943,
205.459,1306.5145,
202.548,1369.4847,
199.638,1337.5561,
196.727,1338.4908,
193.816,1341.5918,
190.906,1336.9142,
187.995,1362.9791,
185.085,1398.9528,
182.174,1418.8141,
179.264,1381.2302,
176.353,1384.6893,
173.442,1406.7653,
170.532,1431.0274,
167.621,1371.1864,
164.711,1368.6648,
161.800,1348.0675,
158.890,1251.624,
155.979,1202.4937,
153.068,1125.8987,
150.158,1016.494,
147.247,860.69836,
144.337,731.75896,
141.426,594.33251,
138.516,430.88131,
135.605,286.70358,
132.694,189.009,
129.784,126.24412,
126.873,76.18503,
123.963,46.651615,
121.052,26.617505,
118.141,13.053367,
115.231,15.842281,
112.320,12.340005,
109.410,6.4090658,
106.499,8.5455315,
103.589,9.5602545,
100.678,9.4567566,
97.767,8.0348814,
94.857,3.1490767,
91.946,5.0311087,
89.036,10.774204,
86.125,9.3557936,
83.215,10.061841,
80.304,9.5634039,
77.393,5.3143843,
74.483,9.5859447,
71.572,9.8258873,
68.662,5.584395,
65.751,1.3456885,
62.840,1.9268079,
59.930,5.6855758,
57.019,12.031314,
54.109,4.0425873,
51.198,-0.7935629,
48.288,2.0113249,
45.377,3.418081,
42.466,8.1221934,
39.556,14.460474,
36.645,17.269235,
33.735,10.211273,
30.824,3,
27.914,3,
25.003,4.8679124,
22.092,4.0625727,
19.182,0.66360302,
16.271,20.948817,
13.361,106.54827,
10.450,244.36953,
7.539,426.62984,
4.629,477.61427,
1.718,362.33153,
-1.192,-24.583688,
-4.103,-164.54275,
-7.013,-155.81106,
-9.924,-2,
