,PLEB9E~1,
Wavenumbers [1/cm],Intensity,
930.193,1813.9988,
927.282,1817.4042,
924.372,1806.4113,
921.461,1790.272,
918.551,1758.2771,
915.640,1718.6027,
912.729,1688.3164,
909.819,1681.4448,
906.908,1684.8145,
903.998,1676.251,
901.087,1705.8253,
898.176,1722.0912,
895.266,1721.587,
892.355,1727.9841,
889.445,1743.9302,
886.534,1744.8349,
883.624,1760.4751,
880.713,1785.3521,
877.802,1795.0522,
874.892,1769.3146,
871.981,1713.2762,
869.071,1724.972,
866.160,1700.0916,
863.250,1721.549,
860.339,1763.8132,
857.428,1782.8956,
854.518,1773.5667,
851.607,1758.5895,
848.697,1731.9264,
845.786,1725.1517,
842.875,1757.663,
839.965,1807.4077,
837.054,1791.1768,
834.144,1806.9231,
831.233,1780.0022,
828.323,1779.8372,
825.412,1786.629,
822.501,1773.0214,
819.591,1795.3342,
816.680,1805.6154,
813.770,1780.4339,
810.859,1760.3901,
807.949,1748.8341,
805.038,1729.9004,
802.127,1729.0773,
799.217,1702.9113,
796.306,1663.3511,
793.396,1648.1757,
790.485,1660.7894,
787.574,1659.6263,
784.664,1649.785,
781.753,1663.4326,
778.843,1677.8612,
775.932,1687.1605,
773.022,1692.2536,
770.111,1693.8888,
767.200,1690.1934,
764.290,1678.0203,
761.379,1683.7854,
758.469,1709.3946,
755.558,1724.2008,
752.648,1663.9202,
749.737,1672.8893,
746.826,1690.5271,
743.916,1702.7468,
741.005,1715.7336,
738.095,1722.2287,
735.184,1660.0747,
732.274,1601.3426,
729.363,1578.3971,
726.452,1597.97,
723.542,1625.4894,
720.631,1633.8809,
717.721,1629.6987,
714.810,1634.1363,
711.899,1649,
708.989,1649,
706.078,1669.0326,
703.168,1669.1422,
700.257,1655.2731,
697.347,1633.0442,
694.436,1608.6547,
691.525,1632.7688,
688.615,1611.5857,
685.704,1607.6557,
682.794,1633.0637,
679.883,1665.3152,
676.973,1650.0891,
674.062,1655.9331,
671.151,1660.5617,
668.241,1661.1912,
665.330,1665.2269,
662.420,1670.0193,
659.509,1664.6507,
656.598,1683.9357,
653.688,1711.0094,
650.777,1699.8389,
647.867,1665.5968,
644.956,1649.951,
642.046,1649.5606,
639.135,1656.6288,
636.224,1659.0358,
633.314,1666.1813,
630.403,1711.1584,
627.493,1719.8759,
624.582,1690.4143,
621.672,1710.2141,
618.761,1682.1223,
615.850,1675.7549,
612.940,1689.6122,
610.029,1709.1065,
607.119,1691.7346,
604.208,1698.5202,
601.297,1712.4689,
598.387,1726.4396,
595.476,1734.7772,
592.566,1732.416,
589.655,1706.0844,
586.745,1682.0187,
583.834,1684.1513,
580.923,1737.9337,
578.013,1726.9474,
575.102,1687.8639,
572.192,1679.9361,
569.281,1718.0774,
566.371,1740.7735,
563.460,1728.1852,
560.549,1737.1056,
557.639,1750.0458,
554.728,1741.7044,
551.818,1737.0225,
548.907,1718.327,
545.996,1714.7758,
543.086,1728.3421,
540.175,1734.5713,
537.265,1740.7942,
534.354,1743,
531.444,1739.6561,
528.533,1733.2625,
525.622,1765.0763,
522.712,1768.3595,
519.801,1769.8188,
516.891,1789.6159,
513.980,1856.9797,
511.070,1824.2609,
508.159,1827.1027,
505.248,1858.5152,
502.338,1890.7229,
499.427,1915.4216,
496.517,1925.3939,
493.606,1939.1042,
490.695,1955.7578,
487.785,1918.038,
484.874,1910.7076,
481.964,1929.5181,
479.053,1950.9327,
476.143,1925.5899,
473.232,1978.6747,
470.321,1987.8356,
467.411,1951.4468,
464.500,1883.4739,
461.590,1941.6701,
458.679,1978.9112,
455.769,2005.1369,
452.858,2025.8749,
449.947,2034.2781,
447.037,2026.8986,
444.126,2029.503,
441.216,2044.6614,
438.305,2048.4711,
435.395,2058.8345,
432.484,2063.5832,
429.573,2058.2074,
426.663,2037.6836,
423.752,1984.391,
420.842,1956.9765,
417.931,1954.0166,
415.020,1964.6336,
412.110,2035.2349,
409.199,2118.7016,
406.289,2168.4229,
403.378,2136.1153,
400.468,2170.135,
397.557,2157.3491,
394.646,2154.1235,
391.736,2204.503,
388.825,2157.7407,
385.915,2165.8199,
383.004,2186.7133,
380.094,2190.5009,
377.183,2180.7187,
374.272,2190.4839,
371.362,2210.1241,
368.451,2233.2766,
365.541,2254.2916,
362.630,2252.8989,
359.719,2262.6863,
356.809,2298.5048,
353.898,2273.7945,
350.988,2264.2876,
348.077,2262.2904,
345.167,2265.1191,
342.256,2306.9549,
339.345,2267.9825,
336.435,2265.4716,
333.524,2375.0605,
330.614,2345.2543,
327.703,2333.9464,
324.793,2332.7734,
321.882,2334.9856,
318.971,2329.038,
316.061,2356.2988,
313.150,2382.15,
310.240,2366.5656,
307.329,2430.3173,
304.418,2415.8761,
301.508,2374.1046,
298.597,2397.0576,
295.687,2407.1269,
292.776,2443.5002,
289.866,2498.4971,
286.955,2543.5594,
284.044,2578.4625,
281.134,2584.2617,
278.223,2569.1256,
275.313,2590.4944,
272.402,2603.7135,
269.492,2621.7236,
266.581,2648.051,
263.670,2662.7546,
260.760,2687.8953,
257.849,2703.6638,
254.939,2694.1234,
252.028,2711.3723,
249.117,2716.1727,
246.207,2735.5928,
243.296,2819.045,
240.386,2726.7863,
237.475,2689.9042,
234.565,2717.5752,
231.654,2721.2271,
228.743,2716.8217,
225.833,2709.3412,
222.922,2699.0635,
220.012,2657.5358,
217.101,2649.3979,
214.191,2664.6167,
211.280,2696.625,
208.369,2713.8019,
205.459,2695.8472,
202.548,2661.2591,
199.638,2680.1259,
196.727,2711.6584,
193.816,2736.5153,
190.906,2747.8126,
187.995,2770.9814,
185.085,2785.62,
182.174,2799.8559,
179.264,2825.1527,
176.353,2842.7379,
173.442,2862.9644,
170.532,2884.9241,
167.621,2892.8548,
164.711,2823.5228,
161.800,2717.22,
158.890,2594.8663,
155.979,2497.9333,
153.068,2300.6114,
150.158,2024.3397,
147.247,1750.0819,
144.337,1459.2526,
141.426,1156.0627,
138.516,840.63059,
135.605,612.58226,
132.694,424.21777,
129.784,274.48824,
126.873,174.37006,
123.963,123.27021,
121.052,89.23501,
118.141,62.106734,
115.231,49.920304,
112.320,39.916369,
109.410,32.181868,
106.499,27.908937,
103.589,29.801272,
100.678,29.012161,
97.767,21.191848,
94.857,27.92989,
91.946,26.968891,
89.036,20.096817,
86.125,14.423175,
83.215,8.7526372,
80.304,6.9154615,
77.393,12.580821,
74.483,14.31027,
71.572,12.825887,
68.662,9.2078025,
65.751,11.327156,
62.840,10.073192,
59.930,8.5618586,
57.019,10.677105,
54.109,10.402839,
51.198,10.904828,
48.288,13.005662,
45.377,13.709041,
42.466,13.175561,
39.556,12.460474,
36.645,15.269235,
33.735,14.442255,
30.824,12.116452,
27.914,9.3117511,
25.003,9.6226375,
22.092,14.197759,
19.182,23.823783,
16.271,49.005428,
13.361,179.53698,
10.450,428.53188,
7.539,913.86106,
4.629,1344.1154,
1.718,1487.0255,
-1.192,1024.1215,
-4.103,604.04432,
-7.013,259.42379,
-9.924,4,
