,PLACF7~1,
Raman shift [1/cm],Intensity,
196.727,3175.0396,
193.816,3178.3189,
190.906,3174.0488,
187.995,3171.8767,
185.085,3212.7363,
182.174,3248.7432,
179.264,3210.4366,
176.353,3242.6494,
173.442,3259.4994,
170.532,3249.5127,
167.621,3218.5107,
164.711,3179.1165,
161.800,3102.2178,
158.890,2958.9921,
155.979,2793.2718,
153.068,2568.7725,
150.158,2298.4647,
147.247,2024.2069,
144.337,1735.0505,
141.426,1403.778,
138.516,1011.6385,
135.605,711.91301,
132.694,480.35686,
129.784,309.80143,
126.873,200.38656,
123.963,138.85916,
121.052,96.660274,
118.141,65.248586,
115.231,48.781882,
112.320,41.701364,
109.410,38.806961,
106.499,26.700322,
103.589,30.848054,
100.678,32.593918,
97.767,23.351729,
94.857,18.967066,
91.946,20.752998,
89.036,25.447613,
86.125,21.192381,
83.215,20.65592,
80.304,20.406702,
77.393,18.282192,
74.483,16.159595,
71.572,17.299113,
68.662,20.085988,
65.751,9.4892213,
62.840,10.94202,
59.930,15.750428,
57.019,14.340264,
54.109,6.9590698,
51.198,4.5378742,
48.288,10.153312,
45.377,13.670203,
42.466,14.300561,
39.556,13.815711,
36.645,18.028853,
33.735,12.894018,
30.824,6.0205651,
27.914,2.5146889,
25.003,6.4834623,
22.092,9.125,
19.182,9.1936486,
16.271,11.292119,
13.361,85.880146,
10.450,200.46606,
7.539,277.97907,
4.629,210.34975,
1.718,36.825114,
-1.192,-260.8556,
-4.103,-299.48267,
-7.013,-209.88438,
-9.924,-3.875,
