,PLFBFD~1,
Wavenumbers [1/cm],Intensity,
318.971,2532.585,
316.061,2557.8913,
313.150,2570.4345,
310.240,2577.8557,
307.329,2594.5616,
304.418,2606.1405,
301.508,2608.5804,
298.597,2595.2529,
295.687,2603.6064,
292.776,2604.7916,
289.866,2626.5924,
286.955,2752.1757,
284.044,2781.51,
281.134,2803.6771,
278.223,2835.7296,
275.313,2874.0461,
272.402,2833.3291,
269.492,2786.7183,
266.581,2764.2796,
263.670,2794.422,
260.760,2857.4529,
257.849,2906.6117,
254.939,2905.144,
252.028,2926.1165,
249.117,2928.6431,
246.207,2932.1638,
243.296,2970.9617,
240.386,2970.5541,
237.475,2951.605,
234.565,2928.2309,
231.654,2947.9513,
228.743,2949.2482,
225.833,2948.6495,
222.922,2950.868,
220.012,2923.9114,
217.101,2911.69,
214.191,2921.6757,
211.280,2966.7784,
208.369,2999.7288,
205.459,2986.5767,
202.548,2943.4955,
199.638,2934.062,
196.727,3026.0482,
193.816,3081.88,
190.906,3051.7599,
187.995,3069.8605,
185.085,3061.9393,
182.174,3059.2492,
179.264,3107.6745,
176.353,3117.6105,
173.442,3128.8264,
170.532,3139.8406,
167.621,3103.0709,
164.711,3019.02,
161.800,2902.9721,
158.890,2759.0266,
155.979,2578.2082,
153.068,2367.76,
150.158,2127.8539,
147.247,1850.0064,
144.337,1526.5922,
141.426,1202.3106,
138.516,897.63182,
135.605,646.34516,
132.694,441.98554,
129.784,284.72819,
126.873,190.33106,
123.963,136.98079,
121.052,99.226853,
118.141,69.242969,
115.231,51.360741,
112.320,42.854092,
109.410,40.170513,
106.499,35.185427,
103.589,34.125,
100.678,31.408783,
97.767,24.299407,
94.857,24.125,
91.946,20.900113,
89.036,15.334715,
86.125,10.370278,
83.215,8.0631593,
80.304,7.8432981,
77.393,9.9678079,
74.483,15.36608,
71.572,14.139127,
68.662,7.67914,
65.751,13.330749,
62.840,15.606702,
59.930,15.188569,
57.019,11.663159,
54.109,11.125,
51.198,11.728219,
48.288,13.10235,
45.377,10.288838,
42.466,10.361658,
39.556,11.549407,
36.645,8.038456,
33.735,12.836733,
30.824,16.578791,
27.914,11.670564,
25.003,13.61555,
22.092,17.062427,
19.182,21.491126,
16.271,32.682968,
13.361,155.55469,
10.450,373.53248,
7.539,695.45586,
4.629,1015.0855,
1.718,1111.8973,
-1.192,706.85631,
-4.103,367.69733,
-7.013,127.705,
-9.924,3.125,
