,PLE689~1,
Raman shift [1/cm],Intensity,
886.534,6567.9829,
883.624,6629.8342,
880.713,6690.7774,
877.802,6742.4685,
874.892,6766.1819,
871.981,6698.1182,
869.071,6719.0035,
866.160,6737.1142,
863.250,6702.7372,
860.339,6655.6017,
857.428,6630.9292,
854.518,6601.0122,
851.607,6545.2635,
848.697,6469.5946,
845.786,6460.9026,
842.875,6481.6736,
839.965,6480.5715,
837.054,6466.9971,
834.144,6500.1472,
831.233,6514.6244,
828.323,6492.9073,
825.412,6450.8488,
822.501,6404.6672,
819.591,6332.7705,
816.680,6267.3236,
813.770,6168.3002,
810.859,6098.7704,
807.949,6073.2469,
805.038,6067.1361,
802.127,6046.5579,
799.217,5997.6654,
796.306,5968.0033,
793.396,5952.1746,
790.485,5936.6758,
787.574,5912.5555,
784.664,5963.4025,
781.753,5982.6898,
778.843,5985.1746,
775.932,5986.3286,
773.022,6004.7688,
770.111,6070.1751,
767.200,6057.8761,
764.290,6016.7966,
761.379,5976.8396,
758.469,5954.9972,
755.558,5952.5521,
752.648,5950.1083,
749.737,5940.486,
746.826,5868.4892,
743.916,5767.8909,
741.005,5680.214,
738.095,5446.3934,
735.184,5179.7951,
732.274,5118.8083,
729.363,5270.3317,
726.452,5540.6379,
723.542,5717.895,
720.631,5794.1399,
717.721,5872.4824,
714.810,5892.7842,
711.899,5850.3577,
708.989,5827.7638,
706.078,5821.2146,
703.168,5811.1239,
700.257,5772.6192,
697.347,5730.8418,
694.436,5748.7521,
691.525,5716.5999,
688.615,5736.6682,
685.704,5726.2917,
682.794,5703.093,
679.883,5741.5261,
676.973,5761.5604,
674.062,5743.2921,
671.151,5739.3916,
668.241,5744.1923,
665.330,5723.4737,
662.420,5720.2788,
659.509,5732.9586,
656.598,5723.315,
653.688,5701.7752,
650.777,5707.6232,
647.867,5766.5514,
644.956,5743.7143,
642.046,5724.9418,
639.135,5744.088,
636.224,5798.4897,
633.314,5771.4958,
630.403,5795.368,
627.493,5835.8287,
624.582,5871.3924,
621.672,5892.7763,
618.761,5897.4247,
615.850,5940.5001,
612.940,6000.2401,
610.029,6051.0717,
607.119,6059.7577,
604.208,6018.7342,
601.297,6017.5776,
598.387,6022.733,
595.476,6000.0075,
592.566,6046.4445,
589.655,6032.5967,
586.745,6027.5685,
583.834,6011.3728,
580.923,5921.5255,
578.013,5905.0461,
575.102,5918.4062,
572.192,5934.8406,
569.281,5953.4196,
566.371,6024.6384,
563.460,6057.0219,
560.549,6092.9635,
557.639,6128.4876,
554.728,6154.3002,
551.818,6180.831,
548.907,6216.4862,
545.996,6239.5129,
543.086,6256.6973,
540.175,6308.088,
537.265,6301.4851,
534.354,6332.2417,
531.444,6357.1506,
528.533,6344.1581,
525.622,6506.3311,
522.712,6587.7383,
519.801,6629.0814,
516.891,6679.7085,
513.980,6838.4392,
511.070,6871.6424,
508.159,6993.2858,
505.248,7142.4109,
502.338,7218.9746,
499.427,7299.2451,
496.517,7365.8775,
493.606,7428.5538,
490.695,7485.9787,
487.785,7502.9141,
484.874,7535.3513,
481.964,7530.4458,
479.053,7500.2573,
476.143,7498.7214,
473.232,7469.8489,
470.321,7433.323,
467.411,7414.4761,
464.500,7437.179,
461.590,7419.5669,
458.679,7441.5894,
455.769,7457.6388,
452.858,7446.0566,
449.947,7459.8074,
447.037,7516.6267,
444.126,7549.0371,
441.216,7553.7529,
438.305,7606.3262,
435.395,7576.2537,
432.484,7602.8845,
429.573,7666.3825,
426.663,7661.0615,
423.752,7664.1121,
420.842,7682.9791,
417.931,7714.183,
415.020,7751.3425,
412.110,7804.5695,
409.199,7914.5784,
406.289,8005.4433,
403.378,7992.4739,
400.468,7947.8702,
397.557,7932.5967,
394.646,7930.0089,
391.736,7922.7276,
388.825,7832.2199,
385.915,7819.9942,
383.004,7880.0252,
380.094,8003.8075,
377.183,8105.3918,
374.272,8209.0715,
371.362,8310.8876,
368.451,8406.7738,
365.541,8475.0726,
362.630,8518.2058,
359.719,8544.5444,
356.809,8560.528,
353.898,8591.9775,
350.988,8619.0695,
348.077,8633.7538,
