,PL2D4B~1,
Wavenumbers [1/cm],Intensity,
749.737,2015.8052,
746.826,1991.412,
743.916,1964.9933,
741.005,1923.0871,
738.095,1826.4738,
735.184,1743.494,
732.274,1719.7331,
729.363,1761.6578,
726.452,1846.2324,
723.542,1902.89,
720.631,1957.9887,
717.721,1984.8841,
714.810,2008.2272,
711.899,2033.3762,
708.989,2034.9901,
706.078,2026.1857,
703.168,2019.7495,
700.257,2011.6366,
697.347,2016.1726,
694.436,2060.4146,
691.525,2075.6869,
688.615,2068.9374,
685.704,2043.5738,
682.794,2037.8934,
679.883,2103.3965,
676.973,2112.2116,
674.062,2117.8285,
671.151,2108.1651,
668.241,2083.2318,
665.330,2051.5084,
662.420,2041.1249,
659.509,2038.3651,
656.598,2050.9825,
653.688,2070.3004,
650.777,2076.5959,
647.867,2035.1868,
644.956,1988.851,
642.046,1927.4424,
639.135,1880.5459,
636.224,1909.6088,
633.314,2031.0813,
630.403,2054.9055,
627.493,2056.9133,
624.582,2055.8166,
621.672,2001.169,
618.761,2053.7156,
615.850,2113.9771,
612.940,2151.3907,
610.029,2159.2881,
607.119,2179.0288,
604.208,2214.3706,
601.297,2224.5104,
598.387,2211.5411,
595.476,2184.9546,
592.566,2152.6848,
589.655,2181.9861,
586.745,2215.321,
583.834,2233.3412,
580.923,2230.9242,
578.013,2218.3684,
575.102,2208.1169,
572.192,2202.2854,
569.281,2192.8452,
566.371,2147.453,
563.460,2183.9172,
560.549,2217.0802,
557.639,2229.4344,
554.728,2220.4983,
551.818,2275.9007,
548.907,2261.7952,
545.996,2232.5587,
543.086,2217.5296,
540.175,2238.553,
537.265,2229.1358,
534.354,2233.0271,
531.444,2237.3774,
528.533,2232.7457,
525.622,2299.4771,
522.712,2255.1449,
519.801,2199.8154,
516.891,2176.0691,
513.980,2196.2008,
511.070,2205.7478,
508.159,2221.8943,
505.248,2237.2518,
502.338,2241.2259,
499.427,2248.9442,
496.517,2277.5858,
493.606,2288.5782,
490.695,2273.6375,
487.785,2299.8104,
484.874,2316.9245,
481.964,2294.9305,
479.053,2250.5067,
476.143,2235.9154,
473.232,2238.597,
470.321,2239.5134,
467.411,2239.2533,
464.500,2240,
461.590,2240,
458.679,2240.5503,
455.769,2256.1231,
452.858,2295.84,
449.947,2361.5381,
447.037,2300.9752,
444.126,2274.0727,
441.216,2308.9417,
438.305,2302.8462,
435.395,2316.424,
432.484,2301.0786,
429.573,2244.6822,
426.663,2140.543,
423.752,1904.6414,
420.842,1608.255,
417.931,1358.9945,
415.020,1309.7013,
412.110,1774.7692,
409.199,2118.1269,
406.289,2276.1078,
403.378,2208.6747,
400.468,2112.6634,
397.557,2114.9056,
394.646,2182.9004,
391.736,2283.2173,
388.825,2290.0054,
385.915,2275.502,
383.004,2259.5723,
380.094,2259.9157,
377.183,2336.6683,
374.272,2353.6578,
371.362,2370.3086,
368.451,2417.1764,
365.541,2387.1549,
362.630,2400.8496,
359.719,2411.3048,
356.809,2392.4563,
353.898,2383.4707,
350.988,2426.5689,
348.077,2452.222,
345.167,2421.227,
342.256,2425.7095,
339.345,2420.6228,
336.435,2418.6087,
333.524,2428.7986,
330.614,2454.1339,
327.703,2473.8083,
324.793,2499.1785,
321.882,2539.9802,
318.971,2531.8023,
316.061,2538.7663,
313.150,2568.169,
310.240,2629.7646,
307.329,2723.4735,
304.418,2735.8345,
301.508,2710.7415,
298.597,2724.8095,
295.687,2766.6344,
292.776,2806.8334,
289.866,2865.7369,
286.955,3006.8335,
284.044,3101.0024,
281.134,3217.317,
278.223,3351.7003,
275.313,3418.0173,
272.402,3491.833,
269.492,3533.4157,
266.581,3527.7403,
263.670,3496.1276,
260.760,3523.5668,
257.849,3609.0953,
254.939,3758.0735,
252.028,3731.0462,
249.117,3739.1868,
246.207,3771.8494,
243.296,3809.9153,
240.386,3785.9214,
237.475,3770.2316,
234.565,3755.7711,
231.654,3671.777,
228.743,3668.9596,
225.833,3634.2655,
222.922,3527.0103,
220.012,3462.8975,
217.101,3423.3528,
214.191,3375.3686,
211.280,3280.071,
208.369,3268.9631,
205.459,3211.9035,
202.548,3134.8914,
199.638,3168.9969,
196.727,3165.6281,
193.816,3155.8928,
190.906,3147.9272,
187.995,3060.3203,
185.085,3049.3871,
182.174,3066.2988,
179.264,3048.9524,
176.353,3020.0873,
173.442,3043.7937,
170.532,3098.7269,
167.621,2984.8127,
164.711,2920.3637,
161.800,2826.5927,
158.890,2640.903,
155.979,2437.5418,
153.068,2251.1344,
150.158,2061.2175,
147.247,1786.2418,
144.337,1480.1963,
141.426,1160.9399,
138.516,834.75436,
135.605,613.66168,
132.694,427.37014,
129.784,275.65202,
126.873,171.24306,
123.963,125.52998,
121.052,93.402117,
118.141,59.134821,
115.231,46.920304,
112.320,36.069097,
109.410,28.409066,
106.499,30.545531,
103.589,26.517964,
100.678,21.913513,
97.767,19.069763,
94.857,15.535055,
91.946,17.224887,
89.036,21.096817,
86.125,15.423175,
83.215,14.53092,
80.304,13.323971,
77.393,8.3667816,
74.483,14.55135,
71.572,16.550592,
68.662,13.584395,
65.751,9.3456885,
62.840,10.40851,
59.930,12.438141,
57.019,10.322895,
54.109,5.2227132,
51.198,4.4128742,
48.288,9.9830127,
45.377,7.8728785,
42.466,6.1755613,
39.556,4.5395257,
36.645,1.7307648,
33.735,2.0384969,
30.824,2.3373391,
27.914,0.23381334,
25.003,-1.8679124,
22.092,-2.6770954,
19.182,-1.8169371,
16.271,3.778984,
13.361,31.708937,
10.450,48.851346,
7.539,-56.594274,
4.629,-365.91344,
1.718,-728.35585,
-1.192,-1049.0423,
-4.103,-817.1564,
-7.013,-447.03373,
-9.924,-3,
