,PLCD35~1,
Wavenumbers [1/cm],Intensity,
738.095,2487.1997,
735.184,2399.4079,
732.274,2341.8346,
729.363,2361.5201,
726.452,2451.7092,
723.542,2502.701,
720.631,2552.9014,
717.721,2560.6259,
714.810,2566.5397,
711.899,2586.9456,
708.989,2597.4356,
706.078,2597.5,
703.168,2565.9245,
700.257,2570.2543,
697.347,2603.7611,
694.436,2597.6964,
691.525,2604.9306,
688.615,2620.965,
685.704,2623.888,
682.794,2620.2446,
679.883,2633.9057,
676.973,2665.1591,
674.062,2691.2805,
671.151,2672.6936,
668.241,2644.2682,
665.330,2672.3235,
662.420,2605.23,
659.509,2593.4048,
656.598,2590.6053,
653.688,2602.5232,
650.777,2659.149,
647.867,2648.7967,
644.956,2593.2531,
642.046,2539.7701,
639.135,2507.1463,
636.224,2494.8501,
633.314,2564.7167,
630.403,2607.3308,
627.493,2646.7763,
624.582,2666.6086,
621.672,2595.3291,
618.761,2629.737,
615.850,2661.8865,
612.940,2702.0659,
610.029,2747.6315,
607.119,2748.4212,
604.208,2754.1801,
601.297,2798.874,
598.387,2829.1748,
595.476,2793.8204,
592.566,2744.2351,
589.655,2774.3734,
586.745,2802.0095,
583.834,2815.1113,
580.923,2831.5758,
578.013,2844.1316,
575.102,2851.5151,
572.192,2844.1388,
569.281,2823.5316,
566.371,2812.5749,
563.460,2789.6305,
560.549,2811.1986,
557.639,2851.0198,
554.728,2872.7811,
551.818,2893.0693,
548.907,2881.0458,
545.996,2863.5018,
543.086,2850.6546,
540.175,2842.0895,
537.265,2810.356,
534.354,2832.1133,
531.444,2845.158,
528.533,2795.7558,
525.622,2841.5366,
522.712,2826.6231,
519.801,2786.8234,
516.891,2755.0732,
513.980,2787.5936,
511.070,2826.4217,
508.159,2834.8141,
505.248,2826.4986,
502.338,2823.2741,
499.427,2815.5558,
496.517,2837.2576,
493.606,2864.9218,
490.695,2882.6441,
487.785,2876.4858,
484.874,2861.9293,
481.964,2852.8389,
