,PLF1F4~1,
Raman shift [1/cm],Intensity,
409.199,7989.1115,
406.289,8080.9031,
403.378,8075.5968,
400.468,8067.2809,
397.557,8044.5732,
394.646,8018.0833,
391.736,7995.8383,
388.825,7940.0252,
385.915,7944.9127,
383.004,7978.4733,
380.094,8021.2682,
377.183,8131.8822,
374.272,8233.7292,
371.362,8342.4833,
368.451,8461.0839,
365.541,8485.1011,
362.630,8531.5006,
359.719,8581.7911,
356.809,8628.3339,
353.898,8722.6825,
350.988,8694.3763,
348.077,8659.6605,
345.167,8688.3657,
342.256,8722.7309,
339.345,8765.5738,
336.435,8800.1768,
333.524,8815.8229,
330.614,8853.8258,
327.703,8925.6934,
324.793,8999.3814,
321.882,9047.6556,
318.971,9060.2942,
316.061,9172.5424,
313.150,9278.6964,
310.240,9256.433,
307.329,9332.0912,
304.418,9373.5679,
301.508,9386.2312,
298.597,9384.7503,
295.687,9377.1754,
292.776,9450.2921,
289.866,9618.5,
286.955,9907.3417,
284.044,10205.42,
281.134,10434.977,
278.223,10608.809,
275.313,10863.024,
272.402,11086.83,
269.492,11302.78,
266.581,11518.549,
263.670,11727.341,
260.760,11933.892,
257.849,12125.366,
254.939,12290.49,
252.028,12428.708,
249.117,12540.469,
246.207,12618.633,
243.296,12645.719,
240.386,12678.663,
237.475,12620.093,
234.565,12491.882,
231.654,12436.373,
228.743,12394.706,
225.833,12333.903,
222.922,12241.446,
220.012,12151.834,
217.101,12044.11,
214.191,11961.532,
211.280,11957.895,
208.369,11978.482,
205.459,11993.017,
202.548,12003.511,
199.638,12026.006,
196.727,11963.208,
193.816,11928.074,
190.906,11964.977,
187.995,12060.548,
185.085,12094.098,
182.174,12118.915,
179.264,12208.538,
176.353,12208.373,
173.442,12208.788,
170.532,12205.092,
167.621,12080.363,
164.711,11939.409,
161.800,11696.395,
158.890,11268.157,
155.979,10547.165,
153.068,9681.3703,
150.158,8681.9676,
147.247,7526.0645,
144.337,6237.5499,
141.426,4924.0571,
138.516,3631.5022,
135.605,2612.7627,
132.694,1807.4436,
129.784,1194.6512,
126.873,779.16075,
123.963,531.87094,
121.052,367.83135,
118.141,265.02946,
115.231,208.48994,
112.320,171.22138,
109.410,146.71621,
106.499,121.07862,
103.589,107.78144,
100.678,98.908783,
97.767,91.799407,
94.857,83.309131,
91.946,70.756561,
89.036,58.076592,
86.125,60.913413,
83.215,57.377637,
80.304,53.625,
77.393,53.625,
74.483,52.31473,
71.572,47.276775,
68.662,39.278663,
65.751,35.746407,
62.840,36.551808,
59.930,36.939424,
57.019,30.593686,
54.109,29.027839,
51.198,27.116954,
48.288,23.641987,
45.377,25.752122,
42.466,25.800561,
39.556,23.81917,
36.645,18.903838,
33.735,15.548006,
30.824,15.612983,
27.914,21.92356,
25.003,21.379725,
22.092,15.781432,
19.182,5.5563514,
16.271,3.457881,
13.361,-67.337024,
10.450,-236.45037,
7.539,-661.02612,
4.629,-1147.7759,
1.718,-1428.1048,
-1.192,-1192.47,
-4.103,-747.94441,
-7.013,-334.74828,
-9.924,-1.375,
