,PLC8A1~1,
Raman shift [1/cm],Intensity,
286.955,616.87003,
284.044,643.34248,
281.134,682.14188,
278.223,736.25129,
275.313,778.9889,
272.402,797.87535,
269.492,807.21797,
266.581,810.31838,
263.670,786.79261,
260.760,821.26828,
257.849,861.05302,
254.939,866.92408,
252.028,903.19224,
249.117,893.24497,
246.207,863.67412,
243.296,858.54987,
240.386,888.69061,
237.475,876.57016,
234.565,835.94647,
231.654,867.35296,
228.743,822.21687,
225.833,772.41394,
222.922,746,
220.012,746,
217.101,742.07427,
214.191,739.52992,
211.280,744.62216,
208.369,701.93995,
205.459,688.98501,
202.548,698.36768,
199.638,683.12905,
196.727,698.43891,
193.816,725.54602,
190.906,756.31434,
187.995,736.76568,
185.085,737.56569,
182.174,744.23705,
179.264,737.73215,
176.353,776.08751,
173.442,786.39815,
170.532,767.93216,
167.621,784.5146,
164.711,767.45172,
161.800,748.24576,
158.890,748.96549,
155.979,696.9619,
153.068,629.00686,
150.158,555.57183,
147.247,506.03312,
144.337,400.20132,
141.426,296.68969,
138.516,222.84989,
135.605,154.74547,
132.694,107.92832,
129.784,76.42521,
126.873,47.820017,
123.963,28.911387,
121.052,19.849868,
118.141,21.991574,
115.231,15.604867,
112.320,16.812723,
109.410,20.909158,
106.499,15.211916,
103.589,6.7166918,
100.678,0.7283783,
97.767,0.017440721,
94.857,-0.69298905,
91.946,-0.59688913,
89.036,0.67738745,
86.125,4.9326191,
83.215,4.9381593,
80.304,4.7182981,
77.393,6.8428079,
74.483,5.6897301,
71.572,4.2752958,
68.662,2.7921975,
65.751,0.67284427,
62.840,4.3353179,
59.930,7.6889966,
57.019,2.7534227,
54.109,-0.38864339,
51.198,-1.0951722,
48.288,1.0622869,
45.377,8.7994456,
42.466,11.587781,
39.556,10.539526,
36.645,7.7307648,
33.735,7,
30.824,8.5462088,
27.914,13.454436,
25.003,15.245275,
22.092,16,
19.182,16.732252,
16.271,39.115936,
13.361,167.27261,
10.450,418.85871,
7.539,929.32725,
4.629,1314.4829,
1.718,1409.2393,
-1.192,947.03246,
-4.103,550.13577,
-7.013,231.36859,
-9.924,1,
