,PL1CBE~1,
Raman shift [1/cm],Intensity,
467.411,2415.5913,
464.500,2435.3752,
461.590,2390.9623,
458.679,2415.3697,
455.769,2425.3359,
452.858,2378.8753,
449.947,2353.6656,
447.037,2361.242,
444.126,2372.4576,
441.216,2383.3207,
438.305,2416.8457,
435.395,2424.1225,
432.484,2425.5,
429.573,2423.015,
426.663,2412.373,
423.752,2453.3451,
420.842,2450.4924,
417.931,2434.9806,
415.020,2468.3484,
412.110,2477.5477,
409.199,2499.5709,
406.289,2521.9598,
403.378,2529.6127,
400.468,2562.8765,
397.557,2567.8444,
394.646,2550.3794,
391.736,2515.5201,
388.825,2453.6732,
385.915,2432.839,
383.004,2426.7879,
380.094,2424.3333,
377.183,2558.274,
374.272,2621.5535,
371.362,2658.805,
368.451,2696.5942,
365.541,2714.6071,
362.630,2715.6763,
359.719,2721.675,
356.809,2742.3673,
353.898,2723.6473,
350.988,2730.4347,
348.077,2724.8179,
345.167,2689.3381,
342.256,2745.3682,
339.345,2730.1455,
336.435,2721.6539,
333.524,2772.2516,
330.614,2796.0966,
327.703,2795.2855,
324.793,2789.8201,
321.882,2796.5973,
318.971,2836.7433,
316.061,2866.1261,
313.150,2889.4286,
310.240,2911.692,
307.329,2943.944,
304.418,2981.1215,
301.508,3008.7277,
298.597,3002.0639,
295.687,3040.1027,
292.776,3138.5004,
289.866,3283.5064,
286.955,3440.1162,
284.044,3577.6149,
281.134,3728.9256,
278.223,3885.3259,
275.313,3973.0117,
272.402,4075.1501,
269.492,4177.3246,
266.581,4269.4969,
263.670,4297.4338,
260.760,4379.156,
257.849,4469.3398,
254.939,4534.6554,
252.028,4538.3954,
249.117,4522.5974,
246.207,4484.1272,
243.296,4413.1196,
240.386,4416.6009,
237.475,4375.6292,
234.565,4289.5718,
231.654,4220.1853,
228.743,4136.4558,
225.833,4021.4718,
222.922,3871.5591,
220.012,3787.0466,
217.101,3693.7441,
214.191,3629.8712,
211.280,3644.4205,
208.369,3546.5965,
205.459,3473.7465,
202.548,3434.6198,
199.638,3423.735,
196.727,3380.5887,
193.816,3382.1074,
190.906,3452.351,
187.995,3362.572,
185.085,3380.677,
182.174,3420.0252,
179.264,3362.9267,
176.353,3398.1506,
173.442,3410.6233,
170.532,3387.4677,
167.621,3352.8608,
164.711,3301.4546,
161.800,3232.7794,
158.890,3142.8135,
155.979,2943.3571,
153.068,2682.7743,
150.158,2377.9766,
147.247,2069.2571,
144.337,1695.4713,
141.426,1329.8142,
138.516,1007.2131,
135.605,714.6595,
132.694,483.18897,
129.784,311.54572,
126.873,214.28806,
123.963,146.12904,
121.052,104.1175,
118.141,90.553367,
115.231,58.524334,
112.320,45.076364,
109.410,43.545513,
106.499,38.560427,
103.589,32.45771,
100.678,27.685135,
97.767,25.552322,
94.857,22.728044,
91.946,20.693778,
89.036,19.612898,
86.125,20.322103,
83.215,21.561841,
80.304,21.542269,
77.393,18.70959,
74.483,11.293515,
71.572,10.761169,
68.662,16.084395,
65.751,11.845689,
62.840,16.280424,
59.930,20.252566,
57.019,11.791582,
54.109,7.5141958,
51.198,6.4048278,
48.288,8.5452995,
45.377,14.172324,
42.466,14.438903,
39.556,11.5,
36.645,11.5,
33.735,13.057745,
30.824,12.512017,
27.914,6.20144,
25.003,14.839562,
22.092,17.593859,
19.182,11.362703,
16.271,7.165762,
13.361,60.289537,
10.450,148.48049,
7.539,223.89855,
4.629,283.77335,
1.718,253.93381,
-1.192,33.636135,
-4.103,-12.122415,
-7.013,-16.507485,
-9.924,-0.5,
