,PL88AE~1,
Raman shift [1/cm],Intensity,
618.761,2063.9729,
615.850,2085.5987,
612.940,2082.0305,
610.029,2060.162,
607.119,2094.9057,
604.208,2131.0356,
601.297,2124.9328,
598.387,2095.6295,
595.476,2073.9748,
592.566,2101.5222,
589.655,2100.544,
586.745,2087.3937,
583.834,2067.1287,
580.923,2041.0433,
578.013,1986.1119,
575.102,1969.6542,
572.192,2008.7481,
569.281,2079.969,
566.371,2072.1428,
563.460,2071.375,
560.549,2078.6842,
557.639,2091.4777,
554.728,2105.917,
551.818,2114.5005,
548.907,2140.7515,
545.996,2152.0983,
543.086,2143.8651,
540.175,2136.8573,
537.265,2126.9594,
534.354,2144.446,
531.444,2162.8671,
528.533,2157.4786,
525.622,2172.9976,
522.712,2195.7911,
519.801,2204.9381,
516.891,2198.5925,
513.980,2194.721,
511.070,2201.4185,
508.159,2224.4328,
505.248,2255.388,
502.338,2284.2953,
499.427,2349.901,
496.517,2374.7285,
493.606,2397.1996,
490.695,2427.1655,
487.785,2404.0717,
484.874,2415.8844,
481.964,2417.7305,
479.053,2397.8951,
476.143,2354.1212,
473.232,2350.6556,
470.321,2371.2978,
467.411,2374.887,
464.500,2321.0538,
461.590,2347.8547,
458.679,2377.3868,
455.769,2386.5532,
452.858,2366.2615,
449.947,2355.5665,
447.037,2364.2967,
444.126,2368.0477,
441.216,2368.0634,
438.305,2400.8265,
435.395,2407.3419,
432.484,2426.2953,
429.573,2447.2925,
426.663,2429.8092,
423.752,2394.8989,
420.842,2384.9419,
417.931,2411.4909,
415.020,2485.81,
412.110,2476.6692,
409.199,2502.2038,
406.289,2525.0117,
403.378,2499.2188,
400.468,2453.1031,
397.557,2464.0825,
394.646,2482.4494,
391.736,2464.5641,
388.825,2407.9968,
385.915,2385.5209,
383.004,2390.9401,
380.094,2421.4826,
377.183,2501.9976,
374.272,2543.3723,
371.362,2572.3254,
368.451,2603.6485,
365.541,2608.1518,
362.630,2617.0224,
359.719,2613.3121,
356.809,2592.5013,
353.898,2644.1684,
350.988,2662.7149,
348.077,2657.6627,
345.167,2635.0127,
342.256,2608.1182,
339.345,2619.5066,
336.435,2630.5456,
333.524,2616.338,
330.614,2646.8894,
327.703,2652.7812,
324.793,2653.7575,
321.882,2666.4147,
318.971,2682.7704,
316.061,2663.471,
313.150,2651.4631,
310.240,2696.7321,
307.329,2710.5238,
304.418,2686.194,
301.508,2653.3442,
298.597,2660.7484,
295.687,2634.9626,
292.776,2631.5417,
289.866,2676.1359,
286.955,2826.8359,
284.044,2876.8375,
281.134,2928.5523,
278.223,2990.5306,
275.313,3005.2677,
272.402,3119.9084,
269.492,3201.3256,
266.581,3205.1092,
263.670,3229.3701,
260.760,3264.0613,
257.849,3300.1533,
254.939,3330.9764,
252.028,3321.965,
249.117,3303.7565,
246.207,3283.9127,
243.296,3274.3962,
240.386,3254.4382,
237.475,3236.6913,
234.565,3221.2691,
231.654,3201.5487,
228.743,3188.1691,
225.833,3178.0211,
222.922,3169.9673,
220.012,3161.2247,
217.101,3129.4228,
214.191,3093.6924,
211.280,3074.7784,
208.369,3070.6837,
205.459,3071.3713,
202.548,3065.6006,
199.638,3014.8052,
196.727,3064.3015,
193.816,3105.6658,
190.906,3099.6036,
187.995,3106.1198,
185.085,3096.0808,
182.174,3089.2309,
179.264,3114.5277,
176.353,3114.8119,
173.442,3112.6499,
170.532,3103.3103,
167.621,3034.0967,
164.711,3019.5795,
161.800,2958.0016,
158.890,2766.5541,
155.979,2648.5058,
153.068,2442.9864,
150.158,2165.1268,
147.247,1881.5356,
144.337,1535.6519,
141.426,1198.6835,
138.516,904.75805,
135.605,635.8966,
132.694,427.62606,
129.784,273.16639,
126.873,169.47256,
123.963,118.21428,
121.052,84.043431,
118.141,55.487351,
115.231,48.269296,
112.320,41.562277,
109.410,35.965934,
106.499,33.829469,
103.589,30.573728,
100.678,26.473648,
97.767,21.497085,
94.857,18.603044,
91.946,15.762557,
89.036,13.826592,
86.125,16.663413,
83.215,16.313159,
80.304,17.529894,
77.393,23.903424,
74.483,12.582571,
71.572,7.0997042,
68.662,8.236465,
65.751,6.8235628,
62.840,8.3018079,
59.930,9.6258552,
57.019,6.8055273,
54.109,5.1806783,
51.198,5.8830464,
48.288,9.3806624,
45.377,10.084041,
42.466,7.901684,
39.556,3.56917,
36.645,-1.3461616,
33.735,0.4904908,
30.824,2.4914521,
27.914,-0.31324887,
25.003,4.9787373,
22.092,4.8230499,
19.182,-2.46482,
16.271,2.431611,
13.361,-12.061861,
10.450,-74.64819,
7.539,-307.18721,
4.629,-551.43669,
1.718,-768.7404,
-1.192,-915.8379,
-4.103,-647.19733,
-7.013,-321.47069,
-9.924,-0.625,
