,PL4EEC~1,
Wavenumbers [1/cm],Intensity,
1363.869,475.15181,
1360.958,492.67608,
1358.048,484.2887,
1355.137,521.00678,
1352.227,545.73439,
1349.316,543.53933,
1346.406,572.8033,
1343.495,566.18853,
1340.584,522.08853,
1337.674,571.8038,
1334.763,576.04542,
1331.853,593.66281,
1328.942,557.01751,
1326.032,610.28407,
1323.121,570.76653,
1320.210,595.65985,
1317.300,609.11175,
1314.389,621.36146,
1311.479,633.56921,
1308.568,636.71397,
1305.657,645.78915,
1302.747,638.10203,
1299.836,690.76327,
1296.926,735.60588,
1294.015,719.05805,
1291.105,702.52525,
1288.194,745.90335,
1285.283,757.375,
1282.373,745.35161,
1279.462,769.11951,
1276.552,807.38293,
1273.641,812.88484,
1270.731,798.55112,
1267.820,787.041,
1264.909,736.24352,
1261.999,763.94226,
1259.088,752.08468,
1256.178,802.76238,
1253.267,768.41205,
1250.356,743.86168,
1247.446,733.68118,
1244.535,705.59828,
1241.625,698.13791,
1238.714,717.52504,
1235.804,703.24878,
1232.893,708.24711,
1229.982,720.36309,
1227.072,690.48779,
1224.161,696.78004,
1221.251,690.92991,
1218.340,646.91503,
1215.430,644.74481,
1212.519,642.81186,
1209.608,619.66625,
1206.698,619.14098,
1203.787,619.66143,
1200.877,611.48942,
1197.966,629.4726,
1195.055,666.21144,
1192.145,675.38037,
1189.234,723.08805,
1186.324,772.3773,
1183.413,776.03488,
1180.503,761.4456,
1177.592,769.42542,
1174.681,752.70035,
1171.771,727.25137,
1168.860,721.89283,
1165.950,715.73097,
1163.039,722.75583,
1160.129,689.80398,
1157.218,700.4302,
1154.307,750.87678,
1151.397,759.16581,
1148.486,734.56812,
1145.576,773.91019,
1142.665,740.1695,
1139.754,763.41112,
1136.844,767.97439,
1133.933,750.36632,
1131.023,718.07488,
1128.112,695.73209,
1125.202,703.37981,
1122.291,724.74831,
1119.380,720.28839,
1116.470,711.4631,
1113.559,681.76479,
1110.649,683.19768,
1107.738,690.51827,
1104.828,685.30131,
1101.917,678.03783,
1099.006,687.88007,
1096.096,703.08492,
1093.185,682.01286,
1090.275,703.84384,
1087.364,697.02479,
1084.453,707.124,
1081.543,704.03727,
1078.632,689.07592,
1075.722,698.81082,
1072.811,696.80937,
1069.901,702.92219,
1066.990,726.81661,
1064.079,739.86065,
1061.169,714.65534,
1058.258,702.38562,
1055.348,717.66896,
1052.437,711.15951,
1049.527,675.14703,
1046.616,695.1301,
1043.705,708.16571,
1040.795,715.84453,
1037.884,712.81189,
1034.974,698.43686,
1032.063,692.67468,
1029.153,724.24452,
1026.242,739.81374,
1023.331,712.04348,
1020.421,739.83587,
1017.510,743.72976,
1014.600,740.45016,
1011.689,744.23923,
1008.778,736.22839,
1005.868,735.39044,
1002.957,737.11115,
1000.047,754.11901,
997.136,792.09059,
994.226,812.14427,
991.315,808.15718,
988.404,797.75487,
985.494,758.5668,
982.583,767.13236,
979.673,751.54713,
976.762,734.22006,
973.852,733.44716,
970.941,739.11481,
968.030,732.27675,
965.120,737.4824,
962.209,763.05866,
959.299,761.00076,
956.388,753.33532,
953.477,744.8537,
950.567,751.96903,
947.656,789.59513,
944.746,783.64823,
941.835,778.51612,
938.925,784.61355,
936.014,784.83422,
933.103,775.0193,
930.193,761.77695,
927.282,754.0918,
924.372,730.41481,
921.461,742.10301,
918.551,739.82287,
915.640,722.05163,
912.729,715.03583,
909.819,739.81813,
906.908,728.02418,
903.998,724.98891,
901.087,718.64644,
898.176,736.84878,
895.266,767.35778,
892.355,771.85199,
889.445,715.6211,
886.534,747.935,
883.624,753.70217,
880.713,756.43714,
877.802,756.59587,
874.892,723.43031,
871.981,595.6464,
869.071,437.75337,
866.160,494.55008,
863.250,604.71499,
860.339,683.26207,
857.428,714.60128,
854.518,747.68998,
851.607,689.44512,
848.697,623.66181,
845.786,559.97151,
842.875,581.00185,
839.965,694.9966,
837.054,734.54246,
834.144,749.46001,
831.233,763.0409,
828.323,767.88043,
825.412,769.9507,
822.501,779.84319,
819.591,804.63517,
816.680,797.36217,
813.770,769.68839,
810.859,754.82624,
807.949,749.31156,
805.038,734.47014,
802.127,743.52454,
799.217,722.01327,
796.306,713.80743,
793.396,719.99339,
790.485,733.11255,
787.574,742.59656,
784.664,722.09375,
781.753,735.1496,
778.843,745.33533,
775.932,758.17729,
773.022,775.02074,
770.111,727.6012,
767.200,733.51075,
764.290,735.21924,
761.379,741.46462,
758.469,746.93406,
755.558,727.73652,
752.648,773.35432,
749.737,738.63812,
746.826,709.31413,
743.916,705.44647,
741.005,707.32247,
738.095,653.7386,
735.184,583.73469,
732.274,537.865,
729.363,537.53144,
726.452,581.8533,
723.542,628.79811,
720.631,693.30266,
717.721,703.20947,
714.810,716.93168,
711.899,748.30569,
708.989,739.42951,
706.078,743.38151,
703.168,729.19448,
700.257,731.33959,
697.347,750.11395,
694.436,756.22225,
691.525,750.59561,
688.615,731.76549,
685.704,730.00887,
682.794,747.226,
679.883,767.31213,
676.973,788.14777,
674.062,781.5276,
671.151,750.82852,
668.241,727.71369,
665.330,752.82454,
662.420,720.07654,
659.509,724.16883,
656.598,739.8955,
653.688,751.91491,
650.777,750.96905,
647.867,768.48827,
644.956,751.3239,
642.046,701.89036,
639.135,655.19601,
636.224,673.62566,
633.314,723.64379,
630.403,735.78379,
627.493,746.12909,
624.582,754.89957,
621.672,716.88385,
618.761,747.29245,
615.850,758.47698,
612.940,771.32871,
610.029,792.13912,
607.119,778.7154,
604.208,810.74562,
601.297,829.36018,
598.387,820.61666,
595.476,784.2209,
592.566,761.39592,
589.655,798.19208,
586.745,831.65818,
583.834,838.90914,
580.923,812.26601,
578.013,794.21712,
575.102,783.06553,
572.192,780.87599,
569.281,789.73359,
566.371,813.99493,
563.460,799.44376,
560.549,806.99336,
557.639,830.70046,
554.728,851.89686,
551.818,828.48738,
548.907,803.26437,
545.996,809.0369,
543.086,829.31582,
540.175,787.26895,
537.265,812.62189,
534.354,809.82935,
531.444,801.11219,
528.533,815.47192,
525.622,844.95792,
522.712,836.81292,
519.801,810.95415,
516.891,785.31403,
513.980,789.95981,
511.070,783.33153,
508.159,809.02898,
505.248,834.86703,
502.338,818.62351,
499.427,827.11366,
496.517,838.99115,
493.606,832.91533,
490.695,812.90105,
487.785,859.85828,
484.874,849.92695,
481.964,820.85692,
479.053,795.5813,
476.143,804.79685,
473.232,813.28844,
470.321,805.18374,
467.411,796.16086,
464.500,804.72408,
461.590,818.5074,
458.679,841.08502,
455.769,848.81346,
452.858,834.2043,
449.947,851.77472,
447.037,825.03697,
444.126,813.87803,
441.216,828.375,
438.305,828.375,
435.395,834.27573,
432.484,840.29227,
429.573,835.14489,
426.663,795.61758,
423.752,637.54797,
420.842,449.8099,
417.931,304.22031,
415.020,296.63673,
412.110,575.11961,
409.199,754.63653,
406.289,816.1886,
403.378,757.29816,
400.468,734.61833,
397.557,759.25227,
394.646,795.3006,
391.736,811.25428,
388.825,807.48312,
385.915,779.76532,
383.004,764.9413,
380.094,787.02761,
377.183,799.81971,
374.272,816.40173,
371.362,847.68359,
368.451,895.64554,
365.541,883.63697,
362.630,876.00508,
359.719,869.41532,
356.809,860.20016,
353.898,824.25785,
350.988,862.11383,
348.077,894.82437,
345.167,874.78566,
342.256,843.40879,
339.345,859.35233,
336.435,877.7663,
333.524,867.74082,
330.614,847.62162,
327.703,874.74634,
324.793,914.36653,
321.882,937.32813,
318.971,917.99862,
316.061,916.25814,
313.150,932.22974,
310.240,967.10918,
307.329,971.23355,
304.418,976.47858,
301.508,989.84272,
298.597,1021.6806,
295.687,970.19577,
292.776,949.7917,
289.866,978.08184,
286.955,1076.3323,
284.044,1128.9575,
281.134,1186.5523,
278.223,1246.5906,
275.313,1248.0643,
272.402,1289.6191,
269.492,1298.7796,
266.581,1251.9051,
263.670,1217.3516,
260.760,1291.4787,
257.849,1387.622,
254.939,1442.6632,
252.028,1401.392,
249.117,1383.0909,
246.207,1390.2244,
243.296,1428.2903,
240.386,1416.7032,
237.475,1404.5331,
234.565,1395.6142,
231.654,1378.085,
228.743,1322.5919,
225.833,1270.9596,
222.922,1237.8609,
220.012,1183.9479,
217.101,1183.5501,
214.191,1190.0099,
211.280,1152.1818,
208.369,1164.8497,
205.459,1147.6215,
202.548,1112.1299,
199.638,1122.289,
196.727,1109.3934,
193.816,1112.8241,
190.906,1144.191,
187.995,1081.9249,
185.085,1065.5764,
182.174,1069.8079,
179.264,1064.0258,
176.353,1024.2875,
173.442,1023.0408,
170.532,1053.9145,
167.621,1007.0511,
164.711,998.05397,
161.800,961.06961,
158.890,843.03428,
155.979,764.11083,
153.068,723.11008,
150.158,694.54147,
147.247,589.72044,
144.337,497.22773,
141.426,401.42125,
138.516,294.60445,
135.605,211.25368,
132.694,148.55557,
129.784,101.84903,
126.873,63.232023,
123.963,39.441036,
121.052,22.275794,
118.141,9.425558,
115.231,19.322985,
112.320,18.291369,
109.410,11.920421,
106.499,14.769042,
103.589,12.013473,
100.678,7.4736481,
97.767,2.497085,
94.857,1.682011,
91.946,5.0029978,
89.036,9.6976126,
86.125,5.4423809,
83.215,5.4368407,
80.304,3.5018078,
77.393,-4.9962315,
74.483,0.27121462,
71.572,2.6502958,
68.662,1.236465,
65.751,-0.17643715,
62.840,1.3018079,
59.930,2.438569,
57.019,-1.0868409,
54.109,-4.6108042,
51.198,-3.307298,
48.288,4.3353629,
45.377,-0.58828356,
42.466,-1.388342,
39.556,0.25988142,
36.645,-0.44230879,
33.735,3.0097393,
30.824,3.7243563,
27.914,-4.6897466,
25.003,-7.4929124,
22.092,-10.239523,
19.182,-13.235991,
16.271,-1.3446591,
13.361,42.570592,
10.450,90.245322,
7.539,54.631239,
4.629,-236.53844,
1.718,-606.46445,
-1.192,-951.55099,
-4.103,-753.77254,
-7.013,-416.12364,
-9.924,-0.625,
