,PL86BB~1,
Wavenumbers [1/cm],Intensity,
155.979,2235.3752,
153.068,2080.13,
150.158,1884.2992,
147.247,1651.6827,
144.337,1370.1276,
141.426,1077.3823,
138.516,789.19204,
135.605,601.10203,
132.694,429.9404,
129.784,279.41206,
126.873,169.28207,
123.963,111.02358,
121.052,75.093034,
118.141,52.962072,
115.231,53.58557,
112.320,46.673189,
109.410,35.920513,
106.499,30.935427,
103.589,24.83271,
100.678,21.418243,
97.767,22.840119,
94.857,18.024077,
91.946,17.084333,
89.036,18.536306,
86.125,16.40869,
83.215,15.875,
80.304,13.720106,
77.393,7.3465764,
74.483,10.80581,
71.572,8.5267746,
68.662,1.290605,
65.751,5.5293115,
62.840,7.356702,
59.930,7.3131414,
57.019,5.1978954,
54.109,-2.888091,
51.198,-3.2992516,
48.288,7.875,
45.377,7.875,
42.466,7.4627807,
39.556,6.1842885,
36.645,1.9711472,
33.735,0.35575153,
30.824,0.53766092,
27.914,2.6411867,
25.003,0.3844501,
22.092,-1.125,
19.182,-1.2394143,
16.271,-4.736865,
13.361,-6.125,
10.450,-43.263635,
7.539,-259.04308,
4.629,-649.18726,
1.718,-1048.7209,
-1.192,-1331.0644,
-4.103,-984.29322,
-7.013,-513.97258,
-9.924,-3.125,
