,PL4EBD~1,
Raman shift [1/cm],Intensity,
231.654,871.07163,
228.743,832.75365,
225.833,808.73479,
222.922,808.86797,
220.012,781.91143,
217.101,726.507,
214.191,692.54998,
211.280,740.56253,
208.369,692.31838,
205.459,663.1325,
202.548,659.00523,
199.638,669.88997,
196.727,718.22227,
193.816,739.78307,
190.906,711.125,
187.995,711.125,
185.085,713.01642,
182.174,708.26908,
179.264,682.97227,
176.353,723.69797,
173.442,729.63455,
170.532,698.46911,
167.621,710.00472,
164.711,707.34376,
161.800,694.99783,
158.890,674.12573,
155.979,665.59317,
153.068,630.64367,
150.158,570.56663,
147.247,490.87393,
144.337,388.36383,
141.426,295.01355,
138.516,226.90888,
135.605,173.02932,
132.694,114.67689,
129.784,63.034454,
126.873,52.307506,
123.963,36.467317,
121.052,24.708554,
118.141,21.139044,
115.231,10.466445,
112.320,12.479539,
109.410,19.625092,
106.499,11.791385,
103.589,5.6429642,
100.678,2.9398651,
97.767,5.0726778,
94.857,3.0460329,
91.946,4.1405544,
89.036,7.8023874,
86.125,12.057619,
83.215,13.65592,
80.304,11.49124,
77.393,3.7013712,
74.483,3.125,
71.572,2.4002958,
68.662,0.9171975,
65.751,-1.2021557,
62.840,1.4969139,
59.930,6.2487172,
57.019,10.479209,
54.109,5.1533915,
51.198,0.22017217,
48.288,-1.773076,
45.377,10.887729,
42.466,14.476123,
39.556,11.204051,
36.645,5.5865297,
33.735,6.7212423,
30.824,8.6832261,
27.914,7.2808756,
25.003,7.7476375,
22.092,10.062427,
19.182,14.44536,
16.271,24.238222,
13.361,115.3668,
10.450,288.97001,
7.539,601.8153,
4.629,890.17131,
1.718,981.27899,
-1.192,645.95247,
-4.103,370.38759,
-7.013,154.76019,
-9.924,5.125,
