,PL6E7A~1,
Raman shift [1/cm],Intensity,
89.036,7.4555707,
86.125,17.384445,
83.215,15.627637,
80.304,11.396135,
77.393,9.9797948,
74.483,18.391754,
71.572,18.164423,
68.662,9.459395,
65.751,5.2206885,
62.840,8.6920198,
59.930,13.875,
57.019,13.875,
54.109,13.277839,
51.198,11.970172,
48.288,9.8580127,
45.377,7.7478785,
42.466,8.5238774,
39.556,10.875,
36.645,10.875,
33.735,10.875,
30.824,9.3287912,
27.914,4.4205645,
25.003,12.591925,
22.092,17.229191,
19.182,15.852117,
16.271,15.152627,
13.361,57.020798,
10.450,143.11959,
7.539,307.2237,
4.629,380.8545,
1.718,347.86805,
-1.192,145.69614,
-4.103,90.706865,
-7.013,49.073322,
-9.924,-3.125,
