,PLDF33~1,
Wavenumbers [1/cm],Intensity,
51.198,4.2064371,
48.288,6.9886751,
45.377,5.581919,
42.466,2.526684,
39.556,-1.2302372,
36.645,-2.6346176,
33.735,3.2309816,
30.824,5.4658084,
27.914,-5.7529955,
25.003,-4.5094501,
22.092,-2.6770954,
19.182,-1.9313514,
16.271,0.16711899,
13.361,-3.2145798,
10.450,-44.696358,
7.539,-252.09602,
4.629,-650.38876,
1.718,-1050.8294,
-1.192,-1304.59,
-4.103,-971.18297,
-7.013,-511.84758,
-9.924,-1,
