,PL367B~1,
Raman shift [1/cm],Intensity,
679.883,1519.2692,
676.973,1522.4747,
674.062,1525.6773,
671.151,1545.0965,
668.241,1563.8365,
665.330,1549.9737,
662.420,1546.7788,
659.509,1527.712,
656.598,1524.9145,
653.688,1538.5756,
650.777,1549.747,
647.867,1538.5984,
644.956,1539.8399,
642.046,1545.4418,
639.135,1561.0247,
636.224,1602.1608,
633.314,1609.3063,
630.403,1603.4393,
627.493,1592.748,
624.582,1595.9553,
621.672,1649.0189,
618.761,1610.8482,
615.850,1614.1036,
612.940,1632.5896,
610.029,1639.1793,
607.119,1615.4904,
604.208,1628.7453,
601.297,1638.1161,
598.387,1643.9913,
595.476,1647.4853,
592.566,1608.919,
589.655,1636.4632,
586.745,1632.9926,
583.834,1590.7304,
580.923,1543.1961,
578.013,1554.9671,
575.102,1540.9174,
572.192,1542.0591,
569.281,1569.7964,
566.371,1584.6662,
563.460,1607.289,
560.549,1617.0996,
557.639,1629.9418,
554.728,1662.1743,
551.818,1662.9546,
548.907,1672.8756,
545.996,1655.4088,
543.086,1627.0164,
540.175,1668.2846,
537.265,1662.4336,
534.354,1647.5861,
531.444,1658.4176,
528.533,1713.1452,
525.622,1671.244,
522.712,1665.7655,
519.801,1677.672,
516.891,1695.3161,
513.980,1706.1562,
511.070,1726.1424,
508.159,1738.9007,
505.248,1751.6359,
502.338,1774.3509,
499.427,1782.0692,
496.517,1804.4886,
493.606,1817.7696,
490.695,1812.1621,
487.785,1805.234,
484.874,1857.1154,
481.964,1879.8958,
479.053,1858.9904,
476.143,1808.3048,
473.232,1820.2325,
470.321,1829.0445,
467.411,1829.0859,
464.500,1819.4074,
461.590,1791.0751,
458.679,1817.7936,
455.769,1835.7279,
452.858,1812.2501,
449.947,1803.8469,
447.037,1837.9239,
444.126,1841.1614,
441.216,1812.8134,
438.305,1845.5765,
435.395,1820.6214,
432.484,1802.2077,
429.573,1806.6451,
426.663,1843.1318,
423.752,1814.7411,
420.842,1762.7634,
417.931,1732.6388,
415.020,1787.2405,
412.110,1832.2902,
409.199,1870.1299,
406.289,1892.879,
403.378,1892.1378,
400.468,1895.9178,
397.557,1849.3091,
394.646,1809.2426,
391.736,1821.7487,
388.825,1778.7576,
385.915,1752.288,
383.004,1742.9804,
380.094,1754.463,
377.183,1839.4928,
374.272,1894.6063,
371.362,1928.7775,
368.451,1947.8089,
365.541,1959.0669,
362.630,1982.3359,
359.719,2005.6363,
356.809,2021.3515,
353.898,2025.0955,
350.988,2023.4126,
348.077,2023.7387,
345.167,2029.5574,
342.256,2018.3514,
339.345,2020.4393,
336.435,2052.6066,
333.524,2122.6218,
330.614,2074.9318,
327.703,2063.2054,
324.793,2077.4678,
321.882,2110.0727,
318.971,2088.5129,
316.061,2104.0758,
313.150,2120.0417,
310.240,2094.0676,
307.329,2113.1348,
304.418,2143.4667,
301.508,2152.7957,
298.597,2087.639,
295.687,2086.1884,
292.776,2115.6251,
289.866,2192.1135,
286.955,2372.3625,
284.044,2470.2299,
281.134,2569.5196,
278.223,2684.4777,
275.313,2803.1114,
272.402,2908.8705,
269.492,2972.1946,
266.581,2983.3878,
263.670,2987.0637,
260.760,3039.3186,
257.849,3088.4346,
254.939,3095.0396,
252.028,3174.0241,
249.117,3179.4563,
246.207,3136.4874,
243.296,3083.7808,
240.386,3072.2481,
237.475,3061.4413,
234.565,3038.5419,
231.654,2971.3466,
228.743,2913.397,
225.833,2849.4158,
222.922,2776.8532,
220.012,2771.0248,
217.101,2716.1277,
214.191,2671.6159,
211.280,2706.5341,
208.369,2627.7146,
205.459,2586.528,
202.548,2581.1166,
199.638,2563.7011,
196.727,2567.0396,
193.816,2600.1201,
190.906,2661.5697,
187.995,2560.2063,
185.085,2584.232,
182.174,2630.3408,
179.264,2557.3414,
176.353,2624.7369,
173.442,2652.2601,
170.532,2627.5531,
167.621,2639.8097,
164.711,2596.875,
161.800,2511.1331,
158.890,2382.3019,
155.979,2267.9405,
153.068,2087.76,
150.158,1854.2056,
147.247,1613.6916,
144.337,1307.5144,
141.426,1008.4512,
138.516,751.08723,
135.605,537.15816,
132.694,370.44774,
129.784,244.42504,
126.873,153.60355,
123.963,108.3787,
121.052,79.343034,
