,PLDE83~1,
Wavenumbers [1/cm],Intensity,
65.751,4.0663771,
62.840,7.6371258,
59.930,12.502138,
57.019,5.4513182,
54.109,3.1806783,
51.198,2.0733907,
48.288,1.375,
45.377,1.375,
42.466,4.6727547,
39.556,8.7994071,
36.645,5.288456,
33.735,5.4134969,
30.824,4.6079042,
27.914,-1.0014977,
25.003,-5.3608249,
22.092,-5.0417635,
19.182,0.375,
16.271,0.375,
13.361,-18.169151,
10.450,-70.667696,
7.539,-227.78865,
4.629,-564.47921,
1.718,-888.45094,
-1.192,-1041.1256,
-4.103,-800.54246,
-7.013,-440.48286,
-9.924,-0.625,
