,PLA763~1,
Wavenumbers [1/cm],Intensity,
610.029,899.48043,
607.119,897.11154,
604.208,896.16499,
601.297,900.36166,
598.387,902.58194,
595.476,895.76081,
592.566,883.95479,
589.655,900.01592,
586.745,927.23374,
583.834,936.48037,
580.923,889.00769,
578.013,910.98024,
575.102,897.373,
572.192,887.16241,
569.281,893.1878,
566.371,883.79632,
563.460,930.14137,
560.549,930.38385,
557.639,924.10886,
554.728,960.55924,
551.818,923.88439,
548.907,911.60911,
545.996,913.54047,
543.086,917.18422,
540.175,900.05401,
537.265,877.14662,
534.354,900.48151,
531.444,918.49942,
528.533,886.02711,
525.622,916.28905,
522.712,902.85214,
519.801,885.29244,
516.891,878.81403,
513.980,883.45981,
511.070,914.86628,
508.159,895.87805,
505.248,867.38442,
502.338,886.85241,
499.427,886.08058,
496.517,882.48106,
493.606,901.74697,
490.695,941.66547,
487.785,918.57175,
484.874,909.70521,
481.964,901.47638,
479.053,896.0813,
476.143,905.29685,
473.232,908.75261,
470.321,904.52266,
467.411,890.77067,
464.500,867.70891,
461.590,900.63574,
458.679,902.17088,
455.769,907.53238,
452.858,933.51128,
449.947,939.62273,
447.037,909.32345,
444.126,900.7053,
441.216,922.0656,
438.305,928.92298,
435.395,929.21936,
432.484,906.78714,
429.573,881.73257,
426.663,906.81721,
423.752,945.83821,
420.842,937.21396,
417.931,868.44421,
415.020,729.66468,
412.110,759.99243,
409.199,848.18054,
406.289,927.12098,
403.378,927.88525,
400.468,930.90922,
397.557,903.08262,
394.646,882.06995,
391.736,900.78245,
388.825,960.36672,
385.915,974.14964,
383.004,966.87739,
380.094,955.37783,
377.183,926.03125,
374.272,922.21724,
371.362,938.23675,
368.451,966.3249,
365.541,940.80668,
362.630,943.16109,
359.719,945.54758,
356.809,931.56104,
353.898,909.84589,
350.988,929.91436,
348.077,948.97091,
345.167,941.34522,
342.256,930.88626,
339.345,936.90935,
336.435,946.81815,
333.524,951.64012,
330.614,944.18856,
327.703,965.49164,
324.793,984.26592,
321.882,973.94531,
318.971,1002.9396,
316.061,998.22558,
313.150,985.64642,
310.240,994.55181,
307.329,1052.7606,
304.418,1085.45,
301.508,1095.8904,
298.597,1092.1883,
295.687,1114.2239,
292.776,1114.0416,
289.866,1104.6355,
286.955,1131.9684,
284.044,1146.6275,
281.134,1182.498,
278.223,1232.0128,
275.313,1226.1179,
272.402,1248.692,
269.492,1271.8952,
266.581,1282.0373,
263.670,1242.3375,
260.760,1263.2628,
257.849,1300.8304,
254.939,1323.5808,
252.028,1337.6281,
249.117,1319.5768,
246.207,1302.1032,
243.296,1341.6332,
240.386,1308.6545,
237.475,1295.7904,
234.565,1298.7076,
231.654,1246.8503,
228.743,1251.9853,
225.833,1244.3616,
222.922,1196.6475,
220.012,1127.4347,
217.101,1121.5593,
214.191,1127.2913,
211.280,1088.7358,
208.369,1117.4972,
205.459,1088.5582,
202.548,1033.2817,
199.638,1099.3158,
196.727,1065.0491,
193.816,1037.4006,
190.906,1052.8942,
187.995,996.42029,
185.085,990.58782,
182.174,1002.9367,
179.264,992.09526,
176.353,954.99138,
173.442,956.99103,
170.532,988.23035,
167.621,922.62158,
164.711,930.62782,
161.800,915.78149,
158.890,804.22371,
155.979,741.3592,
153.068,679.35761,
150.158,614.41596,
147.247,541.18483,
144.337,469.66871,
141.426,374.75152,
138.516,241.40975,
135.605,183.23961,
132.694,140.3795,
129.784,103.56164,
126.873,50.642031,
123.963,31.908018,
121.052,22.19224,
118.141,12.911514,
115.231,12.875,
112.320,10.333184,
109.410,7.2840658,
106.499,9.4205315,
103.589,2.0314373,
100.678,-3.8533783,
97.767,-3.1424407,
94.857,3.8048905,
91.946,7.2781109,
89.036,7.3105105,
86.125,3.7644841,
83.215,4.9986814,
80.304,3.5229424,
77.393,-6.3914367,
74.483,0.081484536,
71.572,4.5997042,
68.662,5.8057325,
65.751,5.0992814,
62.840,5.838404,
59.930,6.3131414,
57.019,4.1978954,
54.109,2.0835175,
51.198,2.0814371,
48.288,4.8353629,
45.377,-0.08828356,
42.466,2.4094127,
39.556,8.5296443,
36.645,6.4230736,
33.735,2.2402607,
30.824,-1.7876609,
27.914,-3.8911867,
25.003,-9.7287373,
22.092,-12.156286,
19.182,-9.7817571,
16.271,0.71059493,
13.361,33.9556,
10.450,61.976214,
7.539,-7.1570072,
4.629,-268.31406,
1.718,-591.05978,
-1.192,-900.59195,
-4.103,-737.77106,
-7.013,-423.19147,
-9.924,-2.125,
