,PL3ECB~1,
Wavenumbers [1/cm],Intensity,
417.931,1682.065,
415.020,1609.2626,
412.110,1963.7772,
409.199,2242.4271,
406.289,2387.1568,
403.378,2357.4093,
400.468,2256.8621,
397.557,2259.7122,
394.646,2328.3036,
391.736,2424.7017,
388.825,2423.1932,
385.915,2422.75,
383.004,2430.7452,
380.094,2449.9822,
377.183,2434.9327,
374.272,2447.5762,
371.362,2489.7111,
368.451,2555.1087,
365.541,2528.0894,
362.630,2520.2038,
359.719,2520.046,
356.809,2518.4392,
353.898,2480.2505,
350.988,2496.3318,
348.077,2532.98,
345.167,2565.5174,
342.256,2521.4403,
339.345,2505.5614,
336.435,2496.0878,
333.524,2479.4546,
330.614,2501.8093,
327.703,2542.1213,
324.793,2575.8123,
321.882,2581.6851,
318.971,2554.9212,
316.061,2576.0255,
313.150,2607.981,
310.240,2608.7231,
307.329,2691.6479,
304.418,2717.9107,
301.508,2714.0823,
298.597,2730.3715,
295.687,2763.5803,
292.776,2774.1666,
289.866,2791.1036,
286.955,2901.9124,
284.044,2989.2224,
281.134,3091.4772,
278.223,3199.8157,
275.313,3234.4479,
272.402,3276.0233,
269.492,3296.3141,
266.581,3280.1286,
263.670,3187.4959,
260.760,3226.5703,
257.849,3322.4212,
254.939,3424.4309,
252.028,3431.5408,
249.117,3380.758,
246.207,3336.3123,
243.296,3408.0519,
240.386,3429.4628,
237.475,3406.015,
234.565,3355.0245,
231.654,3344.0687,
228.743,3306.0772,
225.833,3274.5668,
222.922,3259.7943,
220.012,3196.41,
217.101,3184.5829,
214.191,3179.5436,
211.280,3132.2585,
208.369,3056.0862,
205.459,3001.1867,
202.548,2977.6414,
199.638,3011.7469,
196.727,2995.7014,
193.816,2984.1684,
190.906,2992.2297,
187.995,2863.3533,
185.085,2826.7885,
182.174,2837.3171,
179.264,2843.0992,
176.353,2797.6139,
173.442,2795.3163,
170.532,2828.4333,
167.621,2757.0567,
164.711,2673.6307,
161.800,2556.0292,
158.890,2381.1354,
155.979,2183.0848,
153.068,1993.6375,
150.158,1800.487,
147.247,1552.0755,
144.337,1285.9623,
141.426,1011.0059,
138.516,729.98453,
135.605,529.94201,
132.694,369.49656,
129.784,246.97681,
126.873,171.17304,
123.963,117.05323,
121.052,77.268299,
118.141,50.853925,
115.231,45.776008,
112.320,39.937277,
109.410,34.340934,
106.499,32.204469,
103.589,27.828219,
100.678,22.577026,
97.767,16.889526,
94.857,11.206088,
91.946,12.781109,
89.036,19.088694,
86.125,21.21631,
83.215,22.28092,
80.304,18.440212,
77.393,5.6931528,
74.483,9.9910797,
71.572,11.300592,
68.662,9.02707,
65.751,11.852874,
62.840,9.8597881,
59.930,7.4991448,
57.019,10.319473,
54.109,5.3755524,
51.198,3.8612649,
48.288,8.7273502,
45.377,5.913838,
42.466,4.3377807,
39.556,3.9802372,
36.645,5.3846176,
33.735,5.75,
30.824,3.9829042,
27.914,-1.6264977,
25.003,-0.38208757,
22.092,0.42709544,
19.182,0.070360079,
16.271,9.8632219,
13.361,21.757702,
10.450,15.683054,
7.539,-83.477728,
4.629,-421.11028,
1.718,-807.97096,
-1.192,-1116.806,
-4.103,-870.64534,
-7.013,-478.2987,
-9.924,-2.25,
