,PLC4B4~1,
Raman shift [1/cm],Intensity,
773.022,3059.2977,
770.111,3024.1418,
767.200,3052.2025,
764.290,3047.3031,
761.379,3015.4812,
758.469,2981.7037,
755.558,2976.7289,
752.648,2942.5155,
749.737,2944.889,
746.826,2904.0603,
743.916,2842.2564,
741.005,2801.7016,
738.095,2659.6232,
735.184,2505.4585,
732.274,2490.1923,
729.363,2594.341,
726.452,2757.8161,
723.542,2913.2196,
720.631,2937.8053,
717.721,2959.9354,
714.810,2962.8523,
711.899,2945.8094,
708.989,2941.7748,
706.078,2948.9617,
703.168,2913.1023,
700.257,2898.2392,
697.347,2914.1411,
694.436,2922.3136,
691.525,2906.2375,
688.615,2922.2462,
685.704,2918.6407,
682.794,2896.8777,
679.883,2891.5069,
676.973,2908.3357,
674.062,2934.721,
671.151,2928.0251,
668.241,2897.7468,
665.330,2883.6786,
662.420,2924.4139,
659.509,2941.0041,
656.598,2927.5745,
653.688,2908.1208,
650.777,2923.5061,
647.867,2945.8032,
644.956,2894.4073,
642.046,2890.0157,
639.135,2923.108,
636.224,2887.0922,
633.314,2955.3709,
630.403,2955.6049,
627.493,2947.9748,
624.582,2959.1643,
621.672,2978.9641,
618.761,3001.7882,
615.850,3026.9326,
612.940,3057.4606,
610.029,3085.9087,
607.119,3074.8539,
604.208,3089.3703,
601.297,3100.2367,
598.387,3091.5649,
595.476,3063.1325,
592.566,3109.5695,
589.655,3099.6091,
586.745,3091.4859,
583.834,3078.1595,
580.923,3022.5604,
578.013,2991.1711,
575.102,2973.5726,
572.192,3006.4086,
569.281,3067.6268,
566.371,3011.2779,
563.460,3075.5914,
560.549,3105.7246,
557.639,3103.7958,
554.728,3098.6077,
551.818,3143.8661,
548.907,3140.9523,
545.996,3158.0213,
543.086,3195.7368,
540.175,3186.3931,
537.265,3189.3714,
534.354,3201.2855,
531.444,3202.2756,
528.533,3179.0744,
525.622,3197.6971,
522.712,3245.4362,
519.801,3276.805,
516.891,3295.0529,
513.980,3360.8681,
511.070,3375.9065,
508.159,3422.2534,
505.248,3463.7428,
502.338,3451.7547,
499.427,3554.4084,
496.517,3599.2853,
493.606,3610.0581,
490.695,3605.6059,
487.785,3611.7642,
484.874,3592.7171,
481.964,3591.7167,
479.053,3606.3016,
476.143,3608.6055,
473.232,3639.6844,
470.321,3612.3373,
467.411,3571.2565,
464.500,3572.6142,
461.590,3567.2541,
458.679,3571.8032,
455.769,3601.6401,
452.858,3653.7616,
449.947,3634.6633,
447.037,3631.9635,
444.126,3624.6167,
441.216,3616.703,
438.305,3650.9899,
435.395,3653.7831,
432.484,3669.0033,
429.573,3705.7727,
426.663,3765.8238,
423.752,3698.2184,
420.842,3690.4977,
417.931,3736.203,
415.020,3797.63,
412.110,3833.4042,
409.199,3861.8869,
406.289,3871.6166,
403.378,3849.6475,
400.468,3819.4078,
397.557,3842.6556,
394.646,3857.3199,
391.736,3811.7118,
388.825,3779.2798,
385.915,3752.7198,
383.004,3758.0236,
380.094,3809.5946,
377.183,3826.149,
374.272,3892.0842,
371.362,3953.1685,
368.451,3977.984,
365.541,4014.7602,
362.630,4043.8684,
359.719,4046.7274,
356.809,4017.2452,
353.898,4041.9555,
350.988,4093.7764,
348.077,4117.52,
345.167,4083.2798,
342.256,4093.7387,
339.345,4073.367,
336.435,4073.2918,
333.524,4126.0219,
330.614,4102.922,
327.703,4103.9645,
324.793,4133.92,
321.882,4197.6635,
318.971,4161.9782,
316.061,4159.028,
313.150,4172.4452,
310.240,4184.3191,
307.329,4230.4868,
304.418,4272.9155,
301.508,4288.3592,
298.597,4238.0108,
295.687,4175.5073,
292.776,4211.917,
289.866,4325.1036,
286.955,4435.9124,
284.044,4579.5149,
281.134,4689.6679,
278.223,4763.8993,
275.313,4853.7956,
272.402,4963.3709,
269.492,5055.9993,
266.581,5121.0035,
263.670,5208.49,
260.760,5255.1677,
257.849,5306.3151,
254.939,5396.5827,
252.028,5423.8084,
249.117,5397.2038,
246.207,5366.2511,
243.296,5414.5655,
240.386,5479.8252,
237.475,5497.9193,
234.565,5464.7067,
231.654,5394.5899,
228.743,5336.022,
225.833,5310.7626,
222.922,5324.3718,
220.012,5273.373,
217.101,5282.7579,
214.191,5293.358,
211.280,5238.7983,
208.369,5203.1278,
205.459,5200.9253,
202.548,5220.6247,
199.638,5219.899,
196.727,5241.07,
193.816,5263.6735,
190.906,5281.7816,
187.995,5339.7036,
185.085,5303.4802,
182.174,5240.75,
179.264,5240.75,
176.353,5254.8471,
173.442,5264.9253,
170.532,5268.666,
167.621,5267.945,
164.711,5138.4603,
161.800,4967.436,
158.890,4808.3762,
155.979,4465.9259,
153.068,4086.5374,
150.158,3665.8038,
147.247,3148.8782,
144.337,2574.8129,
