,PL3EC8~1,
Wavenumbers [1/cm],Intensity,
711.899,2592.0606,
708.989,2589.6399,
706.078,2555.9703,
703.168,2559.1622,
700.257,2560.849,
697.347,2556.1029,
694.436,2569.0178,
691.525,2583.4863,
688.615,2558.9529,
685.704,2566.7998,
682.794,2589.7315,
679.883,2563.2201,
676.973,2620.9188,
674.062,2644.1105,
671.151,2642.7351,
668.241,2649.5406,
665.330,2701.3182,
662.420,2652.5956,
659.509,2636.9106,
656.598,2632.3268,
653.688,2628.3246,
650.777,2620.625,
647.867,2620.625,
644.956,2589.0483,
642.046,2548.0659,
639.135,2518.4634,
636.224,2522.0666,
633.314,2610.1938,
630.403,2650.3613,
627.493,2679.1402,
624.582,2695.2073,
621.672,2648.4796,
618.761,2697.5409,
615.850,2741.1744,
612.940,2771.1388,
610.029,2782.7315,
607.119,2765.3596,
604.208,2769.3051,
601.297,2801.5361,
598.387,2805.2548,
595.476,2739.9964,
592.566,2743.9317,
589.655,2786.09,
586.745,2815.1345,
583.834,2816.3787,
580.923,2790.6724,
578.013,2798.5197,
575.102,2782.2702,
572.192,2775.7707,
569.281,2789.4686,
566.371,2794.1643,
563.460,2791.0977,
560.549,2809.6034,
557.639,2837.0705,
554.728,2853.7874,
551.818,2840.522,
548.907,2833.3591,
545.996,2836.4568,
543.086,2838.2434,
540.175,2803.983,
537.265,2832.769,
534.354,2833.5878,
531.444,2832.378,
528.533,2860.053,
525.622,2894.1947,
522.712,2840.3429,
519.801,2801.3888,
516.891,2813.7369,
513.980,2868.7119,
511.070,2833.4772,
508.159,2834.7725,
505.248,2854.625,
502.338,2854.8735,
499.427,2863.3637,
496.517,2878.0694,
493.606,2899.4022,
490.695,2926.0485,
487.785,2950.6818,
484.874,2897.7573,
481.964,2867.8708,
479.053,2864.2931,
476.143,2842.0222,
473.232,2848.5384,
470.321,2852.1116,
467.411,2859.463,
464.500,2878.9268,
461.590,2851.3602,
458.679,2847.4771,
455.769,2853.1455,
452.858,2859.7385,
449.947,2870.4335,
447.037,2868.9844,
444.126,2865.1462,
441.216,2863.1542,
438.305,2866.2019,
435.395,2865.3137,
432.484,2869.626,
429.573,2869.5249,
426.663,2839.1193,
423.752,2630.8864,
420.842,2379.0448,
417.931,2166.0173,
415.020,2097.0068,
412.110,2426.7774,
409.199,2685.0552,
406.289,2812.1283,
403.378,2764.5072,
400.468,2729.7314,
397.557,2705.2571,
394.646,2727.6399,
391.736,2822.7457,
388.825,2826.5169,
385.915,2855.2991,
383.004,2876.1985,
380.094,2870.8497,
377.183,2934.0577,
374.272,2939.6838,
371.362,2932.5683,
368.451,2939.0323,
365.541,2929.2753,
362.630,2937.0036,
359.719,2943.8492,
356.809,2937.4502,
353.898,2901.5079,
350.988,2923.0892,
348.077,2941.4936,
345.167,2921.0952,
342.256,2910.6363,
339.345,2954.9225,
336.435,2986.9093,
333.524,2960.1218,
330.614,2912.4318,
327.703,2929.9695,
324.793,2956.7581,
321.882,2945.6106,
318.971,2939.663,
316.061,2955.2043,
313.150,2988.6369,
310.240,3036.8744,
307.329,3022.903,
304.418,3028.9357,
301.508,3043.8219,
298.597,3044.5623,
295.687,3088.6456,
292.776,3103.7916,
289.866,3113.218,
286.955,3196.694,
284.044,3229.4975,
281.134,3284.5784,
278.223,3357.7328,
275.313,3358.4696,
272.402,3366.1767,
269.492,3358.0003,
266.581,3327.4163,
263.670,3310.5072,
260.760,3367.7886,
257.849,3422.3154,
254.939,3415.7104,
252.028,3414.9012,
249.117,3384.0176,
246.207,3365.619,
243.296,3435.1625,
240.386,3426.3002,
237.475,3421.4669,
234.565,3422.3334,
231.654,3388.7358,
228.743,3353.432,
225.833,3293.5983,
222.922,3206.9352,
220.012,3256.477,
217.101,3240.2378,
214.191,3188.2659,
211.280,3127.1591,
208.369,3091.6756,
205.459,3059.058,
202.548,3033.1264,
199.638,3036.029,
196.727,2996.2899,
193.816,2982.2782,
190.906,3014.9173,
187.995,2909.2098,
185.085,2848.5094,
182.174,2813.5938,
179.264,2783.9604,
176.353,2733.2074,
173.442,2707.3501,
170.532,2695.3519,
167.621,2581.4377,
164.711,2500.6961,
161.800,2373.5396,
158.890,2133.1506,
155.979,1992.8992,
153.068,1819.8079,
150.158,1610.0949,
147.247,1365.9911,
144.337,1132.6228,
141.426,889.75233,
138.516,626.65325,
135.605,455.13471,
132.694,316.54312,
129.784,209.10614,
126.873,139.73854,
123.963,88.066371,
