,PLCF92~1,
Wavenumbers [1/cm],Intensity,
522.712,1644.5766,
519.801,1616.4106,
516.891,1616.5133,
513.980,1656.7766,
511.070,1630.0881,
508.159,1624.0609,
505.248,1642.8917,
502.338,1677.8268,
499.427,1693.2635,
496.517,1686.6275,
493.606,1674.3371,
490.695,1664.0213,
487.785,1647.0859,
484.874,1663.1155,
481.964,1665.4847,
479.053,1656.7652,
476.143,1666.7487,
473.232,1647.9511,
470.321,1662.7575,
467.411,1684.3489,
464.500,1677.7156,
461.590,1651.6805,
458.679,1666.3868,
455.769,1676.1833,
452.858,1662.4313,
449.947,1701.3918,
447.037,1680.2505,
444.126,1670.6174,
441.216,1685.5813,
438.305,1681.0097,
435.395,1684.3088,
432.484,1690.5425,
429.573,1677.5598,
426.663,1596.9849,
423.752,1337.9093,
420.842,1021.4962,
417.931,762.44687,
415.020,716.94539,
412.110,1106.788,
409.199,1405.8761,
406.289,1556.814,
403.378,1521.2444,
400.468,1482.6887,
397.557,1467.8043,
394.646,1516.82,
391.736,1655.9162,
388.825,1641.5859,
385.915,1630.9887,
383.004,1620.8063,
380.094,1609.9508,
377.183,1621.238,
374.272,1663.998,
371.362,1708.2651,
368.451,1732.8249,
365.541,1707.3067,
362.630,1709.1148,
359.719,1722.2944,
356.809,1734.3361,
353.898,1700.6402,
350.988,1716.8719,
348.077,1738.9558,
345.167,1739.2019,
342.256,1716.0428,
339.345,1709.9064,
336.435,1704.5456,
333.524,1689.8917,
330.614,1706.2852,
327.703,1737.5587,
324.793,1768.3042,
321.882,1785.3209,
318.971,1763.0176,
316.061,1736.3308,
313.150,1735.775,
310.240,1798.1127,
307.329,1814.6677,
304.418,1842.7167,
301.508,1872.3289,
298.597,1883.4351,
295.687,1836.9682,
292.776,1847.2918,
289.866,1905.5189,
286.955,1963.1394,
284.044,2044.7449,
281.134,2130.3284,
278.223,2203.4828,
275.313,2204.2196,
272.402,2235.7438,
269.492,2244.7503,
266.581,2210.8031,
263.670,2146.8424,
260.760,2214.0459,
257.849,2301.6136,
254.939,2328.0334,
252.028,2293.6304,
249.117,2300.9322,
246.207,2329.9209,
243.296,2347.4897,
240.386,2368.3118,
237.475,2368.7703,
234.565,2349.0037,
231.654,2321.2491,
228.743,2291.7849,
225.833,2281.0827,
222.922,2294.0988,
220.012,2245.2856,
217.101,2214.1628,
214.191,2178.9231,
211.280,2114.1789,
208.369,2115.4303,
205.459,2102.405,
202.548,2078.2497,
199.638,2077.524,
196.727,2012.2626,
193.816,1992.9722,
190.906,2056.1245,
187.995,1963.4493,
185.085,1938.9407,
182.174,1950.1174,
179.264,1960.2361,
176.353,1971.6275,
173.442,1995.5029,
170.532,2015.698,
167.621,1915.4824,
164.711,1836.3438,
161.800,1733.8322,
158.890,1571.1738,
155.979,1452.4517,
153.068,1352.9422,
150.158,1249.0059,
147.247,1058.7486,
144.337,887.56032,
141.426,718.58465,
138.516,544.38008,
135.605,380.25619,
132.694,252.76943,
129.784,159.22542,
126.873,102.01503,
123.963,72.733826,
121.052,50.593034,
118.141,28.462072,
115.231,26.953859,
112.320,21.291369,
109.410,14.375,
106.499,14.375,
103.589,14.375,
100.678,14.103378,
97.767,13.392441,
94.857,10.603044,
91.946,10.987443,
89.036,14.052387,
86.125,18.307619,
83.215,17.251319,
80.304,11.544077,
77.393,0.21335805,
74.483,3.3058097,
71.572,6.0997042,
68.662,6.82086,
65.751,1.1692514,
62.840,4.6737218,
59.930,9.438569,
57.019,5.9131591,
54.109,2.9863566,
51.198,3.4862649,
48.288,8.3523502,
45.377,5.538838,
42.466,2.7261226,
39.556,0.25988142,
36.645,-0.44230879,
33.735,3.5289877,
30.824,4.2825824,
27.914,-5.5338711,
25.003,-2.8891751,
22.092,-1.5937137,
19.182,-3.2817571,
16.271,7.2105949,
13.361,50.149134,
10.450,93.038681,
7.539,32.983559,
4.629,-189.67131,
1.718,-492.45788,
-1.192,-847.30445,
-4.103,-693.91708,
-7.013,-393.54834,
-9.924,0.375,
