,PL1D8D~1,
Raman shift [1/cm],Intensity,
185.085,3868.8465,
182.174,3850.4139,
179.264,3869.9285,
176.353,3860.591,
173.442,3864.6392,
170.532,3875.2283,
167.621,3807.4566,
164.711,3727.6336,
161.800,3629.362,
158.890,3504.1294,
155.979,3294.0809,
153.068,3014.4659,
150.158,2677.2191,
147.247,2307.4737,
144.337,1886.0803,
141.426,1481.3454,
138.516,1127.2012,
135.605,802.42709,
132.694,550.60911,
129.784,363.59593,
126.873,237.73307,
123.963,171.72102,
121.052,123.84436,
118.141,80.296336,
115.231,73.019296,
112.320,60.80501,
109.410,47.715934,
106.499,45.579469,
103.589,35.600674,
100.678,27.310135,
97.767,25.177322,
94.857,25.817989,
91.946,25.318778,
89.036,23.786306,
86.125,21.65869,
83.215,19.001319,
80.304,16.885567,
77.393,16.177397,
74.483,14.81473,
71.572,13.400296,
68.662,12.055733,
65.751,11.349281,
62.840,12.088404,
59.930,12.937714,
57.019,12.232632,
54.109,14.513643,
51.198,13.712126,
48.288,8.1646371,
45.377,13.088284,
42.466,10.590587,
39.556,4.125,
36.645,4.125,
33.735,5.6827454,
30.824,4.9161303,
27.914,-2.0956222,
25.003,0.86082485,
22.092,2.1562863,
19.182,-0.26400867,
16.271,-12.155341,
13.361,-39.212273,
10.450,-136.09956,
7.539,-520.87132,
4.629,-919.82716,
1.718,-1235.1548,
-1.192,-1350.1837,
-4.103,-916.41492,
-7.013,-436.25297,
-9.924,0.125,
