,PL3DB8~1,
Raman shift [1/cm],Intensity,
132.694,2100.8639,
129.784,1370.0303,
126.873,898.75978,
123.963,608.25301,
121.052,413.5657,
118.141,294.34407,
115.231,234.89766,
112.320,188.4223,
109.410,154.46612,
106.499,136.66224,
103.589,125.03144,
100.678,113.71419,
97.767,100.20637,
94.857,92.25212,
91.946,86.456335,
89.036,82.31051,
86.125,78.764484,
83.215,72.034876,
80.304,63.044077,
77.393,51.713358,
74.483,49.56473,
71.572,47.787944,
68.662,46.082802,
65.751,48.202156,
62.840,46.46649,
59.930,42.189424,
57.019,35.843686,
54.109,37.263643,
51.198,36.160517,
48.288,29.875,
45.377,29.875,
42.466,29.462781,
39.556,28.759881,
36.645,28.057691,
33.735,25.278758,
30.824,22.433226,
27.914,21.030876,
25.003,22.120275,
22.092,23.197905,
19.182,23.531757,
16.271,13.039405,
13.361,-39.171209,
10.450,-148.03274,
7.539,-397.33133,
4.629,-654.71422,
1.718,-809.25314,
-1.192,-724.89865,
-4.103,-485.0336,
-7.013,-234.06142,
-9.924,1.875,
