,PL9E2D~1,
Raman shift [1/cm],Intensity,
557.639,1248.5978,
554.728,1258.3112,
551.818,1273.1372,
548.907,1270.2809,
545.996,1275.7059,
543.086,1291.7171,
540.175,1297.9463,
537.265,1303.445,
534.354,1280.7922,
531.444,1258.8829,
528.533,1265.2646,
525.622,1263.7127,
522.712,1326.4773,
519.801,1337.2065,
516.891,1293.8527,
513.980,1320.953,
511.070,1326.8967,
508.159,1337.9263,
505.248,1354.8844,
502.338,1374.8042,
499.427,1389.4691,
496.517,1417.6982,
493.606,1419.5504,
490.695,1392.6871,
487.785,1438.1047,
484.874,1416.9411,
481.964,1413.0028,
479.053,1420.7337,
476.143,1384.6394,
473.232,1406.8347,
470.321,1427.0797,
467.411,1430.7772,
464.500,1408.6853,
461.590,1420.9371,
458.679,1417.7715,
455.769,1417.416,
452.858,1423.2052,
449.947,1373.5497,
447.037,1423.4443,
444.126,1462.7447,
441.216,1462.449,
438.305,1457.1155,
435.395,1441.2954,
432.484,1438.7928,
429.573,1442.47,
426.663,1425.7469,
423.752,1413.2163,
420.842,1418.4221,
417.931,1432.7452,
415.020,1441.0871,
412.110,1441.375,
409.199,1469.2478,
406.289,1492.9635,
403.378,1476.2597,
400.468,1442.24,
397.557,1451.4268,
394.646,1464.1801,
391.736,1446.0953,
388.825,1406.1211,
385.915,1362.9756,
383.004,1344.5124,
380.094,1368.6418,
377.183,1393.4736,
374.272,1437.8268,
371.362,1473.2013,
368.451,1485.2928,
365.541,1533.3271,
362.630,1554.5686,
359.719,1554.8637,
356.809,1539.7375,
353.898,1545.7279,
350.988,1570.1594,
348.077,1570.208,
345.167,1523.4885,
342.256,1525.7297,
339.345,1531.1579,
336.435,1546.2011,
333.524,1573.9757,
330.614,1561.3081,
327.703,1553.2678,
324.793,1543.4458,
321.882,1526.5102,
318.971,1582.2684,
316.061,1575.9827,
313.150,1543.3703,
310.240,1524.0752,
307.329,1569.8264,
304.418,1584.7274,
301.508,1571.5134,
298.597,1538.1947,
295.687,1435.1434,
292.776,1416.9585,
289.866,1476.5908,
