,PL3CE0~1,
Raman shift [1/cm],Intensity,
656.598,2117.209,
653.688,2096.1607,
650.777,2109.52,
647.867,2117.4833,
644.956,2116.1542,
642.046,2101.3975,
639.135,2093.5208,
636.224,2132.2779,
633.314,2137.8354,
630.403,2142.7973,
627.493,2156.0041,
624.582,2170.778,
621.672,2159.6901,
618.761,2185.0879,
615.850,2202.0658,
612.940,2220.1791,
610.029,2242.3022,
607.119,2248.6192,
604.208,2230.7897,
601.297,2254.6566,
598.387,2270.1986,
595.476,2226.9817,
592.566,2192.3507,
589.655,2186.25,
586.745,2175.4008,
583.834,2150.71,
580.923,2113.3827,
578.013,2135.3552,
575.102,2145.8387,
572.192,2147.4636,
569.281,2146.2184,
566.371,2157.1751,
563.460,2198.4617,
560.549,2209.8899,
557.639,2208.0099,
554.728,2220.0238,
551.818,2248.1151,
548.907,2259.1253,
545.996,2262.6388,
543.086,2262.7467,
540.175,2260.4108,
537.265,2297.9125,
534.354,2325.294,
531.444,2331.0049,
528.533,2315.0091,
525.622,2353.8065,
522.712,2403.5092,
519.801,2415.7386,
516.891,2402.4228,
513.980,2452.7521,
511.070,2465.7022,
508.159,2529.9009,
505.248,2596.7507,
502.338,2599.357,
499.427,2637.1768,
496.517,2656.8662,
493.606,2675.0177,
490.695,2699.0316,
487.785,2719.0462,
484.874,2735.1745,
481.964,2741.4194,
479.053,2732.1602,
476.143,2698.3699,
473.232,2712.7963,
470.321,2692.9749,
467.411,2659.9315,
464.500,2645.5106,
461.590,2695.2837,
458.679,2703.1968,
455.769,2722.825,
452.858,2768.6147,
449.947,2695.2772,
447.037,2705.7339,
444.126,2731.4924,
441.216,2747.5146,
438.305,2749.0384,
435.395,2755.1507,
432.484,2776.1703,
429.573,2808.1726,
426.663,2837.8181,
423.752,2853.501,
420.842,2858.7933,
417.931,2859.1119,
415.020,2862.1453,
412.110,2894.441,
409.199,2932.6558,
406.289,2967.3834,
403.378,2989.2449,
400.468,2987.7329,
397.557,2989.3066,
394.646,2979.1294,
391.736,2946.1051,
388.825,2941.5797,
385.915,2930.1383,
383.004,2934.6705,
380.094,2968.7874,
377.183,2979.3221,
374.272,3063.6671,
371.362,3141.9628,
368.451,3168.487,
365.541,3221.775,
362.630,3223.6865,
359.719,3224.2008,
356.809,3249.6157,
353.898,3239.1325,
350.988,3238.4199,
348.077,3223.4063,
345.167,3183.8772,
342.256,3216.0011,
339.345,3239.5987,
336.435,3237.8152,
333.524,3200.9312,
330.614,3222.5407,
327.703,3227.7098,
324.793,3225.2188,
321.882,3222.4519,
318.971,3305.7175,
316.061,3305.4395,
313.150,3299.7309,
310.240,3378.3952,
307.329,3421.9843,
304.418,3440.5298,
301.508,3450.3393,
298.597,3476.9943,
295.687,3467.7369,
292.776,3500.5835,
289.866,3586.1666,
286.955,3737.6053,
284.044,3886.3824,
281.134,4017.6446,
278.223,4134.7583,
275.313,4268.1291,
272.402,4352.0167,
269.492,4431.5397,
