,PLA19C~1,
Raman shift [1/cm],Intensity,
604.208,991.61525,
601.297,981.67095,
598.387,979.02345,
595.476,1011.4221,
592.566,1014.5704,
589.655,1016.4208,
586.745,998.46435,
583.834,959.85204,
580.923,909.02548,
578.013,892.54607,
575.102,907.627,
572.192,927.48427,
569.281,937.5468,
566.371,939.89467,
563.460,965.52186,
560.549,967.35398,
557.639,961.61632,
554.728,971.66699,
551.818,980.25046,
548.907,997.96974,
545.996,1008.5138,
543.086,1008.1184,
540.175,1003.4465,
537.265,1028.4748,
534.354,1028.0912,
531.444,1018.961,
528.533,1020.2973,
525.622,1008.6581,
522.712,1004.3047,
519.801,1014.1995,
516.891,1033.69,
513.980,1041.433,
511.070,1035.0815,
508.159,1045.4969,
505.248,1069.3884,
502.338,1097.125,
499.427,1097.125,
496.517,1114.0947,
493.606,1121.4046,
490.695,1111.6228,
487.785,1122.3999,
484.874,1146.0966,
481.964,1148.5736,
479.053,1128.1384,
476.143,1098.9558,
473.232,1119.4265,
470.321,1126.1787,
467.411,1136.788,
464.500,1172.4572,
461.590,1106.6035,
458.679,1117.8409,
455.769,1130.7827,
452.858,1106.2045,
449.947,1106.9685,
447.037,1127.1481,
444.126,1141.2341,
441.216,1141.5375,
438.305,1132.3944,
435.395,1139.6483,
432.484,1127.4549,
429.573,1111.0476,
426.663,1140.6931,
423.752,1103.3721,
420.842,1068.7709,
417.931,1062.9923,
415.020,1115.3191,
412.110,1109.0773,
409.199,1121.2839,
406.289,1144.5044,
403.378,1167.166,
400.468,1179.2619,
397.557,1152.276,
394.646,1114.2366,
391.736,1089.8594,
388.825,1081.5629,
385.915,1056.7729,
383.004,1037.125,
380.094,1042.3075,
377.183,1143.8918,
374.272,1174.2961,
371.362,1192.313,
368.451,1231.2162,
365.541,1232.7173,
362.630,1241.8648,
359.719,1253.5645,
356.809,1263.6266,
353.898,1255.3898,
350.988,1257.4649,
348.077,1259.0921,
345.167,1254.0115,
342.256,1251.7703,
339.345,1244.7478,
336.435,1253.8374,
333.524,1291.8666,
330.614,1283.6699,
327.703,1269.3167,
324.793,1277.9749,
321.882,1335.0403,
318.971,1300.0985,
316.061,1307.1692,
313.150,1324.3536,
310.240,1315.4482,
307.329,1338.708,
304.418,1349.0369,
301.508,1348.9435,
298.597,1344.501,
295.687,1346.1567,
292.776,1367.9584,
289.866,1420.3229,
286.955,1530.393,
284.044,1604.3149,
281.134,1677.7458,
278.223,1760.9688,
275.313,1869.2865,
272.402,1919.4275,
269.492,1963.8395,
266.581,2017.4403,
263.670,2021.8514,
260.760,2061.259,
257.849,2087.9129,
254.939,2064.4287,
252.028,2172.7017,
249.117,2176.2083,
246.207,2123.3592,
243.296,2093.3456,
240.386,2101.8789,
237.475,2073.9324,
234.565,2011.7628,
231.654,1965.0183,
228.743,1902.1911,
225.833,1872.8817,
222.922,1891.9315,
220.012,1823.4473,
217.101,1762.3585,
214.191,1722.5621,
211.280,1724.017,
208.369,1726.1434,
205.459,1688.3977,
202.548,1635.1389,
199.638,1664.1649,
196.727,1666.0915,
193.816,1686.9058,
190.906,1741.998,
187.995,1738.3779,
185.085,1740.9078,
182.174,1727.6914,
179.264,1663.3652,
176.353,1743.9117,
173.442,1763.7578,
170.532,1712.377,
167.621,1714.5399,
164.711,1699.8835,
161.800,1664.4977,
158.890,1601.1617,
155.979,1507.743,
153.068,1391.4578,
150.158,1254.0083,
147.247,1094.6229,
144.337,900.75544,
141.426,706.96036,
138.516,529.17133,
135.605,367.13002,
132.694,247.72429,
129.784,162.30298,
126.873,96.511039,
123.963,67.760106,
121.052,53.008819,
118.141,45.155897,
115.231,28.071311,
112.320,22.819544,
109.410,24.988645,
106.499,24.27649,
103.589,20.203219,
100.678,15.766891,
97.767,12.212204,
94.857,8.6600548,
91.946,8.7374435,
89.036,11.237898,
86.125,11.947103,
83.215,11.59408,
80.304,9.2095385,
77.393,3.544179,
74.483,5.7455398,
71.572,7.4873521,
68.662,8.0557325,
65.751,7.3492814,
62.840,8.570106,
59.930,8.8139966,
57.019,3.8784227,
54.109,1.3335175,
51.198,1.9346557,
48.288,6.175962,
45.377,12.506365,
42.466,13.888342,
39.556,11.779644,
36.645,9.6730736,
33.735,12.240491,
30.824,14.904113,
27.914,14.202938,
25.003,17.238187,
22.092,16.864668,
19.182,12.651306,
16.271,28.739579,
13.361,127.84575,
10.450,298.39331,
7.539,549.78684,
4.629,604.28218,
1.718,480.16051,
-1.192,108.58247,
-4.103,17.980466,
-7.013,-5.9227092,
-9.924,3.125,
