,PLA5FF~1,
Wavenumbers [1/cm],Intensity,
988.404,1145.4442,
985.494,1102.1243,
982.583,1113.2596,
979.673,1117.8016,
976.762,1117.7008,
973.852,1112.4549,
970.941,1105.3931,
968.030,1104.5802,
965.120,1120.0361,
962.209,1158.4005,
959.299,1155.6678,
956.388,1152.9949,
953.477,1148.9427,
950.567,1157.0376,
947.656,1196.8669,
944.746,1173.9289,
941.835,1160.7278,
938.925,1192.7517,
936.014,1197.7235,
933.103,1179.5786,
930.193,1168.2769,
927.282,1161.7833,
924.372,1160.0921,
921.461,1155.4566,
918.551,1146.9038,
915.640,1141.4501,
912.729,1151.6093,
909.819,1177.5389,
906.908,1152.2661,
903.998,1155.6472,
901.087,1139.0528,
898.176,1155.5979,
895.266,1179.4792,
892.355,1163.7914,
889.445,1141.9705,
886.534,1167.756,
883.624,1185.6588,
880.713,1190.3439,
877.802,1187.4854,
874.892,1169.4319,
871.981,1097.6988,
869.071,963.19732,
866.160,939.875,
863.250,1033.1831,
860.339,1132.194,
857.428,1163.8056,
854.518,1187.6473,
851.607,1145.2118,
848.697,1100.0451,
845.786,1076.6474,
842.875,1072.2732,
839.965,1095.7105,
837.054,1190.9773,
834.144,1200.0936,
831.233,1243.872,
828.323,1257.4564,
825.412,1247.9432,
822.501,1241.6409,
819.591,1229.2449,
816.680,1248.9071,
813.770,1260.14,
810.859,1240.4105,
807.949,1211.5994,
805.038,1210.6759,
802.127,1209.0296,
799.217,1231.9821,
796.306,1220.5776,
793.396,1224.9515,
790.485,1251.5057,
787.574,1238.9996,
784.664,1242.28,
781.753,1275.0822,
778.843,1270.7816,
775.932,1256.9736,
773.022,1271.0998,
770.111,1259.6537,
767.200,1276.3852,
764.290,1264.5387,
761.379,1255.0259,
758.469,1258.6194,
755.558,1254.9448,
752.648,1290.7873,
749.737,1260.0132,
746.826,1239.4088,
743.916,1241.9465,
741.005,1247.7658,
738.095,1229.0926,
735.184,1234.7407,
732.274,1195.8032,
729.363,1163.9271,
726.452,1178.0677,
723.542,1190.2086,
720.631,1240.57,
717.721,1253.5836,
714.810,1270.1476,
711.899,1294.7958,
708.989,1273.0088,
706.078,1288.0998,
703.168,1262.1212,
700.257,1260.6156,
697.347,1287.8313,
694.436,1294.6131,
691.525,1284.9675,
688.615,1273.4413,
685.704,1265.2848,
682.794,1265.6196,
679.883,1279.4609,
676.973,1314.7212,
674.062,1309.1134,
671.151,1295.3,
668.241,1287.5897,
665.330,1288.7405,
662.420,1264.7786,
659.509,1270.6688,
656.598,1294.185,
653.688,1320.3256,
650.777,1331.0109,
647.867,1305.5284,
644.956,1299.875,
642.046,1269.6093,
639.135,1224.3597,
636.224,1215.1097,
633.314,1261.9521,
630.403,1267.9629,
627.493,1278.8539,
624.582,1300.5796,
621.672,1290.2836,
618.761,1287.5952,
615.850,1313.3224,
612.940,1348.1949,
610.029,1371.9022,
607.119,1360.0577,
604.208,1358.165,
601.297,1384.2964,
598.387,1399.6963,
595.476,1371.2065,
592.566,1364.1229,
589.655,1393.9737,
586.745,1404.7994,
583.834,1394.4596,
580.923,1386.0172,
578.013,1409.5592,
575.102,1397.5202,
572.192,1373.871,
569.281,1360.3742,
566.371,1385.4182,
563.460,1412.5664,
560.549,1410.2058,
557.639,1415.943,
554.728,1465.8056,
551.818,1433.0323,
548.907,1397.842,
545.996,1388.8172,
543.086,1398.5132,
540.175,1378.2684,
537.265,1383.3935,
534.354,1395.4071,
531.444,1405.1537,
528.533,1407.9167,
525.622,1436.6268,
522.712,1414.9643,
519.801,1396.4931,
516.891,1390.2408,
513.980,1362.3662,
511.070,1373.2576,
508.159,1404.186,
505.248,1423.613,
502.338,1399.0106,
499.427,1403.6415,
496.517,1412.2285,
493.606,1424.2683,
490.695,1436.2331,
487.785,1431.6143,
484.874,1433.4599,
481.964,1422.0014,
479.053,1400.3817,
476.143,1385.7904,
473.232,1435.9527,
470.321,1428.1401,
467.411,1398.1152,
464.500,1396.4762,
461.590,1420.2141,
458.679,1433.4785,
