,PLF08B~1,
Raman shift [1/cm],Intensity,
1602.536,4475.0323,
1599.626,4444.023,
1596.715,4484.0649,
1593.805,4362.3992,
1590.894,4276.1657,
1587.984,4233.5885,
1585.073,4148.5232,
1582.162,4046.837,
1579.252,3993.4948,
1576.341,3995.9138,
1573.431,3995.3673,
1570.520,3948.6374,
1567.610,3899.4799,
1564.699,3857.7738,
1561.788,3799.3174,
1558.878,3763.7964,
1555.967,3702.3255,
1553.057,3676.4138,
1550.146,3604.9838,
1547.235,3526.4417,
1544.325,3466.1749,
1541.414,3442.9006,
1538.504,3380.7057,
1535.593,3293.1543,
1532.683,3281.7412,
1529.772,3250.2008,
1526.861,3202.1908,
1523.951,3191.9551,
1521.040,3147.49,
1518.130,3150.5584,
1515.219,3096.7007,
1512.309,3087.3559,
1509.398,3115.7361,
1506.487,3047.6651,
1503.577,3064.8835,
1500.666,3059.7531,
1497.756,3086.4059,
1494.845,2999.4594,
1491.934,2974.6543,
1489.024,3021.8165,
1486.113,2982.7025,
1483.203,2946.6378,
1480.292,2954.3792,
1477.382,2880.5247,
1474.471,2871.7085,
1471.560,2873.7743,
1468.650,2840.0196,
1465.739,2812.3307,
1462.829,2807.2905,
1459.918,2769.8256,
1457.008,2755.2541,
1454.097,2740.5354,
1451.186,2731.5309,
1448.276,2777.6173,
1445.365,2792.4645,
1442.455,2769.6279,
1439.544,2725.0369,
1436.633,2792.3342,
1433.723,2752.5181,
1430.812,2709.6873,
1427.902,2698.3951,
1424.991,2651.9547,
1422.081,2604.6261,
1419.170,2595.3156,
1416.259,2630.9528,
1413.349,2641.0105,
1410.438,2580.6192,
1407.528,2539.0502,
1404.617,2537.5455,
1401.707,2502.7545,
1398.796,2499.5978,
1395.885,2537.1536,
1392.975,2499.1233,
1390.064,2406.9585,
1387.154,2330.7221,
1384.243,2210.1176,
1381.332,2137.0333,
1378.422,2190.8229,
1375.511,2371.6216,
1372.601,2614.1083,
1369.690,2684.2189,
1366.780,2759.031,
1363.869,2785.2177,
1360.958,2845.2786,
1358.048,2921.9649,
1355.137,2983.4126,
1352.227,3057.5395,
1349.316,3139.7739,
1346.406,3190.0373,
1343.495,3234.1743,
1340.584,3310.2135,
1337.674,3363.4664,
1334.763,3397.2763,
1331.853,3417.6754,
1328.942,3498.5518,
1326.032,3559.0685,
1323.121,3543.0843,
1320.210,3540.1592,
1317.300,3572.4214,
1314.389,3618.7088,
1311.479,3656.1698,
1308.568,3692.9739,
1305.657,3721.3522,
1302.747,3709.5986,
1299.836,3771.1759,
1296.926,3960.653,
1294.015,4093.0356,
1291.105,4271.0862,
1288.194,4379.9655,
1285.283,4424.4121,
1282.373,4475.2655,
1279.462,4536.8326,
1276.552,4591.193,
1273.641,4613.1855,
1270.731,4612.1448,
1267.820,4628.0071,
1264.909,4611.6092,
1261.999,4562.1325,
1259.088,4579.4628,
1256.178,4469.1607,
1253.267,4386.8228,
1250.356,4303.8381,
1247.446,4231.2556,
1244.535,4150.9555,
1241.625,4061.552,
1238.714,3981.8365,
1235.804,3912.0244,
1232.893,3845.1317,
1229.982,3810.851,
1227.072,3703.1189,
1224.161,3640.0268,
1221.251,3567.7057,
1218.340,3481.071,
1215.430,3447.1516,
1212.519,3438.5393,
1209.608,3413.0337,
1206.698,3401.5216,
1203.787,3434.8266,
1200.877,3414.1248,
1197.966,3488.7551,
1195.055,3563.3196,
1192.145,3651.3857,
1189.234,3758.8966,
1186.324,3838.4124,
1183.413,3899.297,
1180.503,3943.8843,
1177.592,3930.8935,
1174.681,3849.6165,
1171.771,3781.4176,
1168.860,3777.8452,
1165.950,3755.7302,
1163.039,3690.4374,
1160.129,3692.2232,
1157.218,3721.5955,
1154.307,3728.4187,
1151.397,3721.7607,
1148.486,3723.0994,
1145.576,3723.1849,
1142.665,3646.8244,
1139.754,3603.8867,
1136.844,3535.274,
1133.933,3499.5294,
1131.023,3504.7745,
1128.112,3504.5734,
1125.202,3468.6305,
1122.291,3435.7534,
1119.380,3444.9244,
1116.470,3488.1683,
1113.559,3481.128,
1110.649,3462.4386,
1107.738,3452.3567,
1104.828,3457.5737,
1101.917,3456.8487,
1099.006,3435.1803,
1096.096,3452.9838,
1093.185,3460.8858,
1090.275,3463.9278,
1087.364,3472.0474,
1084.453,3458.0636,
1081.543,3454.5791,
1078.632,3460.2919,
1075.722,3443.3716,
1072.811,3435.7697,
1069.901,3397.3462,
1066.990,3482.6081,
1064.079,3503.5,
1061.169,3537.1904,
1058.258,3554.7598,
1055.348,3543.8517,
1052.437,3560.9792,
1049.527,3620.9769,
1046.616,3659.2054,
1043.705,3642.6893,
1040.795,3635.223,
1037.884,3652.2008,
1034.974,3685.5142,
1032.063,3705.5849,
1029.153,3687.0313,
1026.242,3716.4398,
1023.331,3714.1669,
1020.421,3741.3841,
1017.510,3775.3508,
1014.600,3810.686,
1011.689,3839.491,
1008.778,3870.612,
1005.868,3994.5657,
1002.957,4113.2945,
1000.047,4251.6201,
997.136,4327.6283,
994.226,4345.0385,
991.315,4335.5421,
988.404,4312.0704,
985.494,4235.9272,
982.583,4165.6896,
979.673,4098.4316,
976.762,4076.9129,
973.852,4074.2899,
970.941,4070.3145,
968.030,4068.4017,
965.120,4073.5537,
962.209,4086.3418,
959.299,4101.9567,
956.388,4090.7011,
953.477,4114.0814,
950.567,4150.2917,
947.656,4106.1712,
944.746,4118.9145,
941.835,4121.9294,
938.925,4102.1004,
936.014,4098.5816,
933.103,4109.7371,
930.193,4100.1212,
927.282,4027.8878,
924.372,3979.6882,
921.461,3947.726,
918.551,3906.5487,
915.640,3869.4769,
912.729,3846.743,
909.819,3834.7207,
906.908,3821.2419,
903.998,3828.4536,
901.087,3865.5078,
898.176,3908.4054,
895.266,3925.565,
892.355,3920.5936,
889.445,3985.2172,
886.534,4020.5646,
883.624,4005.9694,
880.713,4048.577,
877.802,4087.3413,
874.892,4063.2131,
871.981,4056.0007,
869.071,3992.5093,
866.160,4001.5088,
863.250,4001.0643,
860.339,3984.9825,
857.428,3967.6738,
854.518,3952.1259,
851.607,3973.7597,
848.697,3949.9873,
845.786,3931.2724,
842.875,3930.7432,
839.965,3956.3063,
837.054,4028.3791,
834.144,4017.6053,
831.233,4000.1678,
828.323,4006.348,
825.412,4013.0949,
822.501,3992.1382,
819.591,3962.3878,
816.680,3911.0191,
813.770,3871.5604,
810.859,3826.6206,
807.949,3781.8536,
805.038,3756.5996,
802.127,3757.4227,
799.217,3790.2972,
796.306,3795.8243,
793.396,3784.103,
790.485,3777.9751,
787.574,3797.0988,
784.664,3760.1938,
781.753,3704.5182,
778.843,3730.9785,
775.932,3785.9691,
773.022,3797.2059,
770.111,3833.9969,
767.200,3825.0803,
764.290,3812.8318,
761.379,3777.7477,
758.469,3732.2444,
755.558,3727.111,
752.648,3714.0773,
749.737,3656.0129,
746.826,3577.0806,
743.916,3452.3691,
741.005,3224.1365,
738.095,2760.5548,
735.184,2336.5292,
732.274,2272.5918,
729.363,2571.7657,
726.452,3087.1502,
723.542,3489.4187,
720.631,3604.0092,
717.721,3668.0164,
714.810,3706.6817,
711.899,3724.4307,
708.989,3715.5545,
706.078,3723.513,
703.168,3737.0372,
700.257,3722.2211,
697.347,3695.7168,
694.436,3713.518,
691.525,3677.3468,
688.615,3711.6371,
685.704,3698.9427,
682.794,3654.4148,
679.883,3672.158,
676.973,3709.021,
674.062,3740.7471,
671.151,3752.7467,
668.241,3749.7853,
665.330,3747.6891,
662.420,3751.6827,
659.509,3744.8808,
656.598,3742.6637,
653.688,3746.4202,
650.777,3748.7169,
647.867,3725.6234,
644.956,3731.6447,
642.046,3716.5263,
639.135,3688.8537,
636.224,3701.7626,
633.314,3754.1625,
630.403,3758.0406,
627.493,3752.6522,
624.582,3765.4474,
621.672,3814.5511,
618.761,3833.9786,
615.850,3820.2154,
612.940,3833.5304,
610.029,3891.9989,
607.119,3907.0019,
604.208,3882.9395,
601.297,3893.9363,
598.387,3902.3149,
595.476,3870.7627,
592.566,3884.1429,
589.655,3879.3732,
586.745,3863.7828,
583.834,3827.8591,
580.923,3754.1588,
578.013,3697.658,
575.102,3735.2701,
572.192,3802.7255,
569.281,3853.3594,
566.371,3852.5768,
563.460,3903.9992,
560.549,3943.5293,
557.639,3952.8317,
554.728,3928.5694,
551.818,3961.3427,
548.907,4019.0813,
545.996,4051.1112,
543.086,4055.7006,
540.175,4079.8387,
537.265,4076.43,
534.354,4047.4087,
531.444,4029.1384,
528.533,4053.928,
525.622,4088.0697,
522.712,4095.5,
519.801,4105.4289,
516.891,4125.5691,
513.980,4145.7008,
511.070,4177.0826,
508.159,4226.2726,
505.248,4273.0094,
502.338,4294.7592,
499.427,4371.9424,
496.517,4412.8636,
493.606,4439.6042,
490.695,4458.6114,
487.785,4437.8271,
484.874,4446.7783,
481.964,4486.307,
