,PLD6F7~1,
Wavenumbers [1/cm],Intensity,
121.052,68.043431,
118.141,39.487351,
115.231,33.690437,
112.320,28.833184,
109.410,26.329487,
106.499,31.314573,
103.589,25.651946,
100.678,18.202026,
97.767,12.514526,
94.857,11.682011,
91.946,15.002998,
89.036,19.358919,
86.125,12.976071,
83.215,12.436841,
80.304,11.220106,
77.393,4.8465764,
74.483,8.3058097,
71.572,8.9255915,
68.662,6.5828025,
65.751,8.7021557,
62.840,5.5213841,
59.930,1.375,
57.019,1.375,
54.109,2.5693217,
51.198,4.5814371,
48.288,7.3297005,
45.377,1.7026759,
42.466,-0.21278066,
39.556,0.72035573,
36.645,2.8269264,
33.735,3.8942485,
30.824,1.5034693,
27.914,-7.6118088,
25.003,-6.1344501,
22.092,-2.6875727,
19.182,1.5122972,
16.271,5.709238,
13.361,51.20663,
10.450,112.93747,
7.539,122.01557,
4.629,-127.07526,
1.718,-446.01365,
-1.192,-717.90002,
-4.103,-637.1678,
-7.013,-391.76443,
-9.924,-0.625,
