,PL4CC5~1,
Raman shift [1/cm],Intensity,
254.939,1053.1505,
252.028,1101.3988,
249.117,1098.6109,
246.207,1055.8204,
243.296,987.00893,
240.386,1038.3943,
237.475,1044.6528,
234.565,996.68765,
231.654,946.29118,
228.743,890.17092,
225.833,852.35645,
222.922,842.69295,
220.012,844.15006,
217.101,806.83989,
214.191,771.55909,
211.280,784.65342,
208.369,751.98434,
205.459,730.834,
202.548,721.36872,
199.638,708.30704,
196.727,730.40228,
193.816,738.99227,
190.906,716.19329,
187.995,703.88487,
185.085,760.15054,
182.174,808.82018,
179.264,739.43465,
176.353,790.57666,
173.442,790.63224,
170.532,732.87702,
167.621,735.03995,
164.711,735.09943,
161.800,726.51477,
158.890,702.76376,
155.979,683.82249,
153.068,619.52366,
150.158,529.6626,
147.247,488.73932,
144.337,399.88258,
141.426,310.7884,
138.516,243.40063,
135.605,169.70693,
132.694,112.50083,
129.784,72.280126,
126.873,55.11701,
123.963,33.983826,
121.052,23.741181,
118.141,31.594103,
115.231,15.992452,
112.320,14.284995,
109.410,18.852382,
106.499,9.5943636,
103.589,5.9442366,
100.678,2.4520264,
97.767,-3.2354742,
94.857,2.1689124,
91.946,3.8187783,
89.036,3.6410812,
86.125,10.023929,
83.215,9.5013186,
80.304,6.4278366,
77.393,2.8869869,
74.483,1.3147301,
71.572,6.0602817,
68.662,14.585988,
65.751,3.9892213,
62.840,5.9237218,
59.930,11.250428,
57.019,9.8402636,
54.109,4.2505524,
51.198,2.1330464,
48.288,5.6646371,
45.377,10.588284,
42.466,10.976123,
39.556,8.3947628,
36.645,6.9903824,
33.735,10.778988,
30.824,14.183226,
27.914,12.780876,
25.003,9.5118126,
22.092,7.9479046,
19.182,9.2428373,
16.271,28.129071,
13.361,150.68303,
10.450,385.90701,
7.539,834.92379,
4.629,1184.4876,
1.718,1291.8678,
-1.192,930.74689,
-4.103,518.2003,
-7.013,196.19471,
-9.924,0.625,
