,PLC2BA~1,
Wavenumbers [1/cm],Intensity,
551.818,1076.4761,
548.907,1051.155,
545.996,1055.3705,
543.086,1075.4934,
540.175,1041.233,
537.265,1027.2865,
534.354,1045.9528,
531.444,1071.9402,
528.533,1079.8198,
525.622,1079.0439,
522.712,1043.6833,
519.801,1020.875,
516.891,1020.875,
513.980,1020.875,
511.070,1051.8663,
508.159,1059.1442,
505.248,1048.6188,
502.338,1035.988,
499.427,1039.8471,
496.517,1057.279,
493.606,1068.529,
490.695,1065.4471,
487.785,1062.3679,
484.874,1066.3986,
481.964,1037.3139,
479.053,999.67775,
476.143,1028.0924,
473.232,1037.7884,
470.321,1053.526,
467.411,1068.3946,
464.500,1071.7502,
461.590,1027.3373,
458.679,1054.4962,
455.769,1072.6971,
452.858,1046.5676,
449.947,1091.6395,
447.037,1072.3573,
444.126,1066.4447,
441.216,1087.3458,
438.305,1084.2981,
435.395,1087.1532,
432.484,1088.875,
429.573,1073.9648,
426.663,1010.113,
423.752,833.30992,
420.842,621.8692,
417.931,453.91922,
415.020,436.47698,
412.110,683.89186,
409.199,860.93847,
406.289,951.36696,
403.378,952.78791,
400.468,927.0841,
397.557,928.12969,
394.646,964.07891,
391.736,1038.7442,
388.825,1065.8965,
385.915,1069.6175,
383.004,1057.3087,
380.094,1037.2954,
377.183,1065.137,
374.272,1077.76,
371.362,1085.9956,
368.451,1096.1485,
365.541,1100.6518,
362.630,1111.1611,
359.719,1118.579,
356.809,1115.972,
353.898,1084.5225,
350.988,1082.3848,
348.077,1097.4585,
345.167,1119.5505,
342.256,1093.4032,
339.345,1089.595,
336.435,1092.875,
333.524,1092.6871,
330.614,1086.7259,
327.703,1117.7329,
324.793,1153.2575,
321.882,1165.7975,
318.971,1133.8294,
316.061,1122.875,
313.150,1138.3488,
310.240,1188.0705,
307.329,1210.5995,
304.418,1249.4239,
301.508,1283.9058,
298.597,1276.5016,
295.687,1243.3675,
292.776,1247.0418,
289.866,1283.0607,
286.955,1326.6455,
284.044,1384.1074,
281.134,1430.538,
278.223,1463.5096,
275.313,1495.1944,
272.402,1522.2066,
269.492,1519.7649,
266.581,1480.3526,
263.670,1445.0639,
260.760,1480.8447,
257.849,1547.2546,
254.939,1616.9734,
252.028,1604.8458,
249.117,1590.2816,
246.207,1584.5573,
243.296,1606.5184,
240.386,1621.9348,
237.475,1603.9028,
234.565,1570.0868,
231.654,1609.5276,
228.743,1608.0937,
225.833,1583.4959,
222.922,1541.0552,
220.012,1480.5851,
217.101,1446.1535,
214.191,1434.8091,
211.280,1447.9034,
208.369,1433.4003,
205.459,1392.7372,
202.548,1356.2873,
199.638,1433.9318,
196.727,1395.1345,
193.816,1378.0537,
190.906,1428.1673,
187.995,1322.4598,
185.085,1319.4478,
182.174,1346.6891,
179.264,1309.1052,
176.353,1309.3605,
173.442,1331.4531,
170.532,1356.8022,
167.621,1278.9369,
164.711,1258.4006,
161.800,1206.0356,
158.890,1051.2942,
155.979,1014.4324,
153.068,957.28547,
150.158,871.2549,
147.247,744.17735,
144.337,619.96104,
141.426,486.70466,
138.516,337.59128,
135.605,254.46162,
132.694,182.73163,
129.784,120.84038,
126.873,69.35103,
123.963,49.769878,
121.052,35.226191,
118.141,15.950837,
115.231,13.032719,
112.320,13.145908,
109.410,14.738645,
106.499,14.02649,
103.589,13.314746,
100.678,10.702026,
97.767,5.0145258,
94.857,0.71706571,
91.946,4.1154413,
89.036,10.858919,
86.125,4.4760714,
83.215,4.9986814,
80.304,3.7623751,
77.393,-5.4438341,
74.483,1.0814845,
71.572,3.4255915,
68.662,0.736465,
65.751,-0.67643715,
62.840,3.2103179,
59.930,5.8148518,
57.019,-1.94105,
54.109,-0.13919576,
51.198,0.97017217,
48.288,-1.1419873,
45.377,-3.2521215,
42.466,-2.4761226,
39.556,0.33547431,
36.645,3.1442352,
33.735,1.2787577,
30.824,-0.46233908,
27.914,1.6411867,
25.003,0.62972505,
22.092,2.781141,
19.182,8.71482,
16.271,3.818389,
13.361,34.327264,
10.450,64.09166,
7.539,-21.80113,
4.629,-287.31406,
1.718,-629.94476,
-1.192,-1004.3114,
-4.103,-823.64127,
-7.013,-471.21392,
-9.924,-2.125,
