,PLAC5E~1,
Wavenumbers [1/cm],Intensity,
694.436,837.50403,
691.525,823.83934,
688.615,830.30867,
685.704,843.21379,
682.794,864.10892,
679.883,899.68557,
676.973,873.24034,
674.062,857.0276,
671.151,857.01162,
668.241,858.4423,
665.330,837.15649,
662.420,821.98059,
659.509,819.50993,
656.598,838.91599,
653.688,864.79517,
650.777,866.8219,
647.867,835.76512,
644.956,808.44305,
642.046,731.19769,
639.135,658.73982,
636.224,730.13362,
633.314,781.73962,
630.403,823.84432,
627.493,861.15835,
624.582,879.69329,
621.672,838.50959,
618.761,828.51567,
615.850,870.50501,
612.940,916.09644,
610.029,932.03368,
607.119,920.97886,
604.208,907.80477,
601.297,920.82164,
598.387,916.80432,
595.476,862.46923,
592.566,868.76578,
589.655,913.93153,
586.745,930.06357,
583.834,933.48921,
580.923,981.68071,
578.013,949.50661,
575.102,925.38812,
572.192,922.09254,
569.281,931.39161,
566.371,900.86928,
563.460,919.03905,
560.549,930.79867,
557.639,950.52593,
554.728,994.54467,
551.818,973.47614,
548.907,945.7173,
545.996,933.59653,
543.086,937.20395,
540.175,934.08937,
537.265,909.97378,
534.354,916.42741,
531.444,935.49755,
528.533,947.19265,
525.622,979.78244,
522.712,936.51447,
519.801,896.61928,
516.891,885.97053,
513.980,891.39061,
511.070,922.86628,
508.159,940.65066,
505.248,950.38152,
502.338,963.17465,
499.427,939.24786,
496.517,929.48106,
493.606,943.02661,
490.695,972.73531,
487.785,957.3395,
484.874,966.50703,
481.964,962.49304,
479.053,944.19784,
476.143,928.83859,
473.232,935.78844,
470.321,931.57635,
467.411,927.92716,
464.500,939.70046,
461.590,932.8088,
458.679,935.82765,
455.769,940.50513,
452.858,942.59081,
449.947,949.4662,
447.037,936.31275,
444.126,936.85682,
441.216,959.03425,
438.305,988.74958,
435.395,968.61645,
432.484,946.2897,
429.573,915.8348,
426.663,842.8613,
423.752,556.51255,
420.842,235.75991,
417.931,-27.843129,
415.020,-121.87954,
412.110,298.47901,
409.199,610.35404,
406.289,768.95541,
403.378,753.48311,
400.468,637.81596,
