,PL4CF9~1,
Raman shift [1/cm],Intensity,
91.946,0.98744348,
89.036,4.2781833,
86.125,9.9518254,
83.215,9.2513186,
80.304,5.9384039,
77.393,1.6893843,
74.483,7.2712146,
71.572,7.4761831,
68.662,2.1671975,
65.751,0.047844268,
62.840,6.6005298,
59.930,12.87671,
57.019,7.2360545,
54.109,3.3891958,
51.198,2.2798278,
48.288,4.4202995,
45.377,10.047324,
42.466,11.962781,
39.556,10.684289,
36.645,6.4711472,
33.735,10.048236,
30.824,14.375,
27.914,14.375,
25.003,12.507088,
22.092,14.281141,
19.182,21.107252,
16.271,43.490936,
13.361,207.89299,
10.450,518.7287,
7.539,1084.3642,
4.629,1487.9885,
1.718,1562.2391,
-1.192,1020.5578,
-4.103,556.9975,
-7.013,210.86427,
-9.924,1.375,
