,PL1E3C~1,
Raman shift [1/cm],Intensity,
551.818,1076.3895,
548.907,1096.313,
545.996,1087.3924,
543.086,1066.8388,
540.175,1070.732,
537.265,1059.4115,
534.354,1049.9831,
531.444,1053.0811,
528.533,1073.393,
525.622,1064.8576,
522.712,1082.4161,
519.801,1090.7993,
516.891,1077.5833,
513.980,1045.8372,
511.070,1080.3304,
508.159,1115.1027,
505.248,1130.2417,
502.338,1113.9715,
499.427,1147.1602,
496.517,1173.5353,
493.606,1170.8484,
490.695,1145.74,
487.785,1194.2368,
484.874,1166.4577,
481.964,1146.1694,
479.053,1147.574,
476.143,1158.3255,
473.232,1172.6687,
470.321,1172.6477,
467.411,1161.4283,
464.500,1146.2994,
461.590,1197.6039,
458.679,1171.8285,
455.769,1150.9724,
452.858,1173.0233,
449.947,1134.8267,
447.037,1165.8327,
444.126,1180.6485,
441.216,1167.8947,
438.305,1196.0861,
435.395,1190.8211,
432.484,1179.332,
429.573,1167.515,
426.663,1156.873,
423.752,1169.251,
420.842,1155.8192,
417.931,1146.5745,
415.020,1194.3511,
412.110,1201.8529,
409.199,1213.7799,
406.289,1227.9357,
403.378,1239.8079,
400.468,1183.1083,
397.557,1182.4811,
394.646,1191.7277,
391.736,1170.8169,
388.825,1133.8596,
385.915,1112.3561,
383.004,1108.1398,
380.094,1123.5337,
377.183,1173.1971,
374.272,1225.5374,
371.362,1256.234,
368.451,1254.2796,
365.541,1291.8064,
362.630,1282.3353,
359.719,1262.4484,
356.809,1255.8124,
353.898,1285.7643,
350.988,1292.3725,
348.077,1290.7096,
345.167,1289.773,
342.256,1285.2905,
339.345,1262.2113,
336.435,1246.0535,
333.524,1255.3388,
330.614,1297.8127,
327.703,1290.4638,
324.793,1279.5071,
321.882,1303.8756,
318.971,1252.5781,
316.061,1256.9741,
313.150,1276.9976,
310.240,1267.3501,
307.329,1296.3001,
304.418,1303.4405,
301.508,1280.6707,
298.597,1215.514,
295.687,1180.2014,
292.776,1189.7501,
289.866,1237.9463,
286.955,1308.8639,
284.044,1384.7799,
281.134,1426.7029,
278.223,1437.0957,
