,PL7E9D~1,
Wavenumbers [1/cm],Intensity,
1029.153,982.28132,
1026.242,1011.6898,
1023.331,991.918,
1020.421,1038.6384,
1017.510,1054.587,
1014.600,1048.0583,
1011.689,1037.483,
1008.778,1010.2991,
1005.868,972.69594,
1002.957,966.67346,
1000.047,1010.158,
997.136,1083.1333,
994.226,1116.0578,
991.315,1107.4455,
988.404,1102.5346,
985.494,1081.0569,
982.583,1094.7618,
979.673,1063.8259,
976.762,1032.3756,
973.852,1028.4742,
970.941,1030.9694,
968.030,1010.4552,
965.120,1025.8359,
962.209,1046.2969,
959.299,1051.8747,
956.388,1068.989,
953.477,1071.0633,
950.567,1073.004,
947.656,1119.6332,
944.746,1103.4916,
941.835,1093.0322,
938.925,1110.4915,
936.014,1100.0111,
933.103,1077.6314,
930.193,1072.3517,
927.282,1065.9251,
924.372,1050.7042,
921.461,1046.5408,
918.551,1035.8741,
915.640,1030.4498,
912.729,1032.2133,
909.819,1028.8595,
906.908,1014.5383,
903.998,1029.6573,
901.087,1036.9325,
898.176,1030.1605,
895.266,1030.9068,
892.355,1058.4042,
889.445,1088.6178,
886.534,1066.2085,
883.624,1029.4541,
880.713,1029.571,
877.802,1003.063,
874.892,871.98601,
871.981,632.87718,
869.071,426.5302,
866.160,485.96443,
863.250,719.03561,
860.339,937.57071,
857.428,1018.6021,
854.518,1010.6688,
851.607,904.16394,
848.697,764.69418,
845.786,689.51032,
842.875,738.91195,
839.965,895.38675,
837.054,1030.9919,
834.144,1052.5395,
831.233,1099.4136,
828.323,1113.826,
825.412,1100.6327,
822.501,1085.8138,
819.591,1075.0706,
816.680,1096.3847,
813.770,1064.1598,
810.859,1039.945,
807.949,1037.1988,
805.038,1036.3473,
802.127,1041.2861,
799.217,1014.9159,
796.306,992.69585,
793.396,1022.4603,
790.485,1074.4316,
787.574,1036.4039,
784.664,1053.6262,
781.753,1045.3433,
778.843,1052.4921,
775.932,1066.6759,
773.022,1067.1016,
770.111,1056.4731,
767.200,1081.6346,
764.290,1065.4791,
761.379,1039.0849,
758.469,1034.3299,
755.558,1066.5312,
752.648,1059.1998,
749.737,1054.4861,
746.826,1048.0878,
743.916,1037.4447,
741.005,1018.9813,
738.095,976.76375,
735.184,872.3567,
732.274,821.70615,
729.363,832.93252,
726.452,887.17509,
723.542,955.97353,
720.631,984.97979,
717.721,1017.3824,
714.810,1034.608,
711.899,1038.9579,
708.989,1065.5865,
706.078,1052.9292,
703.168,1039.4272,
700.257,1046.7774,
697.347,1070.4453,
694.436,1083.5754,
691.525,1077.145,
688.615,1078.8946,
685.704,1066.9358,
682.794,1068.1753,
679.883,1130.5966,
676.973,1104.9527,
674.062,1110.5974,
671.151,1088.6969,
668.241,1057.0385,
665.330,1071.0525,
662.420,1077.4424,
659.509,1053.9877,
656.598,1047.9722,
653.688,1071.4023,
650.777,1111.0768,
647.867,1032.2403,
644.956,985.0308,
642.046,929.85076,
639.135,879.84609,
636.224,888.32692,
633.314,1003.448,
630.403,1042.8006,
627.493,1048.9819,
624.582,1036.626,
621.672,986.73037,
618.761,1040.2256,
615.850,1082.5445,
612.940,1111.6299,
610.029,1125.988,
607.119,1109.4058,
604.208,1127.6304,
601.297,1143.2278,
598.387,1139.5713,
595.476,1112.4185,
592.566,1119.5021,
589.655,1155.7361,
586.745,1139.5985,
583.834,1107.8034,
580.923,1157.6931,
578.013,1148.2763,
575.102,1110.7611,
572.192,1095.4685,
569.281,1117.2808,
566.371,1131.368,
563.460,1144.743,
560.549,1153.6482,
557.639,1167.9554,
554.728,1195.3066,
551.818,1188.2837,
548.907,1172.7335,
545.996,1151.3087,
543.086,1138.6283,
540.175,1170.5527,
537.265,1148.1245,
534.354,1150.7906,
531.444,1166.6512,
528.533,1178.4606,
525.622,1202.515,
522.712,1211.3905,
519.801,1183.5815,
516.891,1136.6281,
513.980,1145.9196,
511.070,1141.8196,
508.159,1168.8816,
505.248,1189.9844,
502.338,1157.9985,
499.427,1166.4887,
496.517,1180.0631,
493.606,1195.1433,
490.695,1207.3221,
487.785,1204.2429,
484.874,1207.6273,
481.964,1181.0958,
479.053,1144.4272,
476.143,1159.7864,
473.232,1155.7142,
470.321,1146.4514,
467.411,1144.0685,
464.500,1159.0131,
461.590,1129.9149,
458.679,1154.7677,
455.769,1175.1337,
452.858,1166.0788,
449.947,1217.2622,
447.037,1182.8497,
444.126,1150.053,
441.216,1148.9092,
438.305,1178.6246,
435.395,1203.7304,
432.484,1183.9103,
429.573,1122.4673,
426.663,1044.1728,
423.752,776.21786,
420.842,411.57271,
417.931,87.540152,
415.020,-1.1877473,
412.110,499.09984,
409.199,878.85981,
406.289,1063.5636,
403.378,1004.4068,
400.468,903.10352,
397.557,920.10836,
394.646,1006.8825,
391.736,1117.1987,
388.825,1162.4526,
385.915,1134.7711,
383.004,1108.744,
380.094,1135.2856,
377.183,1165.3846,
374.272,1185.6912,
371.362,1206.0515,
368.451,1230.2029,
365.541,1221.1965,
362.630,1229.1286,
359.719,1237.454,
356.809,1237.339,
353.898,1247.0734,
350.988,1254.0899,
348.077,1258.9116,
345.167,1261.2959,
342.256,1252.3311,
339.345,1249.75,
336.435,1253.3587,
333.524,1262.844,
330.614,1265.8246,
327.703,1290.88,
324.793,1299.5715,
321.882,1258.8455,
318.971,1298.248,
316.061,1313.7033,
313.150,1318.0595,
310.240,1325.4807,
307.329,1377.9185,
304.418,1396.9262,
301.508,1397.1131,
298.597,1405.9981,
295.687,1411.4907,
292.776,1419.1667,
289.866,1450.1036,
286.955,1560.9124,
284.044,1637.4699,
281.134,1719.7766,
278.223,1798.5644,
275.313,1790.459,
272.402,1823.0233,
269.492,1839.195,
266.581,1811.7113,
263.670,1685.2603,
260.760,1728.1523,
257.849,1838.4742,
254.939,1946.3549,
252.028,1923.1393,
249.117,1893.1928,
246.207,1892.0475,
243.296,1982.0881,
240.386,1986.5261,
237.475,1994.5072,
234.565,2006.1133,
231.654,1970.3245,
228.743,1952.9687,
225.833,1915.2604,
222.922,1844.5949,
220.012,1819.824,
217.101,1808.8057,
214.191,1795.6962,
211.280,1762.2329,
208.369,1740.9112,
205.459,1703.8025,
202.548,1668.8949,
199.638,1710.2569,
196.727,1706.6495,
193.816,1691.1275,
190.906,1672.7534,
187.995,1587.3185,
185.085,1616.3841,
182.174,1678.8117,
179.264,1667.9703,
176.353,1626.3809,
173.442,1621.5153,
170.532,1640.3169,
167.621,1533.6126,
164.711,1481.0995,
161.800,1405.6818,
158.890,1247.3417,
155.979,1203.4603,
153.068,1137.1064,
150.158,1041.397,
147.247,910.01175,
144.337,764.76103,
141.426,611.4568,
138.516,451.59005,
135.605,333.64744,
132.694,236.16362,
129.784,157.46105,
126.873,99.535534,
123.963,66.694405,
121.052,40.834877,
118.141,15.848307,
115.231,25.697985,
112.320,23.395461,
109.410,14.340934,
106.499,12.204469,
103.589,10.069237,
100.678,8.75,
97.767,8.75,
94.857,5.2850548,
91.946,8.9904413,
89.036,14.943633,
86.125,3.5963491,
83.215,4.9973628,
80.304,4.919077,
77.393,-6.4116419,
74.483,-0.043515464,
71.572,4.4747042,
68.662,5.6807325,
65.751,4.9742814,
62.840,5.713404,
59.930,6.5627138,
57.019,5.8576318,
54.109,0.37555237,
51.198,-1.4403443,
48.288,2.7443376,
45.377,2.0409595,
42.466,2.1622193,
39.556,2.9802372,
36.645,4.3846176,
33.735,1.6345092,
30.824,-1.9126609,
27.914,-4.0161867,
25.003,-1.7594501,
22.092,-1.8645228,
19.182,-4.8609913,
16.271,7.0303409,
13.361,53.47434,
10.450,103.05786,
7.539,58.365672,
4.629,-240.32669,
1.718,-587.93468,
-1.192,-844.48387,
-4.103,-690.69547,
-7.013,-395.74116,
-9.924,3.75,
