,PLE8F6~1,
Raman shift [1/cm],Intensity,
662.420,899.65429,
659.509,915.7541,
656.598,926.99125,
653.688,929.51889,
650.777,909.77002,
647.867,917.7333,
644.956,889.16165,
642.046,875.47518,
639.135,884.38648,
636.224,891.54775,
633.314,901.07501,
630.403,916.50663,
627.493,912.82554,
624.582,890.38114,
621.672,880.87721,
618.761,915.45721,
615.850,920.99012,
612.940,916.15847,
610.029,917.20979,
607.119,927.47499,
604.208,944.83031,
601.297,931.55929,
598.387,915.22622,
595.476,929.03103,
592.566,977.04219,
589.655,947.27449,
586.745,929.53778,
583.834,926.91248,
580.923,903.30571,
578.013,871.13161,
575.102,849.88106,
572.192,863.36621,
569.281,901.96921,
566.371,887.88197,
563.460,921.06794,
560.549,919.90708,
557.639,906.99132,
554.728,920.44172,
551.818,982.86699,
548.907,985.53056,
545.996,975.00089,
543.086,966.31251,
540.175,951.51824,
537.265,953.39712,
534.354,949.98478,
531.444,962.49814,
528.533,1004.8997,
525.622,982.39724,
522.712,981.14052,
519.801,993.81076,
516.891,1009.561,
513.980,1004.9152,
511.070,1007.3174,
508.159,1014.2308,
505.248,1022.5029,
502.338,1029.72,
499.427,1071.3989,
496.517,1077.4091,
493.606,1052.974,
490.695,1017.2073,
487.785,1051.0781,
484.874,1061.0236,
481.964,1063.5,
479.053,1058.7197,
476.143,1038.7527,
473.232,1074.1896,
470.321,1086.5537,
467.411,1072.3435,
464.500,1036.7715,
461.590,1047.4919,
458.679,1039.4941,
455.769,1028.2946,
452.858,1025.1702,
449.947,1041.2128,
447.037,1065.7366,
444.126,1071.7364,
441.216,1059.8229,
438.305,1067.4422,
435.395,1078.9902,
432.484,1071.9974,
429.573,1054.5,
426.663,1054.5,
423.752,1057.2897,
420.842,1054.3898,
417.931,1057.4723,
415.020,1085.5316,
412.110,1098.9374,
409.199,1108.879,
406.289,1114.254,
403.378,1113.4104,
400.468,1086.9505,
397.557,1105.7499,
394.646,1124.7664,
391.736,1104.3752,
