,PLE5C1~1,
Wavenumbers [1/cm],Intensity,
965.120,894.45018,
962.209,912.35356,
959.299,928.12349,
956.388,944.01432,
953.477,942.92137,
950.567,938.2634,
947.656,964.15487,
944.746,970.10177,
941.835,947.70023,
938.925,971.98726,
936.014,963.60117,
933.103,935.78477,
930.193,924.17889,
927.282,911.64997,
924.372,916.72361,
921.461,920.3206,
918.551,916.72753,
915.640,910.40039,
912.729,914.42569,
909.819,935.48536,
906.908,928.74596,
903.998,918.83063,
901.087,923.37657,
898.176,916.87671,
895.266,910.13598,
892.355,921.1603,
889.445,925.35663,
886.534,943.74218,
883.624,931.22703,
880.713,924.90607,
877.802,927.76457,
874.892,920.99882,
871.981,875.62668,
869.071,716.89823,
866.160,730.08262,
863.250,807.08571,
860.339,867.89246,
857.428,891.70568,
854.518,934.36399,
851.607,899.41707,
848.697,838.34963,
845.786,808.18534,
842.875,820.15333,
839.965,866.64242,
837.054,936.50525,
834.144,948.10778,
831.233,968.3737,
828.323,977.375,
825.412,973.83341,
822.501,965.6303,
819.591,961.4983,
816.680,942.94548,
813.770,952.15806,
810.859,926.08071,
807.949,899.80922,
805.038,937.68694,
802.127,915.4625,
799.217,918.59274,
796.306,906.75328,
793.396,902.99339,
790.485,906.21527,
787.574,881.14984,
784.664,927.89624,
781.753,931.00713,
778.843,921.02377,
775.932,921.09092,
773.022,935.33186,
770.111,915.70998,
767.200,934.93044,
764.290,942.53076,
761.379,950.85848,
758.469,951.70239,
755.558,912.27458,
752.648,942.41491,
749.737,948.375,
746.826,943.24657,
743.916,938.4919,
741.005,943.48421,
738.095,962.15738,
735.184,945.06839,
732.274,891.62193,
729.363,861.47061,
726.452,880.88998,
723.542,867.13029,
720.631,900.01472,
717.721,912.66638,
714.810,934.93168,
711.899,961.97894,
708.989,934.54349,
706.078,979.24796,
703.168,956.37063,
700.257,950.46531,
697.347,968.37553,
694.436,949.96038,
691.525,934.68808,
688.615,934.51956,
685.704,929.4679,
682.794,934.65144,
679.883,980.43787,
676.973,959.60223,
674.062,963.67007,
671.151,965.74502,
668.241,962.13675,
665.330,959.44638,
662.420,918.71106,
659.509,945.93114,
656.598,955.1235,
653.688,940.83509,
650.777,942.10498,
647.867,934.1417,
644.956,939.8048,
642.046,920.7429,
639.135,886.74617,
636.224,884.375,
633.314,884.375,
630.403,916.89158,
627.493,937.07055,
624.582,931.25614,
621.672,921.75221,
618.761,949.49275,
615.850,998.04612,
612.940,1021.8366,
610.029,1005.5065,
607.119,1006.2962,
604.208,1013.4751,
601.297,1026.8439,
598.387,1022.1835,
595.476,987.27189,
592.566,1017.9675,
589.655,1000.6988,
586.745,1007.4696,
583.834,1036.7667,
580.923,1052.2755,
578.013,1035.7961,
575.102,998.68047,
572.192,991.88194,
569.281,1025.3434,
566.371,1036.3001,
563.460,1000.6907,
560.549,998.04424,
557.639,1028.8316,
554.728,1074.1085,
551.818,1038.214,
548.907,1018.7961,
545.996,1031.2033,
543.086,1057.5099,
540.175,1034.9292,
537.265,1042.0664,
534.354,1037.8496,
531.444,1016.7208,
528.533,986.39658,
525.622,1057.0078,
522.712,1059.6332,
519.801,1028.0803,
